Tipo,Antiscivolo,Impermeabile,Colore,Stagione,Meteo,TemperaturaPercepita,StagionePrevisione,Punteggio
scarpa classica,n,y,scuro,all,soleggiato,25,estate,13
scarpa classica,n,y,colorato,primavera_estate,soleggiato,17,autunno,16
anfibi,n,y,colorato,inverno,pioggia,5,inverno,31
anfibi,n,y,scuro,autunno_inverno,pioggia,3,inverno,28
anfibi,y,y,colorato,autunno_inverno,soleggiato,29,estate,10
anfibi,n,y,Chiaro,inverno,nuvoloso,2,inverno,20
scarpa da ginnastica,y,y,colorato,autunno_inverno,pioggia,28,estate,18
scarpa da ginnastica,y,y,colorato,autunno_inverno,soleggiato,-10,inverno,21
scarpa classica,n,y,colorato,autunno_inverno,soleggiato,6,inverno,21
scarpa da ginnastica,y,y,scuro,estate,soleggiato,-2,inverno,13
scarpa classica,y,y,colorato,primavera_estate,nuvoloso,3,inverno,14
stivaletto alla caviglia,n,y,scuro,autunno,neve,1,inverno,25
scarpa classica,n,y,colorato,inverno,pioggia,15,estate,21
scarpe aperte,n,n,Chiaro,primavera_estate,soleggiato,31,estate,23
scarpe aperte,n,n,colorato,primavera_estate,soleggiato,1,inverno,15
scarpe aperte,y,n,Chiaro,primavera_estate,soleggiato,11,autunno,17
stivaletto alla caviglia,y,y,scuro,inverno,pioggia,26,autunno,24
stivaletto alla caviglia,y,y,colorato,autunno_inverno,pioggia,30,estate,22
stivaletto alla caviglia,y,n,colorato,autunno_inverno,soleggiato,26,estate,10
stivaletto alla caviglia,y,n,scuro,autunno,pioggia,16,autunno,31
scarpa da ginnastica,y,y,colorato,estate,soleggiato,29,estate,24
anfibi,n,y,colorato,autunno_inverno,pioggia,29,primavera,22
scarpa classica,y,y,Chiaro,all,soleggiato,29,estate,18
scarpa da ginnastica,y,y,colorato,autunno_inverno,pioggia,7,autunno,25
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,11,inverno,19
stivaletto alla caviglia,n,y,scuro,inverno,pioggia,9,primavera,25
stivaletto alla caviglia,n,y,colorato,autunno_inverno,soleggiato,-2,inverno,16
stivaletto alla caviglia,n,y,colorato,autunno_inverno,soleggiato,31,estate,10
scarpe aperte,n,n,Chiaro,primavera,soleggiato,-6,inverno,17
stivaletto alla caviglia,n,y,Chiaro,inverno,pioggia,28,autunno,24
scarpa classica,n,y,scuro,inverno,neve,6,primavera,21
scarpa da ginnastica,y,n,Chiaro,estate,pioggia,3,inverno,16
scarpa da ginnastica,n,n,Chiaro,autunno_inverno,pioggia,25,estate,18
scarpa classica,n,y,Chiaro,inverno,soleggiato,20,estate,13
scarpa da ginnastica,y,y,scuro,inverno,nuvoloso,22,autunno,18
scarpa classica,y,y,scuro,inverno,soleggiato,30,estate,7
scarpe aperte,n,n,Chiaro,primavera,soleggiato,24,estate,23
scarpa classica,y,y,colorato,inverno,pioggia,27,estate,17
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,6,inverno,19
scarpa da ginnastica,n,y,scuro,primavera_estate,pioggia,26,estate,25
scarpa da ginnastica,n,n,colorato,inverno,pioggia,28,estate,16
scarpa classica,n,y,Chiaro,all,nuvoloso,1,primavera,19
stivaletto alla caviglia,y,y,Chiaro,inverno,pioggia,24,estate,21
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,3,inverno,19
scarpa da ginnastica,n,y,Chiaro,estate,soleggiato,13,autunno,14
stivaletto alla caviglia,n,y,colorato,autunno,soleggiato,3,primavera,13
scarpe aperte,n,n,scuro,primavera,pioggia,15,primavera,20
scarpa classica,y,y,colorato,primavera_estate,pioggia,5,autunno,18
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,2,inverno,27
scarpa classica,n,y,scuro,primavera_estate,pioggia,25,estate,26
scarpe con tacchi,y,n,colorato,inverno,soleggiato,10,autunno,21
stivaletto alla caviglia,y,y,Chiaro,inverno,soleggiato,5,inverno,19
scarpa da ginnastica,y,y,Chiaro,autunno_inverno,soleggiato,8,primavera,18
stivaletto alla caviglia,n,y,colorato,autunno_inverno,pioggia,9,inverno,29
stivaletto alla caviglia,n,y,scuro,inverno,pioggia,4,primavera,25
scarpa da ginnastica,n,y,scuro,all,pioggia,22,primavera,22
scarpa classica,n,y,scuro,primavera_estate,soleggiato,30,estate,16
scarpa classica,n,y,colorato,all,pioggia,11,autunno,23
scarpa da ginnastica,n,n,Chiaro,autunno_inverno,soleggiato,9,primavera,18
scarpa da ginnastica,y,y,scuro,inverno,soleggiato,33,estate,8
stivaletto alla caviglia,n,y,colorato,autunno,pioggia,11,inverno,29
scarpa da ginnastica,n,n,colorato,all,pioggia,33,estate,22
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,pioggia,3,autunno,28
scarpa da ginnastica,n,y,colorato,estate,soleggiato,13,primavera,18
stivaletto alla caviglia,n,y,scuro,autunno,nuvoloso,5,inverno,17
stivaletto alla caviglia,y,y,scuro,autunno,neve,2,autunno,27
scarpa da ginnastica,y,y,Chiaro,estate,soleggiato,6,inverno,13
scarpa da ginnastica,y,y,Chiaro,inverno,pioggia,10,autunno,25
scarpa da ginnastica,n,y,Chiaro,autunno_inverno,soleggiato,7,autunno,22
scarpa classica,n,y,colorato,all,pioggia,0,inverno,23
stivaletto alla caviglia,n,n,Chiaro,autunno_inverno,soleggiato,29,estate,10
stivaletto alla caviglia,n,n,Chiaro,autunno,pioggia,7,autunno,30
scarpa classica,y,y,Chiaro,primavera_estate,pioggia,13,inverno,20
scarpe aperte,n,n,scuro,primavera_estate,pioggia,9,autunno,11
stivaletto alla caviglia,n,y,colorato,autunno_inverno,pioggia,6,primavera,25
stivaletto alla caviglia,n,n,Chiaro,autunno_inverno,soleggiato,26,autunno,14
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,pioggia,9,autunno,29
stivaletto alla caviglia,n,y,scuro,autunno,soleggiato,8,inverno,16
scarpa da ginnastica,y,y,Chiaro,primavera_estate,pioggia,14,inverno,19
scarpa da ginnastica,n,n,scuro,estate,pioggia,16,autunno,19
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,pioggia,18,primavera,25
stivaletto alla caviglia,n,y,Chiaro,autunno,neve,-4,inverno,25
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,10,primavera,25
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,soleggiato,-11,inverno,16
scarpa classica,y,y,Chiaro,all,pioggia,8,primavera,23
scarpa da ginnastica,y,y,scuro,autunno_inverno,pioggia,18,autunno,25
scarpe aperte,n,n,scuro,primavera_estate,soleggiato,20,primavera,18
scarpe aperte,y,n,scuro,primavera,nuvoloso,4,autunno,10
scarpe aperte,n,n,scuro,estate,soleggiato,9,inverno,14
scarpe aperte,n,n,scuro,estate,soleggiato,15,primavera,21
stivaletto alla caviglia,n,n,colorato,autunno_inverno,soleggiato,20,autunno,14
scarpe con tacchi,n,n,Chiaro,inverno,soleggiato,23,autunno,17
stivaletto alla caviglia,n,y,Chiaro,autunno,neve,-5,inverno,25
stivaletto alla caviglia,n,y,colorato,autunno,nuvoloso,11,inverno,18
scarpa classica,n,y,Chiaro,inverno,pioggia,17,autunno,25
anfibi,n,y,colorato,autunno_inverno,pioggia,20,estate,22
stivaletto alla caviglia,n,y,Chiaro,inverno,soleggiato,23,estate,9
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,17,primavera,27
scarpa da ginnastica,n,y,scuro,estate,soleggiato,22,primavera,16
scarpa da ginnastica,n,y,scuro,primavera_estate,pioggia,12,autunno,19
stivaletto alla caviglia,n,y,colorato,autunno_inverno,pioggia,16,primavera,25
scarpa da ginnastica,n,y,scuro,estate,nuvoloso,10,inverno,14
scarpa da ginnastica,n,y,scuro,primavera_estate,pioggia,14,autunno,19
scarpe aperte,n,n,Chiaro,primavera_estate,pioggia,25,estate,19
stivaletto alla caviglia,n,y,scuro,autunno,soleggiato,28,estate,6
scarpa da ginnastica,y,y,colorato,estate,soleggiato,0,inverno,13
scarpa da ginnastica,n,n,scuro,primavera_estate,pioggia,23,estate,25
scarpe aperte,y,n,Chiaro,estate,soleggiato,5,inverno,14
scarpa da ginnastica,n,y,colorato,estate,soleggiato,6,inverno,13
scarpa classica,y,y,scuro,all,soleggiato,25,primavera,13
scarpe con tacchi,n,n,Chiaro,estate,pioggia,21,autunno,18
stivaletto alla caviglia,n,y,colorato,autunno,pioggia,9,inverno,28
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,11,primavera,25
stivaletto alla caviglia,n,n,scuro,autunno_inverno,pioggia,25,primavera,22
stivaletto alla caviglia,n,n,colorato,inverno,nuvoloso,-3,primavera,14
stivaletto alla caviglia,y,y,colorato,autunno,pioggia,8,autunno,30
stivaletto alla caviglia,y,n,scuro,autunno,neve,2,inverno,25
scarpa da ginnastica,n,y,colorato,all,pioggia,5,inverno,22
scarpa da ginnastica,n,y,scuro,estate,nuvoloso,6,inverno,13
stivaletto alla caviglia,n,n,colorato,autunno_inverno,pioggia,15,autunno,29
stivaletto alla caviglia,n,y,colorato,autunno_inverno,nuvoloso,1,inverno,17
scarpa da ginnastica,y,y,colorato,estate,pioggia,5,autunno,16
scarpa da ginnastica,y,y,scuro,autunno_inverno,pioggia,10,inverno,25
scarpa da ginnastica,n,n,Chiaro,primavera_estate,pioggia,17,primavera,24
scarpe con tacchi,n,n,colorato,estate,neve,-1,inverno,11
scarpe con tacchi,n,n,scuro,primavera_estate,pioggia,15,autunno,18
scarpa classica,n,y,scuro,autunno_inverno,pioggia,5,inverno,26
scarpa da ginnastica,n,y,Chiaro,autunno_inverno,nuvoloso,-5,primavera,17
scarpa da ginnastica,y,n,Chiaro,inverno,pioggia,-3,inverno,27
scarpa da ginnastica,y,n,scuro,inverno,soleggiato,16,autunno,21
scarpa da ginnastica,n,y,scuro,estate,pioggia,25,autunno,21
scarpe con tacchi,n,n,scuro,inverno,pioggia,3,primavera,19
stivaletto alla caviglia,y,y,colorato,autunno_inverno,pioggia,12,autunno,29
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,nuvoloso,18,autunno,18
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,4,primavera,24
stivaletto alla caviglia,y,y,colorato,autunno_inverno,soleggiato,6,inverno,17
stivaletto alla caviglia,y,y,Chiaro,inverno,pioggia,7,inverno,31
stivaletto alla caviglia,n,n,colorato,autunno,nuvoloso,18,autunno,20
stivaletto alla caviglia,n,n,Chiaro,autunno,pioggia,8,inverno,28
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,1,primavera,24
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,16,autunno,16
stivaletto alla caviglia,y,y,colorato,autunno,nuvoloso,13,primavera,16
scarpa da ginnastica,y,y,scuro,inverno,neve,2,inverno,26
scarpa da ginnastica,y,y,colorato,primavera_estate,soleggiato,-4,inverno,14
scarpe aperte,n,n,Chiaro,primavera_estate,pioggia,13,primavera,17
scarpa classica,n,y,Chiaro,inverno,nuvoloso,6,inverno,24
stivaletto alla caviglia,n,n,scuro,inverno,nuvoloso,12,autunno,18
stivaletto alla caviglia,n,n,colorato,autunno,soleggiato,25,autunno,15
scarpe con tacchi,n,n,colorato,inverno,nuvoloso,25,autunno,14
scarpe con tacchi,n,n,colorato,estate,soleggiato,24,primavera,20
stivaletto alla caviglia,n,n,Chiaro,autunno,soleggiato,30,estate,11
stivaletto alla caviglia,n,n,colorato,autunno,pioggia,29,autunno,27
scarpa da ginnastica,n,y,Chiaro,autunno_inverno,pioggia,17,inverno,25
stivaletto alla caviglia,y,y,colorato,inverno,pioggia,25,primavera,20
scarpa da ginnastica,y,n,colorato,primavera_estate,pioggia,27,estate,25
stivali,n,n,scuro,autunno_inverno,nuvoloso,20,autunno,15
stivaletto alla caviglia,y,y,Chiaro,inverno,soleggiato,25,estate,8
stivaletto alla caviglia,n,y,Chiaro,inverno,pioggia,10,autunno,29
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,soleggiato,14,estate,13
stivaletto alla caviglia,y,n,scuro,autunno_inverno,nuvoloso,20,autunno,15
scarpa da ginnastica,n,y,scuro,primavera_estate,nuvoloso,2,inverno,14
scarpe con tacchi,n,n,colorato,primavera_estate,soleggiato,-6,inverno,13
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,pioggia,-7,primavera,24
scarpa da ginnastica,n,n,colorato,estate,pioggia,23,estate,26
scarpa da ginnastica,n,n,Chiaro,all,pioggia,20,autunno,22
scarpa da ginnastica,n,y,Chiaro,all,pioggia,17,autunno,22
scarpa da ginnastica,n,n,colorato,inverno,pioggia,11,autunno,25
anfibi,y,y,colorato,inverno,pioggia,7,inverno,31
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,28,autunno,12
stivaletto alla caviglia,n,n,colorato,inverno,neve,-1,inverno,29
stivaletto alla caviglia,n,n,colorato,autunno_inverno,soleggiato,13,autunno,17
stivaletto alla caviglia,n,n,scuro,autunno_inverno,soleggiato,22,primavera,5
stivaletto alla caviglia,n,y,scuro,autunno,soleggiato,3,primavera,13
scarpa da ginnastica,n,y,colorato,primavera_estate,soleggiato,28,estate,22
anfibi,n,y,colorato,autunno,pioggia,15,primavera,27
scarpe con tacchi,n,n,colorato,estate,soleggiato,33,autunno,17
scarpa classica,y,y,Chiaro,all,pioggia,23,autunno,23
scarpa da ginnastica,n,n,scuro,primavera_estate,pioggia,7,inverno,17
scarpa da ginnastica,n,n,Chiaro,primavera_estate,nuvoloso,3,inverno,14
scarpa da ginnastica,y,n,colorato,autunno_inverno,pioggia,26,autunno,22
scarpa da ginnastica,n,n,colorato,inverno,soleggiato,24,estate,14
scarpe aperte,n,n,colorato,estate,soleggiato,27,estate,25
scarpa da ginnastica,n,n,Chiaro,estate,pioggia,26,primavera,25
stivaletto alla caviglia,y,y,colorato,autunno,pioggia,3,primavera,25
scarpa da ginnastica,y,n,colorato,all,pioggia,-2,inverno,22
scarpa da ginnastica,n,n,scuro,autunno_inverno,nuvoloso,0,primavera,17
scarpa da ginnastica,n,n,colorato,all,nuvoloso,-7,primavera,19
scarpa da ginnastica,n,n,Chiaro,primavera_estate,soleggiato,33,estate,22
scarpa classica,n,y,Chiaro,inverno,soleggiato,30,estate,12
stivaletto alla caviglia,y,n,Chiaro,autunno,nuvoloso,28,estate,12
scarpa da ginnastica,n,y,Chiaro,all,pioggia,8,primavera,22
scarpa da ginnastica,y,n,colorato,primavera_estate,pioggia,18,primavera,24
stivaletto alla caviglia,y,y,scuro,autunno,soleggiato,31,estate,6
stivaletto alla caviglia,n,y,scuro,inverno,neve,-6,primavera,23
stivaletto alla caviglia,y,y,scuro,inverno,nuvoloso,24,autunno,14
stivaletto alla caviglia,n,y,colorato,autunno,pioggia,3,primavera,25
scarpa classica,n,y,scuro,all,soleggiato,36,estate,13
scarpa classica,n,y,scuro,inverno,pioggia,9,primavera,22
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,soleggiato,16,primavera,13
scarpe aperte,y,n,Chiaro,primavera_estate,pioggia,16,inverno,14
scarpe aperte,y,n,colorato,estate,nuvoloso,10,primavera,12
scarpe aperte,y,n,Chiaro,primavera,pioggia,30,estate,16
scarpa da ginnastica,n,n,Chiaro,inverno,soleggiato,8,inverno,24
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,35,estate,3
stivaletto alla caviglia,y,y,Chiaro,autunno,pioggia,17,autunno,31
stivaletto alla caviglia,y,y,colorato,autunno,nuvoloso,23,primavera,13
stivaletto alla caviglia,n,y,colorato,inverno,neve,2,autunno,27
scarpe aperte,n,n,colorato,estate,pioggia,29,estate,21
stivaletto alla caviglia,y,y,scuro,inverno,nuvoloso,3,inverno,20
stivaletto alla caviglia,y,y,colorato,autunno_inverno,nuvoloso,4,inverno,17
stivaletto alla caviglia,n,n,colorato,inverno,soleggiato,24,estate,9
stivaletto alla caviglia,n,y,scuro,inverno,pioggia,16,primavera,24
scarpa classica,n,y,Chiaro,all,soleggiato,27,estate,18
scarpa da ginnastica,y,y,colorato,inverno,neve,8,primavera,20
scarpa da ginnastica,y,y,Chiaro,estate,soleggiato,31,estate,24
scarpe aperte,n,n,colorato,primavera,pioggia,27,autunno,15
stivaletto alla caviglia,n,n,colorato,autunno_inverno,soleggiato,19,autunno,17
scarpe aperte,y,n,scuro,primavera,pioggia,21,autunno,17
scarpa classica,n,y,scuro,all,soleggiato,20,autunno,13
scarpa classica,y,y,colorato,all,soleggiato,7,inverno,18
scarpa classica,n,y,scuro,autunno_inverno,nuvoloso,14,primavera,18
scarpa da ginnastica,y,n,scuro,inverno,pioggia,25,autunno,20
scarpa da ginnastica,n,n,scuro,all,soleggiato,30,estate,14
stivaletto alla caviglia,n,y,Chiaro,autunno,soleggiato,21,estate,12
stivaletto alla caviglia,n,y,scuro,inverno,pioggia,10,primavera,25
scarpa classica,n,y,Chiaro,all,nuvoloso,18,autunno,19
scarpa classica,n,y,scuro,autunno_inverno,soleggiato,18,autunno,21
scarpa classica,n,y,scuro,inverno,pioggia,12,autunno,26
scarpa classica,n,y,scuro,inverno,pioggia,28,estate,17
stivaletto alla caviglia,n,y,scuro,autunno_inverno,nuvoloso,25,estate,11
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,19,autunno,16
stivaletto alla caviglia,y,n,Chiaro,autunno,nuvoloso,15,autunno,20
scarpe aperte,n,n,scuro,primavera_estate,pioggia,26,estate,19
scarpa classica,n,y,colorato,inverno,pioggia,13,inverno,28
scarpa classica,n,y,Chiaro,autunno_inverno,soleggiato,1,inverno,20
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,20,autunno,8
scarpa da ginnastica,n,y,colorato,estate,soleggiato,24,primavera,21
scarpa da ginnastica,n,n,colorato,all,pioggia,20,estate,22
scarpa da ginnastica,n,y,Chiaro,primavera_estate,soleggiato,9,primavera,18
scarpa da ginnastica,y,n,Chiaro,all,pioggia,12,primavera,22
scarpa da ginnastica,n,n,Chiaro,inverno,soleggiato,14,primavera,18
stivaletto alla caviglia,n,y,scuro,autunno_inverno,soleggiato,25,estate,5
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,19,estate,25
scarpa da ginnastica,n,n,scuro,autunno_inverno,soleggiato,15,primavera,18
scarpa classica,n,y,Chiaro,primavera_estate,soleggiato,15,primavera,20
scarpa classica,y,y,colorato,inverno,pioggia,32,estate,17
scarpa classica,y,y,scuro,inverno,pioggia,23,estate,18
scarpa classica,n,n,scuro,all,nuvoloso,2,primavera,19
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,7,autunno,29
stivaletto alla caviglia,n,y,colorato,inverno,nuvoloso,18,autunno,17
scarpa da ginnastica,n,n,Chiaro,estate,soleggiato,4,inverno,13
scarpa da ginnastica,n,y,colorato,autunno_inverno,pioggia,26,estate,18
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,pioggia,27,estate,22
stivaletto alla caviglia,n,y,Chiaro,inverno,pioggia,1,inverno,31
scarpe aperte,n,n,colorato,primavera_estate,nuvoloso,15,autunno,11
scarpa da ginnastica,n,n,Chiaro,estate,pioggia,28,estate,27
scarpa da ginnastica,y,y,colorato,autunno_inverno,pioggia,22,estate,18
scarpa classica,y,y,scuro,all,nuvoloso,5,primavera,19
scarpa classica,n,y,Chiaro,all,pioggia,24,autunno,23
scarpa da ginnastica,n,y,colorato,autunno_inverno,neve,4,inverno,23
scarpe con tacchi,n,n,Chiaro,primavera_estate,pioggia,31,estate,23
stivaletto alla caviglia,y,y,Chiaro,autunno,soleggiato,18,autunno,19
stivaletto alla caviglia,n,n,Chiaro,autunno_inverno,pioggia,9,autunno,29
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,25,estate,3
stivaletto alla caviglia,n,n,scuro,autunno,pioggia,11,primavera,27
scarpa da ginnastica,n,y,scuro,inverno,soleggiato,2,primavera,18
anfibi,n,n,Chiaro,inverno,soleggiato,9,primavera,13
anfibi,n,y,scuro,autunno_inverno,soleggiato,-1,inverno,16
anfibi,n,y,scuro,autunno_inverno,pioggia,18,autunno,29
scarpa classica,n,n,colorato,all,pioggia,8,primavera,23
scarpa da ginnastica,y,n,scuro,primavera_estate,pioggia,24,primavera,25
scarpa da ginnastica,y,y,Chiaro,primavera_estate,pioggia,23,estate,25
scarpa da ginnastica,y,n,Chiaro,inverno,pioggia,13,autunno,25
scarpa da ginnastica,y,n,colorato,estate,nuvoloso,15,primavera,20
scarpa da ginnastica,n,n,colorato,primavera_estate,pioggia,13,autunno,19
scarpa da ginnastica,n,n,colorato,primavera_estate,soleggiato,25,autunno,18
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,10,autunno,29
scarpa da ginnastica,y,n,scuro,all,soleggiato,-10,inverno,19
scarpa da ginnastica,n,y,Chiaro,autunno_inverno,pioggia,16,primavera,21
scarpa da ginnastica,n,y,scuro,estate,soleggiato,-5,inverno,13
scarpe aperte,n,n,Chiaro,primavera_estate,pioggia,6,primavera,15
stivaletto alla caviglia,y,y,Chiaro,inverno,pioggia,16,autunno,28
stivaletto alla caviglia,n,n,colorato,autunno,soleggiato,22,primavera,12
scarpa da ginnastica,n,y,Chiaro,estate,nuvoloso,7,inverno,13
stivaletto alla caviglia,n,n,Chiaro,autunno,soleggiato,16,primavera,15
scarpe aperte,n,n,scuro,primavera,pioggia,9,autunno,13
scarpe aperte,y,n,Chiaro,primavera_estate,pioggia,21,estate,19
scarpe aperte,y,n,Chiaro,primavera_estate,soleggiato,6,primavera,19
scarpa da ginnastica,y,y,scuro,inverno,pioggia,16,primavera,20
scarpa da ginnastica,y,y,Chiaro,primavera_estate,nuvoloso,19,primavera,21
scarpe con tacchi,n,n,colorato,autunno_inverno,soleggiato,10,autunno,21
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,12,primavera,13
scarpa da ginnastica,n,n,scuro,estate,pioggia,27,estate,27
scarpa classica,y,y,colorato,primavera_estate,soleggiato,8,autunno,13
scarpa da ginnastica,n,y,Chiaro,autunno_inverno,pioggia,9,autunno,25
scarpe con tacchi,n,n,Chiaro,estate,pioggia,25,estate,25
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,22,autunno,13
scarpa da ginnastica,n,n,Chiaro,estate,soleggiato,24,autunno,17
scarpa da ginnastica,y,n,colorato,all,pioggia,8,inverno,22
scarpa da ginnastica,n,n,scuro,autunno_inverno,pioggia,10,primavera,21
scarpa da ginnastica,n,n,scuro,all,soleggiato,20,autunno,14
scarpa da ginnastica,y,n,Chiaro,primavera_estate,soleggiato,9,inverno,14
scarpa classica,n,n,Chiaro,all,pioggia,19,autunno,23
scarpa da ginnastica,n,n,Chiaro,primavera_estate,nuvoloso,2,primavera,18
scarpa da ginnastica,n,n,scuro,estate,pioggia,8,autunno,16
stivaletto alla caviglia,n,n,colorato,autunno_inverno,soleggiato,7,primavera,13
scarpe con tacchi,n,n,Chiaro,autunno_inverno,pioggia,9,primavera,19
scarpe con tacchi,n,n,Chiaro,primavera_estate,pioggia,30,estate,23
scarpa da ginnastica,n,y,Chiaro,primavera_estate,nuvoloso,24,estate,22
stivaletto alla caviglia,y,y,scuro,autunno,pioggia,2,autunno,29
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,22,estate,24
scarpa da ginnastica,n,y,scuro,inverno,pioggia,9,autunno,25
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,neve,-3,primavera,22
scarpa da ginnastica,y,y,scuro,estate,pioggia,4,inverno,16
scarpa da ginnastica,y,y,scuro,inverno,soleggiato,20,primavera,9
stivaletto alla caviglia,n,y,Chiaro,autunno,pioggia,12,autunno,31
scarpa classica,n,y,Chiaro,all,soleggiato,9,autunno,18
stivaletto alla caviglia,y,y,colorato,autunno,neve,0,inverno,25
stivaletto alla caviglia,y,n,Chiaro,inverno,soleggiato,25,estate,8
stivaletto alla caviglia,n,y,colorato,autunno_inverno,soleggiato,26,estate,10
scarpe aperte,y,n,scuro,primavera_estate,pioggia,9,primavera,15
scarpa classica,y,n,colorato,autunno_inverno,nuvoloso,8,inverno,22
stivaletto alla caviglia,y,n,colorato,autunno,soleggiato,29,estate,11
scarpa da ginnastica,n,y,Chiaro,inverno,soleggiato,23,primavera,14
stivali,n,y,Chiaro,inverno,neve,1,primavera,25
stivaletto alla caviglia,y,y,scuro,autunno,soleggiato,11,autunno,19
stivaletto alla caviglia,n,y,scuro,autunno_inverno,soleggiato,26,estate,5
scarpa da ginnastica,n,y,scuro,primavera_estate,pioggia,8,inverno,17
scarpa da ginnastica,n,y,colorato,autunno_inverno,pioggia,23,estate,18
stivaletto alla caviglia,n,y,Chiaro,autunno,pioggia,6,primavera,26
stivaletto alla caviglia,n,y,Chiaro,inverno,pioggia,30,estate,20
stivaletto alla caviglia,n,y,Chiaro,inverno,neve,-7,inverno,29
stivaletto alla caviglia,y,n,Chiaro,autunno,pioggia,32,estate,23
stivaletto alla caviglia,y,y,colorato,autunno,pioggia,17,primavera,27
stivaletto alla caviglia,y,y,colorato,autunno_inverno,pioggia,14,autunno,29
scarpe aperte,n,n,Chiaro,estate,soleggiato,5,autunno,14
scarpa da ginnastica,n,n,Chiaro,primavera_estate,soleggiato,11,autunno,16
scarpa da ginnastica,n,y,Chiaro,autunno_inverno,pioggia,16,autunno,25
scarpa da ginnastica,y,y,colorato,inverno,nuvoloso,20,autunno,18
scarpa classica,n,y,colorato,all,pioggia,11,primavera,23
scarpa classica,n,n,Chiaro,all,pioggia,15,autunno,23
scarpa classica,y,y,scuro,all,pioggia,13,autunno,23
scarpa classica,y,y,Chiaro,all,neve,-2,primavera,22
scarpa classica,y,y,scuro,autunno_inverno,pioggia,10,primavera,22
stivaletto alla caviglia,n,n,scuro,autunno,pioggia,6,autunno,30
scarpe con tacchi,n,n,Chiaro,inverno,soleggiato,2,inverno,23
