Tipo,Materiale,Colore,Manica,Stagione
Dress,PU Leather,Black,Sleeveless,All
Dress,Polyester,Dusty Pink,Sleeveless,Summer
Bottom,Rayon,Blue,,"['Spring', 'Summer', 'Fall']"
Top,Cotton,Army Green,Short Sleeve,Summer
Dress,Satin,Burgundy,Sleeveless,Summer
Dress,Rayon,Black,Long Sleeve,"['Spring', 'Summer']"
Top,Cotton,Army Green,Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Multicolor,,Summer
Dress,Polyester,White,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Black,,All
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,Cotton,Black and White,,Summer
Bottom,Polyester,Black,,"['Fall', 'Winter']"
Bottom,Cotton,Dark Grey,,Summer
Top,Polyester,Black,Long Sleeve,"['Spring', 'Summer']"
Top,Rayon,Multicolor,,Summer
Bottom,Rayon,Black,,"['Spring', 'Summer', 'Fall']"
Dress,Cotton,Blue and White,Sleeveless,Summer
Dress,Polyester,Black and White,Sleeveless,Summer
Bottom,Lace,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,Corduroy,Army Green,,"['Fall', 'Winter']"
Dress,Polyester,Apricot,Sleeveless,Summer
Bottom,Corduroy,Dusty Pink,,"['Fall', 'Winter']"
Dress,Polyester,Black and White,Long Sleeve,"['Spring', 'Fall']"
Bottom,PU Leather,Brown,,"['Fall', 'Winter']"
Top,Cotton,Black,Short Sleeve,Summer
Dress,Polyester,Red,Cap Sleeve,Summer
Dress,Polyester,Green,Long Sleeve,All
Top,Cotton,Black,Cap Sleeve,Summer
Bottom,Rayon,Multicolor,,"['Spring', 'Summer', 'Fall']"
Dress,Cotton,Black,Sleeveless,Summer
Dress,Polyester,Khaki,Long Sleeve,"['Spring', 'Fall']"
Dress,Rayon,Multicolor,Cap Sleeve,Summer
Bottom,Cotton,Light Grey,,Summer
Top,Polyester,Maroon,Cap Sleeve,Summer
Top,Polyester,Army Green,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Black,,All
Top,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,White,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Beige,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,Grey,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Multicolor,Short Sleeve,Summer
Bottom,Suede,Black,,"['Fall', 'Winter']"
Bottom,Cotton,White,,All
Top,Polyester,Grey,Half Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,"['Pastel', ' Lilac Purple']",Long Sleeve,Spring
Dress,Cotton,Grey,Short Sleeve,Summer
Bottom,Cotton Blends,Black,,Summer
Dress,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,"['Purple', ' Pastel']",Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Black,,Summer
Bottom,Polyester,Black and White,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Blue and White,Sleeveless,Summer
Bottom,PU Leather,Brown,,"['Fall', 'Winter']"
Dress,Polyester,"['Yellow', ' Bright']",Long Sleeve,"['Spring', 'Summer']"
Bottom,PU Leather,Dusty Blue,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,White,,Spring
Dress,Rayon,Burgundy,Sleeveless,Summer
Dress,Cotton,Black,Half Sleeve,Summer
Top,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Bottom,Cotton,White,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Burgundy,Short Sleeve,All
Dress,Polyester,"Red, Bright",Sleeveless,Summer
Bottom,Polyester,Light Grey,,"['Spring', 'Summer', 'Fall']"
Dress,Rayon,Coral Orange,Short Sleeve,Summer
Dress,Polyester,Dusty Pink,Sleeveless,All
Bottom,Corduroy,Khaki,,"['Fall', 'Winter']"
Dress,Polyester,Dark Green,Sleeveless,Summer
Top,Polyester,Black and White,Short Sleeve,Summer
Top,Polyester,Maroon,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,White,Short Sleeve,Summer
Top,Polyester,Beige,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Multicolor,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,White,,Summer
Dress,Velvet,Dusty Blue,Sleeveless,"['Fall', 'Winter']"
Bottom,Polyester,Multicolor,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Rust Brown,Sleeveless,Summer
Top,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Top,Rayon,Light Grey,,Summer
Bottom,Cotton,Blue,,Summer
Bottom,Polyester,Dark Grey,,All
Bottom,Corduroy,Black,,"['Fall', 'Winter']"
Bottom,Polyester,Pink,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Grey,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Navy Blue,Short Sleeve,Summer
Bottom,Cotton,Brown,,"['Spring', 'Summer', 'Fall']"
Bottom,Rayon,Black,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Rust Brown,Short Sleeve,Summer
Top,Polyester,Green,Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Multicolor,,"['Spring', 'Summer', 'Fall']"
Top,Cotton,Baby Pink,Short Sleeve,Summer
Bottom,Polyester,Multicolor,,Summer
Top,Polyester,Khaki,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Black,,"['Fall', 'Winter']"
Top,Cotton,"['Red', ' Bright']",Short Sleeve,Summer
Bottom,Velvet,Black,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Black,,Summer
Dress,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Bottom,Rayon,Chocolate Brown,,"['Spring', 'Summer', 'Fall']"
Top,Chiffon,Dark Green,Long Sleeve,"['Spring', 'Summer']"
Dress,Velvet,Navy Blue,Sleeveless,"['Fall', 'Winter']"
Bottom,Corduroy,"Pastel, Dusty Pink",,"['Fall', 'Winter']"
Bottom,Satin,Dusty Pink,,"['Spring', 'Summer', 'Fall']"
Top,Cotton,White,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Dark Green,Half Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Multicolor,Long Sleeve,"['Spring', 'Summer']"
Bottom,Corduroy,Brown,,"['Spring', 'Summer', 'Fall']"
Top,Cotton,Khaki,,Summer
Bottom,Polyester,Black,,All
Dress,Polyester,Burgundy,Sleeveless,Summer
Dress,Polyester,Black,Short Sleeve,Summer
Dress,Cotton,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Light Grey,Long Sleeve,"['Spring', 'Fall']"
Bottom,Velvet,Black,,"['Fall', 'Winter']"
Top,Polyester,Dusty Blue,Half Sleeve,Summer
Dress,Polyester,Multicolor,Short Sleeve,"['Spring', 'Summer']"
Top,Polyester,"Orange, Pastel",Sleeveless,Summer
Bottom,Polyester,Ginger,,All
Bottom,,Black,,Summer
Dress,Cotton,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Multicolor,Sleeveless,Summer
Dress,Polyester,Black,Short Sleeve,Summer
Bottom,Polyester,Mint Green,,All
Bottom,PU Leather,Lilac Purple,,"['Fall', 'Winter']"
Dress,Polyester,Black,Long Sleeve,All
Dress,Polyester,Black and White,Short Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Blue,,All
Dress,Polyester,Coral Pink,Long Sleeve,Spring
Top,Viscose,White,Long Sleeve,"['Spring', 'Fall']"
Top,Satin,White,Short Sleeve,Summer
Bottom,Polyester,Navy Blue,,"['Spring', 'Summer', 'Fall']"
Dress,Rayon,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Top,Cotton,Pink,Short Sleeve,Summer
Dress,Polyester,Black,Sleeveless,"['Spring', 'Summer']"
Bottom,Polyester,Light Grey,,All
Bottom,Polyester,Multicolor,,"['Spring', 'Summer', 'Fall']"
Bottom,Mesh,Mocha Brown,,"['Spring', 'Summer', 'Fall']"
Top,Cotton,Army Green,Short Sleeve,Summer
Top,Polyester,Mint Green,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,Coral Pink,,Summer
Top,Velvet,Navy Blue,,All
Top,Satin,Black,,Summer
Dress,Polyester,Burgundy,Long Sleeve,"['Spring', 'Fall']"
Top,Satin,Dark Green,,Summer
Top,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Multicolor,,"['Spring', 'Summer']"
Bottom,Polyester,Black and White,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Apricot,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,Apricot,Half Sleeve,Summer
Bottom,,Multicolor,,Summer
Bottom,Corduroy,Dusty Blue,,"['Fall', 'Winter']"
Top,Cotton,Black,,Summer
Bottom,Corduroy,Mocha Brown,,"['Fall', 'Winter']"
Top,Polyester,Multicolor,,Summer
Top,Polyester,Yellow,Short Sleeve,Summer
Top,Polyester,"['Orange', ' Bright']",,Summer
Dress,Polyester,Burgundy,Long Sleeve,"['Spring', 'Fall']"
Dress,Cotton,Black,Long Sleeve,"['Spring', 'Summer']"
Dress,Cotton,"['Pastel', ' Baby Pink']",,Summer
Bottom,Cotton,Black and White,,"['Spring', 'Summer', 'Fall']"
Bottom,Cotton,Multicolor,,All
Bottom,Polyester,Light Grey,,All
Top,Cotton,"['Bright', ' Lime Green']",Short Sleeve,Summer
Top,Polyester,Baby Pink,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Black and White,,Summer
Dress,Glitter,Dark Grey,Long Sleeve,All
Top,Polyester,Black and White,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,Coral Pink,Short Sleeve,Summer
Top,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Dress,,Navy Blue,Sleeveless,Summer
Bottom,Tweed,Black and White,,"['Fall', 'Winter']"
Dress,Polyester,Mustard Yellow,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Top,Cotton,White,Short Sleeve,Summer
Top,Polyester,Black,Short Sleeve,Summer
Top,Cotton,"['Pastel', ' Mint Green']",Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Lilac Purple,,Spring
Top,Polyester,White,,Summer
Top,Nylon,Black,Long Sleeve,"['Spring', 'Summer']"
Dress,Velvet,Burgundy,Long Sleeve,"['Fall', 'Winter']"
Top,Polyester,White,Cap Sleeve,Summer
Bottom,Polyester,Black and White,,Summer
Bottom,Tweed,Black and White,,"['Fall', 'Winter']"
Top,Polyester,Black,,Summer
Dress,Polyester,Mint Green,Long Sleeve,Spring
Dress,Polyester,Black and White,Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Yellow,,Summer
Dress,Polyester,Baby Pink,Sleeveless,Summer
Dress,Polyester,Chocolate Brown,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Navy Blue,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Dusty Pink,Short Sleeve,Summer
Bottom,Corduroy,Coffee Brown,,"['Fall', 'Winter']"
Top,Polyester,Mauve Purple,,Summer
Bottom,Shearling,Black,,"['Fall', 'Winter']"
Top,Rayon,Maroon,Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Black and White,,Summer
Dress,Polyester,"['Blue', ' Bright']",Sleeveless,Summer
Bottom,Polyester,Multicolor,,Winter
Bottom,Cotton,Dusty Blue,,All
Bottom,PU Leather,Rust Brown,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Grey,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Lime Green,Sleeveless,Summer
Bottom,Rayon,Black,,All
Top,Lace,White,,Summer
Dress,Polyester,Green,Long Sleeve,"['Spring', 'Summer']"
Bottom,Rayon,Khaki,,"['Spring', 'Summer', 'Fall']"
Dress,Cotton,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Mint Green,Sleeveless,Summer
Bottom,Rayon,Grey,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Grey,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Top,Cotton,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,"['Pastel', ' Baby Blue']",,Summer
Bottom,Cotton,Apricot,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Multicolor,Sleeveless,Summer
Bottom,Polyester,Black,,All
Dress,Polyester,Dark Grey,Cap Sleeve,Summer
Bottom,Polyester,Black,,All
Bottom,Corduroy,Brown,,"['Fall', 'Winter']"
Top,Polyester,Dark Grey,Long Sleeve,"['Spring', 'Fall']"
Dress,Cotton,Apricot,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Red,Half Sleeve,"['Spring', 'Summer']"
Top,Cotton,Black,Short Sleeve,Summer
Dress,Mesh,Baby Pink,Long Sleeve,"['Spring', 'Summer']"
Dress,Cotton,Black,Cap Sleeve,Summer
Dress,,Dusty Pink,Sleeveless,Summer
Top,Cotton,"['Yellow', ' Pastel']",Long Sleeve,Spring
Dress,Cotton,Black and White,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Multicolor,,Summer
Dress,Cotton,Burgundy,Sleeveless,Summer
Dress,Polyester,Multicolor,Short Sleeve,Summer
Dress,Polyester,"['Yellow', ' Bright']",Sleeveless,Summer
Top,Cotton,Burgundy,,Summer
Top,Rayon,Multicolor,Long Sleeve,"['Spring', 'Summer']"
Dress,Nylon,"['Royal Blue', ' Bright']",,Summer
Bottom,Polyester,Black,,Summer
Bottom,Rayon,Orange,,"['Spring', 'Summer']"
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Beige,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Royal Blue,Short Sleeve,Summer
Bottom,Polyester,Black and White,,All
Bottom,Polyester,Grey,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Mint Green,Short Sleeve,Summer
Top,Cotton,Grey,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Multicolor,Sleeveless,Summer
Top,Polyester,White,Short Sleeve,Summer
Dress,Chiffon,Black,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Black and White,Long Sleeve,"['Spring', 'Summer']"
Top,Cotton,Black and White,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Beige,,Summer
Top,Rayon,Chocolate Brown,Cap Sleeve,Summer
Dress,Cotton,Navy Blue,Cap Sleeve,Summer
Top,Polyester,Dusty Blue,Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Grey,,All
Top,Polyester,Dark Green,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Blue and White,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Dark Grey,,All
Dress,Cotton,Multicolor,Half Sleeve,Summer
Dress,Polyester,Multicolor,Sleeveless,Summer
Top,Polyester,Black,,Summer
Top,Polyester,Burnt Orange,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Dress,Velvet,Chocolate Brown,Long Sleeve,"['Fall', 'Winter']"
Dress,Rayon,Light Grey,Sleeveless,Summer
Top,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Bottom,Cotton,Black,,All
Top,Polyester,Redwood,Short Sleeve,Summer
Dress,,Lilac Purple,Sleeveless,Summer
Top,Cotton,Army Green,Half Sleeve,Summer
Bottom,,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,PU Leather,Brown,,All
Dress,Cotton,Army Green,Long Sleeve,Spring
Dress,Polyester,White,Long Sleeve,"['Spring', 'Fall']"
Dress,Viscose,Blue,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Dusty Pink,Long Sleeve,Summer
Top,Cotton,Dark Grey,Long Sleeve,"['Spring', 'Fall']"
Bottom,PU Leather,Black,,"['Fall', 'Winter']"
Top,Polyester,Multicolor,,Summer
Top,Polyester,Black,Short Sleeve,Summer
Dress,Polyester,Beige,Sleeveless,Summer
Bottom,Cotton,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Multicolor,,"['Spring', 'Summer', 'Fall']"
Top,Rayon,Black,Long Sleeve,"['Spring', 'Fall']"
Top,Cotton,Blue,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Dark Green,Sleeveless,Summer
Bottom,Polyester,Black,,Summer
Top,Cotton,White,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,White,,Summer
Bottom,Polyester,Multicolor,,All
Dress,Polyester,Dusty Pink,Short Sleeve,"['Spring', 'Summer']"
Dress,Guipure Lace,White,Sleeveless,Summer
Bottom,Mesh,Multicolor,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Black and White,,All
Top,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Redwood,Long Sleeve,"['Spring', 'Fall']"
Top,Rayon,Apricot,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Dress,Cotton,Black,Long Sleeve,"['Spring', 'Fall']"
Bottom,Cotton,Red,,Summer
Bottom,Polyester,Dark Grey,,All
Dress,Polyester,Multicolor,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,Apricot,,Summer
Bottom,Polyester,Multicolor,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Dusty Pink,Sleeveless,Summer
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Dress,Cotton,White,Sleeveless,Summer
Bottom,Polyester,Black,,All
Dress,Rayon,Blue,Sleeveless,Summer
Dress,Polyester,Black,Sleeveless,Summer
Bottom,Polyester,Multicolor,,Spring
Dress,Polyester,Black,Sleeveless,Summer
Bottom,PU Leather,Dark Green,,"['Fall', 'Winter']"
Top,Cotton,Black,Half Sleeve,Summer
Top,Polyester,Mint Green,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Dress,Cotton,Black,Sleeveless,Summer
Top,Cotton,White,Long Sleeve,"['Spring', 'Summer']"
Bottom,Corduroy,Maroon,,"['Fall', 'Winter']"
Dress,Polyester,Mustard Yellow,,"['Spring', 'Fall']"
Bottom,Polyester,Multicolor,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Multicolor,,"['Spring', 'Summer', 'Fall']"
Bottom,Nylon,Burgundy,,All
Dress,Rayon,"Yellow, Bright",Sleeveless,Summer
