Materiale,Colore,Lunghezza,Stagione,Meteo,TemperaturaPercepita,StagionePrevisione,Punteggio
cotone,scuro,corto,estate,pioggia,3.65,inverno,13
cotone,chiaro,corto,estate,soleggiato,17.9,autunno,17
poliestere,scuro,corto,all,soleggiato,4.550000000000001,inverno,16
cotone,chiaro,corto,all,soleggiato,28.7,estate,31
cotone,scuro,corto,estate,nuvoloso,7.6,primavera,17
poliestere,scuro,corto,estate,pioggia,4.1,primavera,17
poliestere,chiaro,corto,estate,pioggia,18.0,primavera,19
cotone,scuro,corto,estate,pioggia,14.65,autunno,15
poliestere,scuro,corto,all,soleggiato,9.95,primavera,16
poliestere,colorato,corto,estate,nuvoloso,-0.5499999999999998,inverno,13
poliestere,scuro,corto,autunno_inverno,pioggia,30.25,estate,20
poliestere,scuro,corto,all,pioggia,-0.3,autunno,16
velluto,scuro,corto,autunno_inverno,soleggiato,31.9,estate,14
poliestere,colorato,corto,all,pioggia,14.95,primavera,17
poliestere,colorato,corto,all,pioggia,7.75,inverno,16
poliestere,scuro,corto,all,pioggia,25.35,estate,21
poliestere,chiaro,corto,all,soleggiato,24.200000000000003,autunno,25
poliestere,colorato,corto,primavera_estate,pioggia,20.45,autunno,18
cotone,colorato,corto,all,soleggiato,27.5,estate,26
poliestere,chiaro,corto,all,pioggia,13.95,autunno,17
poliestere,colorato,corto,estate,pioggia,18.25,primavera,19
poliestere,chiaro,corto,estate,soleggiato,21.95,primavera,26
poliestere,colorato,corto,estate,pioggia,33.3,estate,25
poliestere,colorato,corto,inverno,soleggiato,19.15,autunno,19
cotone,colorato,corto,all,pioggia,7.449999999999999,inverno,16
poliestere,scuro,corto,all,pioggia,26.35,estate,21
poliestere,scuro,corto,all,soleggiato,20.6,primavera,15
poliestere,colorato,corto,estate,pioggia,13.85,inverno,14
poliestere,scuro,corto,estate,pioggia,11.55,primavera,18
poliestere,colorato,corto,all,soleggiato,28.2,estate,21
poliestere,chiaro,corto,estate,pioggia,17.15,estate,21
poliestere,scuro,corto,all,pioggia,19.75,autunno,18
poliestere,scuro,corto,all,nuvoloso,1.1,primavera,16
cotone,scuro,corto,all,soleggiato,7.75,primavera,16
poliestere,scuro,corto,estate,pioggia,8.5,inverno,13
poliestere,colorato,corto,all,pioggia,22.9,primavera,20
poliestere,colorato,corto,all,soleggiato,5.7,inverno,16
cotone,colorato,corto,estate,soleggiato,12.25,primavera,19
poliestere,scuro,corto,all,neve,2.7,inverno,16
poliestere,scuro,corto,all,pioggia,1.2000000000000002,inverno,16
poliestere,colorato,corto,primavera,nuvoloso,11.95,autunno,16
poliestere,colorato,corto,all,soleggiato,29.75,estate,21
poliestere,colorato,corto,all,soleggiato,27.55,estate,21
poliestere,scuro,corto,estate,pioggia,27.0,estate,24
poliestere,colorato,corto,all,soleggiato,3.35,inverno,16
velluto,colorato,corto,all,nuvoloso,3.0500000000000003,inverno,17
poliestere,colorato,corto,estate,soleggiato,3.15,inverno,13
velluto,scuro,corto,autunno_inverno,pioggia,27.85,estate,17
poliestere,colorato,corto,estate,pioggia,28.4,estate,24
poliestere,colorato,corto,estate,pioggia,28.65,estate,24
poliestere,chiaro,corto,estate,pioggia,6.7,autunno,13
poliestere,scuro,corto,all,pioggia,9.55,inverno,16
poliestere,scuro,corto,estate,soleggiato,28.4,estate,19
poliestere,colorato,corto,estate,pioggia,2.7,inverno,13
poliestere,colorato,corto,all,pioggia,24.25,estate,20
poliestere,colorato,corto,primavera_estate,pioggia,30.55,estate,24
poliestere,chiaro,corto,estate,pioggia,30.4,autunno,19
poliestere,scuro,corto,all,soleggiato,-0.5,inverno,16
poliestere,scuro,corto,all,nuvoloso,30.65,estate,22
poliestere,scuro,corto,estate,pioggia,25.05,estate,24
poliestere,colorato,corto,estate,soleggiato,15.75,autunno,15
poliestere,scuro,corto,estate,soleggiato,30.200000000000003,estate,20
raso,colorato,corto,primavera_estate,nuvoloso,1.05,inverno,7
cotone,scuro,corto,estate,soleggiato,15.95,primavera,21
poliestere,chiaro,corto,all,pioggia,1.2999999999999998,inverno,16
cotone,colorato,corto,all,soleggiato,31.5,estate,27
poliestere,scuro,corto,estate,nuvoloso,7.8,inverno,13
cotone,scuro,corto,all,soleggiato,29.4,estate,21
poliestere,colorato,corto,estate,pioggia,17.85,primavera,19
poliestere,colorato,corto,estate,nuvoloso,14.9,autunno,14
poliestere,colorato,corto,all,soleggiato,25.450000000000003,estate,21
poliestere,colorato,corto,estate,nuvoloso,4.15,inverno,13
poliestere,colorato,corto,estate,soleggiato,20.55,autunno,17
poliestere,colorato,corto,primavera_estate,soleggiato,10.0,primavera,19
poliestere,scuro,corto,estate,soleggiato,22.45,estate,18
poliestere,colorato,corto,primavera_estate,nuvoloso,6.1,inverno,14
poliestere,colorato,corto,estate,pioggia,11.95,primavera,18
poliestere,scuro,corto,estate,soleggiato,19.15,autunno,15
poliestere,colorato,corto,estate,soleggiato,25.9,estate,24
cotone,scuro,corto,estate,soleggiato,2.45,inverno,13
velluto,scuro,corto,autunno_inverno,nuvoloso,11.0,primavera,13
poliestere,colorato,corto,estate,pioggia,26.55,autunno,18
poliestere,scuro,corto,estate,soleggiato,27.25,estate,19
poliestere,scuro,corto,estate,soleggiato,8.45,primavera,17
poliestere,colorato,corto,estate,soleggiato,11.8,primavera,18
poliestere,scuro,corto,estate,pioggia,6.25,inverno,13
poliestere,colorato,corto,estate,soleggiato,5.7,autunno,13
poliestere,colorato,corto,estate,soleggiato,5.45,inverno,13
poliestere,scuro,corto,estate,pioggia,12.6,primavera,18
poliestere,colorato,corto,estate,nuvoloso,2.55,inverno,13
poliestere,colorato,corto,estate,soleggiato,12.25,primavera,18
poliestere,scuro,corto,estate,pioggia,28.1,autunno,18
poliestere,scuro,corto,all,pioggia,21.4,estate,20
poliestere,colorato,corto,all,pioggia,13.9,autunno,17
poliestere,colorato,corto,estate,soleggiato,20.35,autunno,17
cotone,scuro,corto,all,soleggiato,4.7,inverno,16
poliestere,colorato,corto,all,soleggiato,27.55,estate,21
poliestere,colorato,corto,all,nuvoloso,10.85,primavera,17
poliestere,scuro,corto,estate,soleggiato,30.75,estate,20
poliestere,scuro,corto,all,pioggia,1.75,primavera,16
poliestere,chiaro,corto,estate,soleggiato,18.9,autunno,15
poliestere,scuro,corto,estate,soleggiato,24.05,autunno,12
poliestere,chiaro,corto,all,neve,2.4,primavera,16
poliestere,scuro,corto,estate,pioggia,3.55,inverno,13
poliestere,scuro,corto,all,soleggiato,2.0,autunno,16
poliestere,scuro,corto,estate,soleggiato,20.4,autunno,12
poliestere,colorato,corto,estate,soleggiato,31.2,estate,25
poliestere,scuro,corto,primavera_estate,soleggiato,17.45,autunno,16
poliestere,colorato,corto,estate,pioggia,27.85,estate,24
velluto,scuro,corto,autunno_inverno,soleggiato,32.650000000000006,estate,14
poliestere,chiaro,corto,estate,pioggia,12.3,inverno,14
poliestere,colorato,corto,estate,pioggia,14.0,primavera,18
poliestere,colorato,corto,all,pioggia,18.9,inverno,18
poliestere,scuro,corto,estate,nuvoloso,23.2,autunno,17
poliestere,colorato,corto,estate,soleggiato,25.15,estate,24
poliestere,colorato,corto,all,pioggia,30.4,estate,22
cotone,colorato,corto,estate,pioggia,8.9,autunno,13
poliestere,scuro,corto,all,pioggia,16.799999999999997,autunno,18
poliestere,colorato,corto,estate,pioggia,26.6,autunno,18
poliestere,colorato,corto,primavera_estate,soleggiato,1.35,inverno,14
cotone,colorato,corto,all,soleggiato,27.0,estate,26
poliestere,colorato,corto,estate,pioggia,27.6,estate,24
poliestere,chiaro,corto,estate,pioggia,8.6,autunno,13
cotone,colorato,corto,estate,nuvoloso,4.5,autunno,13
raso,colorato,corto,estate,nuvoloso,28.4,estate,26
poliestere,colorato,corto,estate,pioggia,11.35,primavera,18
poliestere,scuro,corto,all,pioggia,27.75,estate,21
poliestere,colorato,corto,estate,soleggiato,6.4,primavera,17
cotone,chiaro,corto,estate,soleggiato,10.0,primavera,19
cotone,scuro,corto,estate,soleggiato,19.9,primavera,21
poliestere,chiaro,corto,all,pioggia,15.75,autunno,18
cotone,colorato,corto,all,pioggia,13.0,primavera,18
poliestere,colorato,corto,all,soleggiato,29.05,estate,21
poliestere,scuro,corto,primavera_estate,pioggia,6.95,autunno,14
cotone,chiaro,corto,all,pioggia,18.9,autunno,20
poliestere,colorato,corto,all,soleggiato,5.5,inverno,16
poliestere,scuro,corto,estate,soleggiato,35.45,autunno,14
poliestere,scuro,corto,estate,neve,-2.6,inverno,13
poliestere,colorato,corto,estate,pioggia,33.9,estate,25
cotone,scuro,corto,all,pioggia,12.2,primavera,18
poliestere,chiaro,corto,estate,soleggiato,25.6,estate,29
poliestere,colorato,corto,all,soleggiato,0.25,inverno,16
poliestere,colorato,corto,estate,soleggiato,18.95,autunno,15
poliestere,chiaro,corto,estate,soleggiato,6.95,inverno,13
poliestere,colorato,corto,estate,soleggiato,6.1000000000000005,primavera,17
poliestere,scuro,corto,all,nuvoloso,28.3,estate,21
cotone,chiaro,corto,all,soleggiato,30.3,estate,32
poliestere,colorato,corto,all,pioggia,19.4,autunno,18
poliestere,scuro,corto,all,pioggia,7.65,primavera,16
tweed,chiaro,corto,estate,pioggia,25.700000000000003,primavera,19
poliestere,scuro,corto,all,soleggiato,29.1,estate,16
cotone,scuro,corto,estate,pioggia,24.8,estate,26
poliestere,colorato,corto,primavera_estate,pioggia,25.35,estate,23
cotone,colorato,corto,all,soleggiato,21.6,primavera,23
cotone,scuro,corto,all,soleggiato,2.5500000000000003,inverno,16
poliestere,scuro,corto,estate,pioggia,9.85,primavera,17
poliestere,colorato,corto,estate,soleggiato,29.45,estate,24
poliestere,scuro,corto,estate,pioggia,3.9,inverno,13
cotone,scuro,corto,all,nuvoloso,8.950000000000001,inverno,16
poliestere,colorato,corto,estate,nuvoloso,1.2500000000000002,primavera,17
poliestere,scuro,corto,all,pioggia,28.35,estate,21
poliestere,colorato,corto,estate,soleggiato,19.75,autunno,15
poliestere,colorato,corto,primavera_estate,pioggia,11.55,primavera,19
poliestere,colorato,corto,estate,nuvoloso,22.1,autunno,17
cotone,scuro,corto,all,soleggiato,1.2,inverno,16
poliestere,colorato,corto,primavera_estate,nuvoloso,10.85,autunno,15
poliestere,colorato,corto,estate,soleggiato,11.9,primavera,18
poliestere,scuro,corto,all,pioggia,12.8,primavera,17
cotone,colorato,corto,estate,pioggia,1.5,inverno,13
poliestere,scuro,corto,all,pioggia,25.4,primavera,21
poliestere,colorato,corto,all,pioggia,14.25,primavera,17
velluto,scuro,corto,autunno_inverno,soleggiato,10.3,autunno,17
cotone,scuro,corto,all,pioggia,13.65,primavera,18
poliestere,colorato,corto,estate,nuvoloso,11.35,primavera,18
poliestere,chiaro,corto,estate,pioggia,28.15,estate,24
poliestere,chiaro,corto,estate,soleggiato,31.35,estate,30
poliestere,colorato,corto,estate,soleggiato,19.6,autunno,15
poliestere,colorato,corto,estate,soleggiato,2.9000000000000004,primavera,17
poliestere,chiaro,corto,estate,soleggiato,5.25,autunno,13
poliestere,colorato,corto,estate,soleggiato,8.15,primavera,17
poliestere,scuro,corto,all,soleggiato,12.1,autunno,17
poliestere,scuro,corto,estate,nuvoloso,6.8,autunno,13
poliestere,chiaro,corto,primavera,pioggia,10.5,primavera,20
poliestere,scuro,corto,all,pioggia,16.05,autunno,18
cotone,colorato,corto,all,pioggia,26.9,estate,26
poliestere,colorato,corto,estate,neve,1.7,primavera,17
poliestere,colorato,corto,estate,nuvoloso,6.85,inverno,13
velluto,scuro,corto,autunno_inverno,pioggia,7.4,inverno,18
poliestere,colorato,corto,estate,soleggiato,31.700000000000003,estate,25
poliestere,scuro,corto,estate,soleggiato,2.5500000000000003,primavera,17
poliestere,scuro,corto,all,neve,-1.45,inverno,16
cotone,colorato,corto,estate,soleggiato,24.85,estate,26
poliestere,scuro,corto,estate,pioggia,31.75,estate,25
poliestere,scuro,corto,estate,soleggiato,3.3999999999999995,inverno,13
poliestere,scuro,corto,all,pioggia,4.7,inverno,16
poliestere,chiaro,corto,estate,soleggiato,-7.899999999999999,inverno,13
poliestere,colorato,corto,estate,pioggia,9.8,autunno,13
cotone,scuro,corto,estate,pioggia,10.7,inverno,15
velluto,scuro,corto,autunno_inverno,pioggia,10.15,autunno,17
poliestere,colorato,corto,estate,soleggiato,28.35,estate,24
cotone,colorato,corto,all,pioggia,34.3,autunno,27
cotone,colorato,corto,estate,neve,8.100000000000001,primavera,17
poliestere,colorato,corto,all,pioggia,-0.0500000000000002,inverno,16
poliestere,scuro,corto,estate,soleggiato,17.65,autunno,15
poliestere,colorato,corto,estate,pioggia,10.55,autunno,14
poliestere,scuro,corto,estate,soleggiato,2.45,inverno,13
poliestere,scuro,corto,estate,pioggia,25.7,estate,24
velluto,colorato,corto,all,pioggia,7.5,autunno,16
poliestere,colorato,corto,estate,nuvoloso,10.35,inverno,14
poliestere,colorato,corto,estate,pioggia,27.8,estate,24
poliestere,scuro,corto,estate,soleggiato,10.6,primavera,18
poliestere,colorato,corto,all,soleggiato,5.9,primavera,16
poliestere,colorato,corto,all,pioggia,4.4,inverno,16
cotone,chiaro,corto,autunno,pioggia,23.0,primavera,22
cotone,scuro,corto,all,nuvoloso,10.1,primavera,18
poliestere,scuro,corto,all,pioggia,2.2,inverno,16
poliestere,colorato,corto,estate,pioggia,23.9,estate,23
poliestere,scuro,corto,estate,soleggiato,29.15,estate,19
poliestere,colorato,corto,all,pioggia,9.3,autunno,16
poliestere,colorato,corto,all,pioggia,4.05,primavera,16
poliestere,colorato,corto,estate,pioggia,21.5,estate,23
poliestere,scuro,corto,all,pioggia,30.0,estate,22
cotone,chiaro,corto,all,pioggia,24.15,estate,23
poliestere,chiaro,corto,estate,pioggia,27.35,estate,24
poliestere,colorato,corto,primavera_estate,pioggia,3.65,primavera,18
cotone,chiaro,corto,estate,pioggia,24.65,autunno,20
poliestere,colorato,corto,estate,soleggiato,2.3,inverno,13
poliestere,colorato,corto,primavera_estate,pioggia,27.4,estate,23
cotone,colorato,corto,estate,pioggia,13.9,inverno,15
cotone,scuro,corto,estate,pioggia,21.75,primavera,24
poliestere,chiaro,corto,all,soleggiato,28.15,estate,26
poliestere,colorato,corto,estate,nuvoloso,5.65,inverno,13
cotone,scuro,corto,estate,soleggiato,5.35,autunno,13
poliestere,scuro,corto,estate,soleggiato,11.1,primavera,18
poliestere,scuro,corto,all,pioggia,17.950000000000003,estate,18
poliestere,colorato,corto,estate,nuvoloso,2.45,inverno,13
cotone,colorato,corto,primavera,soleggiato,25.35,estate,27
poliestere,scuro,corto,all,soleggiato,5.55,primavera,16
poliestere,colorato,corto,estate,neve,-5.85,inverno,13
poliestere,scuro,corto,estate,nuvoloso,23.15,autunno,17
poliestere,colorato,corto,estate,nuvoloso,8.7,autunno,13
cotone,scuro,corto,estate,soleggiato,30.05,estate,25
velluto,scuro,corto,autunno_inverno,pioggia,30.3,estate,19
poliestere,scuro,corto,estate,pioggia,29.4,estate,24
cotone,scuro,corto,all,pioggia,24.95,estate,23
cotone,scuro,corto,estate,soleggiato,0.3999999999999999,inverno,13
poliestere,colorato,corto,estate,soleggiato,4.8500000000000005,inverno,13
poliestere,scuro,corto,estate,soleggiato,3.95,inverno,13
poliestere,chiaro,corto,primavera,pioggia,27.3,estate,22
cotone,colorato,corto,estate,pioggia,5.95,inverno,13
cotone,scuro,corto,estate,nuvoloso,19.4,primavera,21
poliestere,scuro,corto,all,neve,-2.85,primavera,16
poliestere,colorato,corto,estate,pioggia,4.2,autunno,13
cotone,chiaro,corto,primavera,neve,5.9,primavera,19
cotone,scuro,corto,estate,soleggiato,29.0,estate,24
poliestere,chiaro,corto,estate,pioggia,15.1,autunno,15
poliestere,scuro,corto,estate,nuvoloso,-1.45,inverno,13
poliestere,colorato,corto,estate,pioggia,-1.15,inverno,13
poliestere,scuro,corto,all,soleggiato,8.35,primavera,16
poliestere,scuro,corto,estate,nuvoloso,12.8,primavera,18
poliestere,colorato,corto,estate,nuvoloso,6.85,inverno,13
poliestere,colorato,corto,all,neve,-3.1500000000000004,inverno,16
poliestere,colorato,corto,estate,soleggiato,24.25,estate,23
cotone,chiaro,corto,all,pioggia,13.3,primavera,18
poliestere,colorato,corto,estate,soleggiato,31.3,estate,25
poliestere,scuro,corto,all,soleggiato,30.4,estate,17
poliestere,chiaro,corto,all,soleggiato,6.35,inverno,16
poliestere,chiaro,corto,all,pioggia,8.35,inverno,16
poliestere,scuro,corto,all,soleggiato,27.1,estate,16
poliestere,colorato,corto,estate,pioggia,5.45,inverno,13
poliestere,colorato,corto,all,soleggiato,27.65,estate,21
poliestere,scuro,corto,estate,soleggiato,10.7,primavera,18
cotone,scuro,corto,estate,nuvoloso,2.1,primavera,17
poliestere,colorato,corto,primavera_estate,pioggia,24.75,estate,22
cotone,scuro,corto,estate,pioggia,23.5,autunno,20
poliestere,scuro,corto,estate,pioggia,20.3,autunno,17
cotone,colorato,corto,all,pioggia,24.15,estate,23
poliestere,scuro,corto,all,pioggia,7.399999999999999,inverno,16
poliestere,scuro,corto,estate,soleggiato,28.9,estate,19
poliestere,scuro,corto,estate,pioggia,15.55,autunno,15
poliestere,colorato,corto,estate,nuvoloso,6.35,autunno,13
poliestere,colorato,corto,primavera,pioggia,17.2,inverno,17
poliestere,scuro,corto,all,pioggia,22.8,estate,20
poliestere,scuro,corto,all,pioggia,4.05,inverno,16
poliestere,colorato,corto,primavera_estate,soleggiato,26.2,estate,23
poliestere,scuro,corto,all,pioggia,19.15,estate,18
poliestere,colorato,corto,all,soleggiato,6.0,primavera,16
poliestere,colorato,corto,primavera_estate,pioggia,30.45,estate,24
poliestere,colorato,corto,estate,pioggia,1.75,inverno,13
velluto,colorato,corto,all,neve,4.0,inverno,17
poliestere,chiaro,corto,estate,soleggiato,7.85,autunno,13
poliestere,colorato,corto,autunno,pioggia,30.25,autunno,25
poliestere,chiaro,corto,all,soleggiato,15.4,autunno,18
velluto,scuro,corto,autunno_inverno,pioggia,8.35,primavera,14
raso,scuro,corto,estate,pioggia,27.450000000000003,estate,26
poliestere,colorato,corto,primavera_estate,soleggiato,23.9,primavera,22
poliestere,chiaro,corto,all,pioggia,7.2,inverno,16
poliestere,scuro,corto,all,soleggiato,1.4,primavera,16
poliestere,scuro,corto,all,soleggiato,18.4,autunno,18
poliestere,scuro,corto,all,neve,8.2,primavera,16
cotone,scuro,corto,estate,soleggiato,30.1,estate,25
poliestere,colorato,corto,estate,pioggia,4.15,primavera,17
poliestere,colorato,corto,estate,soleggiato,7.800000000000001,inverno,13
poliestere,colorato,corto,estate,neve,-0.05,inverno,13
poliestere,scuro,corto,estate,soleggiato,24.5,estate,18
cotone,colorato,corto,estate,nuvoloso,21.9,primavera,24
poliestere,colorato,corto,all,pioggia,3.35,inverno,16
cotone,chiaro,corto,all,nuvoloso,5.4,primavera,16
poliestere,colorato,corto,estate,nuvoloso,18.8,autunno,15
poliestere,colorato,corto,all,soleggiato,5.9,inverno,16
poliestere,colorato,corto,estate,soleggiato,20.85,primavera,21
cotone,colorato,corto,estate,soleggiato,1.7999999999999998,inverno,13
cotone,scuro,corto,all,pioggia,24.3,primavera,23
cotone,colorato,corto,estate,pioggia,25.4,estate,29
poliestere,colorato,corto,all,soleggiato,-0.7999999999999998,primavera,16
poliestere,colorato,corto,estate,soleggiato,-3.25,inverno,13
poliestere,colorato,corto,primavera_estate,soleggiato,1.7999999999999998,inverno,14
poliestere,scuro,corto,primavera_estate,soleggiato,15.15,autunno,16
poliestere,chiaro,corto,autunno_inverno,pioggia,7.5,inverno,18
poliestere,scuro,corto,all,pioggia,22.55,autunno,20
poliestere,colorato,corto,estate,pioggia,15.9,inverno,15
poliestere,colorato,corto,all,soleggiato,8.1,inverno,16
cotone,colorato,corto,all,soleggiato,1.5,inverno,16
cotone,scuro,corto,all,soleggiato,31.65,estate,22
velluto,scuro,corto,autunno_inverno,pioggia,13.8,primavera,13
poliestere,scuro,corto,estate,soleggiato,19.5,estate,21
poliestere,chiaro,corto,estate,pioggia,6.45,inverno,13
poliestere,scuro,corto,all,pioggia,28.700000000000003,estate,21
raso,chiaro,corto,estate,soleggiato,-4.05,inverno,6
poliestere,colorato,corto,estate,soleggiato,1.4,primavera,17
poliestere,colorato,corto,primavera_estate,soleggiato,8.1,inverno,14
poliestere,colorato,corto,all,soleggiato,29.4,estate,21
poliestere,chiaro,corto,estate,soleggiato,1.4000000000000004,primavera,17
cotone,scuro,corto,all,soleggiato,25.45,estate,21
poliestere,colorato,corto,estate,nuvoloso,6.3,inverno,13
cotone,colorato,corto,all,soleggiato,18.65,primavera,20
cotone,chiaro,corto,all,neve,1.2499999999999998,inverno,16
poliestere,colorato,corto,primavera,soleggiato,27.8,estate,22
poliestere,colorato,corto,estate,pioggia,7.4,autunno,13
cotone,scuro,corto,all,pioggia,13.0,primavera,18
poliestere,colorato,corto,estate,soleggiato,13.05,autunno,14
poliestere,chiaro,corto,all,pioggia,11.4,primavera,17
poliestere,scuro,corto,all,pioggia,3.4,autunno,16
poliestere,colorato,corto,all,nuvoloso,5.4,autunno,16
cotone,scuro,corto,all,pioggia,17.7,estate,20
cotone,scuro,corto,estate,soleggiato,29.4,estate,24
velluto,scuro,corto,autunno_inverno,pioggia,0.7999999999999998,inverno,19
poliestere,scuro,corto,primavera_estate,soleggiato,2.45,inverno,14
poliestere,scuro,corto,estate,pioggia,27.8,estate,24
cotone,scuro,corto,estate,pioggia,22.15,primavera,24
cotone,scuro,corto,all,soleggiato,-2.65,primavera,16
poliestere,colorato,corto,primavera_estate,pioggia,6.15,inverno,14
poliestere,scuro,corto,all,neve,0.7999999999999998,inverno,16
poliestere,colorato,corto,estate,soleggiato,6.85,primavera,17
poliestere,scuro,corto,all,nuvoloso,11.8,autunno,17
poliestere,chiaro,corto,all,nuvoloso,10.3,autunno,17
raso,scuro,corto,all,soleggiato,27.05,estate,18
poliestere,colorato,corto,estate,soleggiato,-3.3,inverno,13
cotone,chiaro,corto,estate,soleggiato,23.65,autunno,25
poliestere,chiaro,corto,estate,pioggia,17.1,estate,21
poliestere,scuro,corto,estate,soleggiato,29.25,estate,19
poliestere,chiaro,corto,all,soleggiato,16.4,autunno,18
poliestere,chiaro,corto,estate,pioggia,4.75,autunno,13
poliestere,scuro,corto,all,pioggia,19.55,primavera,18
poliestere,colorato,corto,estate,pioggia,9.4,primavera,17
cotone,scuro,corto,all,pioggia,0.8999999999999999,primavera,16
poliestere,colorato,corto,estate,nuvoloso,21.15,autunno,17
poliestere,colorato,corto,primavera_estate,pioggia,16.45,estate,20
velluto,scuro,corto,autunno_inverno,soleggiato,31.0,autunno,18
poliestere,colorato,corto,estate,pioggia,6.949999999999999,primavera,17
poliestere,colorato,corto,estate,soleggiato,16.5,primavera,19
cotone,scuro,corto,all,pioggia,28.75,autunno,26
poliestere,scuro,corto,estate,nuvoloso,3.8,inverno,13
poliestere,colorato,corto,estate,neve,-1.65,autunno,13
poliestere,scuro,corto,all,pioggia,21.65,autunno,20
poliestere,scuro,corto,all,soleggiato,10.35,autunno,17
poliestere,colorato,corto,estate,pioggia,20.0,autunno,17
poliestere,colorato,corto,all,soleggiato,7.0,primavera,16
poliestere,scuro,corto,all,nuvoloso,27.55,estate,21
raso,scuro,corto,estate,pioggia,8.049999999999999,inverno,7
poliestere,colorato,corto,estate,pioggia,24.25,estate,23
poliestere,colorato,corto,estate,soleggiato,26.65,estate,24
poliestere,colorato,corto,all,soleggiato,-0.55,primavera,16
poliestere,scuro,corto,estate,pioggia,11.6,inverno,14
poliestere,scuro,corto,all,pioggia,22.95,primavera,20
poliestere,scuro,corto,estate,pioggia,16.299999999999997,inverno,15
poliestere,chiaro,corto,all,soleggiato,27.3,estate,26
poliestere,scuro,corto,all,nuvoloso,5.1000000000000005,inverno,16
poliestere,colorato,corto,estate,pioggia,9.35,primavera,17
cotone,chiaro,corto,all,pioggia,17.3,autunno,20
poliestere,colorato,corto,all,pioggia,12.7,autunno,17
cotone,scuro,corto,estate,pioggia,7.85,autunno,13
poliestere,colorato,corto,estate,pioggia,21.9,estate,23
poliestere,scuro,corto,all,soleggiato,31.15,estate,17
poliestere,colorato,corto,estate,pioggia,6.5,inverno,13
poliestere,scuro,corto,estate,pioggia,7.699999999999999,inverno,13
cotone,scuro,corto,estate,soleggiato,17.4,primavera,21
poliestere,colorato,corto,all,soleggiato,26.85,estate,21
poliestere,scuro,corto,primavera_estate,pioggia,8.0,inverno,14
poliestere,colorato,corto,estate,soleggiato,5.55,primavera,17
cotone,scuro,corto,estate,soleggiato,13.1,primavera,19
velluto,colorato,corto,autunno_inverno,soleggiato,33.55,estate,19
poliestere,scuro,corto,all,pioggia,11.5,primavera,17
poliestere,colorato,corto,estate,pioggia,21.8,estate,23
cotone,scuro,corto,all,soleggiato,24.5,estate,18
poliestere,colorato,corto,primavera_estate,nuvoloso,9.65,primavera,18
poliestere,colorato,corto,estate,soleggiato,-0.5499999999999998,inverno,13
poliestere,scuro,corto,estate,pioggia,13.0,primavera,18
poliestere,colorato,corto,estate,soleggiato,15.4,autunno,15
velluto,scuro,corto,autunno_inverno,pioggia,24.65,autunno,19
poliestere,colorato,corto,estate,soleggiato,3.0,inverno,13
poliestere,colorato,corto,estate,pioggia,3.1,inverno,13
poliestere,chiaro,corto,estate,soleggiato,6.800000000000001,primavera,17
cotone,scuro,corto,estate,soleggiato,10.2,primavera,19
poliestere,chiaro,corto,estate,pioggia,4.5,inverno,13
poliestere,colorato,corto,all,nuvoloso,21.3,autunno,20
cotone,scuro,corto,primavera_estate,pioggia,17.4,autunno,18
poliestere,colorato,corto,estate,pioggia,4.55,autunno,13
cotone,chiaro,corto,estate,soleggiato,17.35,autunno,17
