Materiale,Colore,Manica,Stagione,time,Meteo,TemperaturaPercepita,StagionePrevisione,Mese
seta,chiaro,lunga,primavera,2022-08-16,pioggia,27.85,estate,agosto
raso,scuro,corta,estate,2022-07-28,soleggiato,32.650000000000006,estate,luglio
lino,scuro,corta,estate,2022-12-23,pioggia,12.3,inverno,dicembre
lino,chiaro,corta,primavera,2022-05-02,pioggia,14.0,primavera,maggio
seta,chiaro,corta,estate,2022-12-15,pioggia,18.9,inverno,dicembre
raso,chiaro,corta,primavera_estate,2022-09-13,nuvoloso,23.2,autunno,settembre
raso,scuro,lunga,primavera,2022-08-09,soleggiato,25.15,estate,agosto
lino,chiaro,corta,primavera,2022-08-02,pioggia,30.4,estate,agosto
seta,chiaro,lunga,primavera,2022-11-27,pioggia,8.9,autunno,novembre
lino,scuro,lunga,primavera_estate,2022-09-28,pioggia,16.799999999999997,autunno,settembre
lino,scuro,corta,estate,2022-09-03,pioggia,26.6,autunno,settembre
seta,colorato,lunga,estate,2022-01-12,soleggiato,1.35,inverno,gennaio
lino,colorato,lunga,estate,2022-08-25,soleggiato,27.0,estate,agosto
raso,scuro,lunga,primavera_estate,2022-08-27,pioggia,27.6,estate,agosto
seta,colorato,lunga,estate,2022-10-22,pioggia,8.6,autunno,ottobre
seta,chiaro,corta,estate,2022-11-28,nuvoloso,4.5,autunno,novembre
lino,scuro,lunga,estate,2022-06-04,nuvoloso,28.4,estate,giugno
raso,chiaro,lunga,estate,2022-05-31,pioggia,11.35,primavera,maggio
seta,chiaro,corta,primavera_estate,2022-07-23,pioggia,27.75,estate,luglio
raso,colorato,corta,estate,2022-03-22,soleggiato,6.4,primavera,marzo
raso,scuro,lunga,primavera_estate,2022-03-16,soleggiato,10.0,primavera,marzo
raso,colorato,lunga,primavera,2022-05-21,soleggiato,19.9,primavera,maggio
lino,scuro,lunga,primavera,2022-10-22,pioggia,15.75,autunno,ottobre
lino,chiaro,corta,primavera,2022-05-25,pioggia,13.0,primavera,maggio
raso,scuro,corta,estate,2022-07-31,soleggiato,29.05,estate,luglio
seta,chiaro,lunga,primavera,2022-11-06,pioggia,6.95,autunno,novembre
raso,colorato,corta,primavera,2022-09-10,pioggia,18.9,autunno,settembre
raso,scuro,corta,primavera_estate,2022-02-01,soleggiato,5.5,inverno,febbraio
lino,colorato,corta,primavera_estate,2022-09-08,soleggiato,35.45,autunno,settembre
raso,colorato,corta,primavera,2022-12-17,neve,-2.6,inverno,dicembre
lino,colorato,lunga,primavera_estate,2022-07-23,pioggia,33.9,estate,luglio
seta,scuro,corta,primavera_estate,2022-03-26,pioggia,12.2,primavera,marzo
raso,chiaro,lunga,primavera,2022-08-13,soleggiato,25.6,estate,agosto
seta,chiaro,lunga,primavera_estate,2022-01-10,soleggiato,0.25,inverno,gennaio
lino,chiaro,corta,estate,2022-10-07,soleggiato,18.95,autunno,ottobre
lino,scuro,lunga,estate,2022-02-23,soleggiato,6.95,inverno,febbraio
raso,scuro,lunga,primavera_estate,2022-03-14,soleggiato,6.1000000000000005,primavera,marzo
seta,colorato,corta,primavera,2022-06-04,nuvoloso,28.3,estate,giugno
seta,chiaro,corta,primavera,2022-08-03,soleggiato,30.3,estate,agosto
seta,chiaro,lunga,estate,2022-09-29,pioggia,19.4,autunno,settembre
seta,scuro,corta,estate,2022-03-31,pioggia,7.65,primavera,marzo
raso,chiaro,lunga,primavera_estate,2022-05-16,pioggia,25.700000000000003,primavera,maggio
lino,colorato,corta,estate,2022-07-30,soleggiato,29.1,estate,luglio
seta,scuro,lunga,primavera,2022-06-27,pioggia,24.8,estate,giugno
raso,chiaro,corta,primavera_estate,2022-08-13,pioggia,25.35,estate,agosto
seta,colorato,lunga,primavera,2022-05-20,soleggiato,21.6,primavera,maggio
seta,colorato,corta,primavera_estate,2022-02-09,soleggiato,2.5500000000000003,inverno,febbraio
seta,chiaro,lunga,primavera_estate,2022-03-30,pioggia,9.85,primavera,marzo
lino,scuro,corta,primavera,2022-07-31,soleggiato,29.45,estate,luglio
lino,colorato,corta,primavera_estate,2022-02-02,pioggia,3.9,inverno,febbraio
lino,scuro,lunga,primavera,2022-12-25,nuvoloso,8.950000000000001,inverno,dicembre
seta,scuro,lunga,estate,2022-03-08,nuvoloso,1.2500000000000002,primavera,marzo
lino,scuro,lunga,estate,2022-07-27,pioggia,28.35,estate,luglio
lino,colorato,lunga,estate,2022-10-29,soleggiato,19.75,autunno,ottobre
raso,colorato,lunga,primavera_estate,2022-04-24,pioggia,11.55,primavera,aprile
seta,colorato,corta,primavera,2022-10-18,nuvoloso,22.1,autunno,ottobre
lino,scuro,corta,primavera,2022-01-13,soleggiato,1.2,inverno,gennaio
raso,scuro,corta,primavera_estate,2022-11-05,nuvoloso,10.85,autunno,novembre
lino,scuro,corta,primavera,2022-04-13,soleggiato,11.9,primavera,aprile
raso,scuro,lunga,estate,2022-05-26,pioggia,12.8,primavera,maggio
lino,scuro,lunga,estate,2022-01-20,pioggia,1.5,inverno,gennaio
seta,colorato,corta,estate,2022-05-15,pioggia,25.4,primavera,maggio
lino,colorato,corta,primavera,2022-05-02,pioggia,14.25,primavera,maggio
seta,chiaro,corta,estate,2022-09-24,soleggiato,10.3,autunno,settembre
raso,scuro,lunga,estate,2022-05-16,pioggia,13.65,primavera,maggio
seta,colorato,corta,estate,2022-04-16,nuvoloso,11.35,primavera,aprile
lino,scuro,corta,primavera,2022-08-31,pioggia,28.15,estate,agosto
raso,colorato,lunga,primavera_estate,2022-07-24,soleggiato,31.35,estate,luglio
raso,colorato,lunga,estate,2022-10-20,soleggiato,19.6,autunno,ottobre
lino,colorato,corta,primavera,2022-03-09,soleggiato,2.9000000000000004,primavera,marzo
raso,colorato,lunga,estate,2022-11-23,soleggiato,5.25,autunno,novembre
seta,scuro,corta,primavera_estate,2022-03-26,soleggiato,8.15,primavera,marzo
seta,colorato,lunga,primavera,2022-10-06,soleggiato,12.1,autunno,ottobre
seta,chiaro,corta,estate,2022-11-25,nuvoloso,6.8,autunno,novembre
raso,colorato,lunga,primavera,2022-04-22,pioggia,10.5,primavera,aprile
seta,scuro,lunga,estate,2022-10-01,pioggia,16.05,autunno,ottobre
raso,scuro,lunga,primavera,2022-08-26,pioggia,26.9,estate,agosto
raso,colorato,lunga,primavera_estate,2022-03-13,neve,1.7,primavera,marzo
seta,chiaro,lunga,primavera,2022-12-25,nuvoloso,6.85,inverno,dicembre
raso,chiaro,lunga,primavera,2022-01-12,pioggia,7.4,inverno,gennaio
raso,colorato,corta,primavera,2022-07-16,soleggiato,31.700000000000003,estate,luglio
lino,chiaro,lunga,estate,2022-03-20,soleggiato,2.5500000000000003,primavera,marzo
lino,colorato,lunga,estate,2022-01-12,neve,-1.45,inverno,gennaio
lino,chiaro,lunga,primavera_estate,2022-07-10,soleggiato,24.85,estate,luglio
seta,scuro,corta,estate,2022-07-16,pioggia,31.75,estate,luglio
raso,chiaro,corta,estate,2022-01-24,soleggiato,3.3999999999999995,inverno,gennaio
raso,chiaro,lunga,primavera,2022-01-19,pioggia,4.7,inverno,gennaio
raso,colorato,corta,primavera_estate,2022-02-26,soleggiato,-7.899999999999999,inverno,febbraio
lino,scuro,lunga,estate,2022-10-15,pioggia,9.8,autunno,ottobre
raso,scuro,lunga,estate,2022-01-03,pioggia,10.7,inverno,gennaio
seta,colorato,corta,primavera_estate,2022-11-13,pioggia,10.15,autunno,novembre
lino,colorato,corta,estate,2022-08-03,soleggiato,28.35,estate,agosto
seta,chiaro,corta,primavera_estate,2022-09-07,pioggia,34.3,autunno,settembre
raso,colorato,corta,primavera,2022-04-24,neve,8.100000000000001,primavera,aprile
lino,scuro,corta,primavera_estate,2022-01-21,pioggia,-0.0500000000000002,inverno,gennaio
lino,colorato,lunga,estate,2022-09-24,soleggiato,17.65,autunno,settembre
seta,scuro,corta,primavera_estate,2022-11-04,pioggia,10.55,autunno,novembre
raso,scuro,corta,primavera_estate,2022-01-16,soleggiato,2.45,inverno,gennaio
raso,scuro,lunga,primavera_estate,2022-06-21,pioggia,25.7,estate,giugno
raso,colorato,corta,primavera,2022-11-03,pioggia,7.5,autunno,novembre
lino,colorato,corta,estate,2022-01-03,nuvoloso,10.35,inverno,gennaio
seta,chiaro,lunga,estate,2022-08-07,pioggia,27.8,estate,agosto
seta,chiaro,lunga,primavera,2022-03-28,soleggiato,10.6,primavera,marzo
seta,chiaro,corta,primavera,2022-03-03,soleggiato,5.9,primavera,marzo
lino,colorato,corta,estate,2022-12-17,pioggia,4.4,inverno,dicembre
lino,chiaro,lunga,estate,2022-05-13,pioggia,23.0,primavera,maggio
seta,colorato,lunga,estate,2022-04-06,nuvoloso,10.1,primavera,aprile
raso,colorato,corta,primavera_estate,2022-02-27,pioggia,2.2,inverno,febbraio
raso,chiaro,corta,primavera,2022-08-13,pioggia,23.9,estate,agosto
lino,chiaro,lunga,primavera_estate,2022-07-28,soleggiato,29.15,estate,luglio
seta,scuro,lunga,primavera_estate,2022-11-20,pioggia,9.3,autunno,novembre
lino,scuro,lunga,primavera_estate,2022-04-02,pioggia,4.05,primavera,aprile
seta,colorato,corta,primavera,2022-06-10,pioggia,21.5,estate,giugno
seta,colorato,lunga,estate,2022-07-07,pioggia,30.0,estate,luglio
seta,chiaro,corta,estate,2022-06-22,pioggia,24.15,estate,giugno
raso,chiaro,lunga,estate,2022-08-29,pioggia,27.35,estate,agosto
raso,chiaro,corta,primavera,2022-03-04,pioggia,3.65,primavera,marzo
seta,chiaro,lunga,primavera,2022-09-11,pioggia,24.65,autunno,settembre
seta,colorato,lunga,estate,2022-01-11,soleggiato,2.3,inverno,gennaio
lino,colorato,lunga,estate,2022-08-04,pioggia,27.4,estate,agosto
raso,colorato,corta,primavera_estate,2022-12-11,pioggia,13.9,inverno,dicembre
seta,scuro,corta,primavera_estate,2022-05-29,pioggia,21.75,primavera,maggio
raso,scuro,corta,primavera_estate,2022-06-18,soleggiato,28.15,estate,giugno
seta,scuro,lunga,estate,2022-02-04,nuvoloso,5.65,inverno,febbraio
seta,scuro,lunga,estate,2022-09-20,soleggiato,5.35,autunno,settembre
raso,scuro,lunga,primavera,2022-03-26,soleggiato,11.1,primavera,marzo
raso,colorato,corta,primavera_estate,2022-07-02,pioggia,17.950000000000003,estate,luglio
raso,chiaro,corta,estate,2022-02-10,nuvoloso,2.45,inverno,febbraio
raso,colorato,lunga,primavera,2022-06-07,soleggiato,25.35,estate,giugno
lino,scuro,lunga,primavera_estate,2022-03-20,soleggiato,5.55,primavera,marzo
lino,chiaro,corta,primavera,2022-02-07,neve,-5.85,inverno,febbraio
lino,scuro,corta,primavera,2022-09-01,nuvoloso,23.15,autunno,settembre
raso,colorato,corta,estate,2022-11-28,nuvoloso,8.7,autunno,novembre
lino,colorato,corta,primavera_estate,2022-06-19,soleggiato,30.05,estate,giugno
lino,chiaro,lunga,primavera_estate,2022-06-30,pioggia,30.3,estate,giugno
lino,colorato,corta,estate,2022-08-27,pioggia,29.4,estate,agosto
seta,chiaro,lunga,estate,2022-08-23,pioggia,24.95,estate,agosto
seta,chiaro,lunga,estate,2022-02-27,soleggiato,0.3999999999999999,inverno,febbraio
raso,colorato,corta,primavera,2022-02-03,soleggiato,4.8500000000000005,inverno,febbraio
seta,chiaro,lunga,primavera_estate,2022-02-05,soleggiato,3.95,inverno,febbraio
seta,scuro,lunga,estate,2022-06-16,pioggia,27.3,estate,giugno
lino,scuro,lunga,primavera,2022-01-21,pioggia,5.95,inverno,gennaio
seta,colorato,lunga,estate,2022-04-15,nuvoloso,19.4,primavera,aprile
raso,chiaro,corta,primavera_estate,2022-04-04,neve,-2.85,primavera,aprile
lino,chiaro,lunga,estate,2022-11-21,pioggia,4.2,autunno,novembre
lino,chiaro,corta,primavera,2022-03-19,neve,5.9,primavera,marzo
seta,chiaro,lunga,primavera_estate,2022-07-16,soleggiato,29.0,estate,luglio
seta,scuro,lunga,primavera,2022-11-20,pioggia,15.1,autunno,novembre
lino,scuro,lunga,estate,2022-12-12,nuvoloso,-1.45,inverno,dicembre
seta,scuro,lunga,estate,2022-01-09,pioggia,-1.15,inverno,gennaio
lino,scuro,lunga,primavera_estate,2022-04-18,soleggiato,8.35,primavera,aprile
lino,scuro,corta,estate,2022-03-16,nuvoloso,12.8,primavera,marzo
seta,colorato,lunga,primavera,2022-12-25,nuvoloso,6.85,inverno,dicembre
raso,chiaro,lunga,primavera_estate,2022-02-15,neve,-3.1500000000000004,inverno,febbraio
seta,scuro,corta,primavera_estate,2022-07-14,soleggiato,24.25,estate,luglio
raso,colorato,corta,primavera_estate,2022-04-27,pioggia,13.3,primavera,aprile
lino,colorato,lunga,estate,2022-07-16,soleggiato,31.3,estate,luglio
seta,scuro,lunga,primavera,2022-08-04,soleggiato,30.4,estate,agosto
raso,scuro,corta,primavera,2022-02-03,soleggiato,6.35,inverno,febbraio
seta,scuro,corta,estate,2022-02-26,pioggia,8.35,inverno,febbraio
seta,colorato,corta,estate,2022-08-20,soleggiato,27.1,estate,agosto
seta,colorato,corta,primavera_estate,2022-01-04,pioggia,5.45,inverno,gennaio
raso,colorato,lunga,estate,2022-08-22,soleggiato,27.65,estate,agosto
lino,chiaro,corta,primavera,2022-03-25,soleggiato,10.7,primavera,marzo
seta,chiaro,corta,estate,2022-03-08,nuvoloso,2.1,primavera,marzo
raso,chiaro,lunga,primavera_estate,2022-08-19,pioggia,24.75,estate,agosto
seta,scuro,lunga,estate,2022-09-03,pioggia,23.5,autunno,settembre
raso,chiaro,lunga,estate,2022-10-24,pioggia,20.3,autunno,ottobre
raso,colorato,lunga,primavera,2022-07-08,pioggia,24.15,estate,luglio
seta,chiaro,lunga,estate,2022-01-31,pioggia,7.399999999999999,inverno,gennaio
lino,colorato,corta,estate,2022-06-19,soleggiato,28.9,estate,giugno
raso,colorato,corta,estate,2022-11-16,pioggia,15.55,autunno,novembre
raso,chiaro,lunga,primavera,2022-11-06,nuvoloso,6.35,autunno,novembre
lino,colorato,lunga,primavera_estate,2022-12-10,pioggia,17.2,inverno,dicembre
raso,chiaro,lunga,primavera_estate,2022-06-09,pioggia,22.8,estate,giugno
lino,chiaro,lunga,estate,2022-01-05,pioggia,4.05,inverno,gennaio
raso,scuro,lunga,estate,2022-07-10,soleggiato,26.2,estate,luglio
seta,scuro,corta,primavera,2022-06-08,pioggia,19.15,estate,giugno
raso,chiaro,lunga,estate,2022-03-19,soleggiato,6.0,primavera,marzo
lino,chiaro,corta,primavera,2022-08-12,pioggia,30.45,estate,agosto
lino,scuro,corta,primavera_estate,2022-12-17,pioggia,1.75,inverno,dicembre
lino,colorato,lunga,primavera,2022-12-21,neve,4.0,inverno,dicembre
raso,chiaro,lunga,estate,2022-11-07,soleggiato,7.85,autunno,novembre
raso,colorato,lunga,estate,2022-09-08,pioggia,30.25,autunno,settembre
raso,chiaro,corta,primavera,2022-09-22,soleggiato,15.4,autunno,settembre
raso,scuro,lunga,primavera,2022-04-04,pioggia,8.35,primavera,aprile
raso,scuro,corta,primavera,2022-08-20,pioggia,27.450000000000003,estate,agosto
lino,colorato,lunga,primavera,2022-05-31,soleggiato,23.9,primavera,maggio
raso,scuro,lunga,estate,2022-12-04,pioggia,7.2,inverno,dicembre
lino,chiaro,corta,primavera,2022-03-08,soleggiato,1.4,primavera,marzo
raso,scuro,lunga,primavera_estate,2022-10-30,soleggiato,18.4,autunno,ottobre
raso,chiaro,corta,primavera,2022-04-09,neve,8.2,primavera,aprile
raso,chiaro,corta,primavera_estate,2022-07-20,soleggiato,30.1,estate,luglio
raso,chiaro,corta,primavera,2022-04-02,pioggia,4.15,primavera,aprile
lino,scuro,lunga,primavera,2022-02-25,soleggiato,7.800000000000001,inverno,febbraio
raso,scuro,corta,primavera_estate,2022-02-22,neve,-0.05,inverno,febbraio
lino,chiaro,corta,primavera_estate,2022-07-10,soleggiato,24.5,estate,luglio
seta,scuro,lunga,primavera_estate,2022-05-22,nuvoloso,21.9,primavera,maggio
seta,chiaro,corta,estate,2022-02-13,pioggia,3.35,inverno,febbraio
lino,chiaro,lunga,primavera,2022-03-03,nuvoloso,5.4,primavera,marzo
raso,colorato,corta,primavera_estate,2022-11-01,nuvoloso,18.8,autunno,novembre
seta,chiaro,lunga,primavera,2022-02-11,soleggiato,5.9,inverno,febbraio
