Materiale,Colore,Manica,Stagione,time,Meteo,TemperaturaPercepita,StagionePrevisione,Mese,Punteggio
cotone,scuro,corta,estate,2022-10-22,pioggia,20.45,autunno,ottobre,20
poliestere,scuro,corta,estate,2022-08-29,soleggiato,27.5,estate,agosto,19
poliestere,scuro,lunga,autunno,2022-11-01,pioggia,13.95,autunno,novembre,28
poliestere,colorato,lunga,autunno,2022-05-08,pioggia,18.25,primavera,maggio,23
poliestere,chiaro,lunga,autunno,2022-05-17,soleggiato,21.95,primavera,maggio,24
poliestere,scuro,lunga,autunno,2022-08-06,pioggia,33.3,estate,agosto,11
poliestere,colorato,corta,estate,2022-10-31,soleggiato,19.15,autunno,ottobre,15
poliestere,scuro,corta,primavera_estate,2022-12-08,pioggia,7.449999999999999,inverno,dicembre,14
poliestere,colorato,lunga,primavera,2022-07-24,pioggia,26.35,estate,luglio,16
poliestere,chiaro,lunga,primavera,2022-05-31,soleggiato,20.6,primavera,maggio,28
poliestere,scuro,lunga,autunno,2022-12-14,pioggia,13.85,inverno,dicembre,26
poliestere,colorato,corta,estate,2022-05-03,pioggia,11.55,primavera,maggio,18
poliestere,scuro,lunga,primavera_estate,2022-06-06,soleggiato,28.2,estate,giugno,12
poliestere,chiaro,corta,estate,2022-08-09,pioggia,17.15,estate,agosto,21
poliestere,chiaro,lunga,autunno,2022-10-02,pioggia,19.75,autunno,ottobre,27
poliestere,scuro,lunga,autunno,2022-03-04,nuvoloso,1.1,primavera,marzo,25
poliestere,scuro,lunga,autunno,2022-03-28,soleggiato,7.75,primavera,marzo,25
poliestere,colorato,lunga,primavera_estate,2022-02-25,pioggia,8.5,inverno,febbraio,24
cotone,chiaro,corta,estate,2022-05-18,pioggia,22.9,primavera,maggio,24
poliestere,chiaro,lunga,autunno,2022-01-19,soleggiato,5.7,inverno,gennaio,27
cotone,colorato,corta,estate,2022-03-15,soleggiato,12.25,primavera,marzo,19
poliestere,scuro,lunga,estate,2022-01-10,neve,2.7,inverno,gennaio,23
cotone,chiaro,lunga,autunno,2022-02-14,pioggia,1.2000000000000002,inverno,febbraio,27
poliestere,scuro,corta,primavera_estate,2022-09-12,nuvoloso,11.95,autunno,settembre,15
cotone,chiaro,lunga,estate,2022-08-05,soleggiato,29.75,estate,agosto,28
poliestere,colorato,corta,estate,2022-07-13,soleggiato,27.55,estate,luglio,24
poliestere,colorato,corta,estate,2022-08-07,pioggia,27.0,estate,agosto,24
seta,chiaro,lunga,autunno,2022-02-04,soleggiato,3.35,inverno,febbraio,22
raso,chiaro,corta,estate,2022-01-03,nuvoloso,3.0500000000000003,inverno,gennaio,6
cotone,colorato,corta,estate,2022-01-18,soleggiato,3.15,inverno,gennaio,13
cotone,scuro,corta,estate,2022-07-12,pioggia,27.85,estate,luglio,29
poliestere,colorato,lunga,primavera_estate,2022-08-18,pioggia,28.4,estate,agosto,17
poliestere,colorato,lunga,estate,2022-08-06,pioggia,28.65,estate,agosto,18
velluto,scuro,lunga,all,2022-11-21,pioggia,6.7,autunno,novembre,26
raso,scuro,lunga,estate,2022-01-03,pioggia,9.55,inverno,gennaio,17
raso,scuro,lunga,estate,2022-08-27,soleggiato,28.4,estate,agosto,15
poliestere,colorato,lunga,autunno,2022-02-18,pioggia,2.7,inverno,febbraio,27
poliestere,chiaro,corta,estate,2022-06-17,pioggia,24.25,estate,giugno,23
cotone,scuro,lunga,estate,2022-06-28,pioggia,30.55,estate,giugno,20
poliestere,colorato,lunga,estate,2022-09-09,pioggia,30.4,autunno,settembre,9
poliestere,chiaro,corta,estate,2022-01-07,soleggiato,-0.5,inverno,gennaio,13
poliestere,colorato,lunga,estate,2022-07-20,nuvoloso,30.65,estate,luglio,15
cotone,colorato,corta,estate,2022-08-12,pioggia,25.05,estate,agosto,29
poliestere,chiaro,lunga,autunno,2022-09-18,soleggiato,15.75,autunno,settembre,27
poliestere,colorato,lunga,estate,2022-08-23,soleggiato,30.200000000000003,estate,agosto,15
poliestere,colorato,lunga,primavera_estate,2022-02-26,nuvoloso,1.05,inverno,febbraio,24
poliestere,colorato,corta,estate,2022-04-14,soleggiato,15.95,primavera,aprile,19
poliestere,scuro,lunga,autunno,2022-01-20,pioggia,1.2999999999999998,inverno,gennaio,27
cotone,chiaro,corta,estate,2022-07-03,soleggiato,31.5,estate,luglio,35
poliestere,scuro,corta,estate,2022-02-04,nuvoloso,7.8,inverno,febbraio,13
cotone,colorato,lunga,primavera_estate,2022-08-26,soleggiato,29.4,estate,agosto,22
poliestere,chiaro,lunga,estate,2022-05-08,pioggia,17.85,primavera,maggio,25
poliestere,chiaro,corta,estate,2022-11-15,nuvoloso,14.9,autunno,novembre,14
poliestere,scuro,lunga,estate,2022-08-05,soleggiato,25.450000000000003,estate,agosto,13
poliestere,scuro,lunga,estate,2022-12-01,nuvoloso,4.15,inverno,dicembre,23
poliestere,chiaro,corta,estate,2022-09-19,soleggiato,20.55,autunno,settembre,22
poliestere,colorato,lunga,autunno,2022-03-26,soleggiato,10.0,primavera,marzo,24
cotone,colorato,lunga,autunno,2022-06-07,soleggiato,22.45,estate,giugno,22
poliestere,colorato,lunga,estate,2022-12-24,nuvoloso,6.1,inverno,dicembre,23
poliestere,scuro,lunga,autunno,2022-04-22,pioggia,11.95,primavera,aprile,24
cotone,scuro,corta,estate,2022-09-19,soleggiato,19.15,autunno,settembre,17
cotone,chiaro,lunga,primavera,2022-06-22,soleggiato,25.9,estate,giugno,26
cotone,colorato,lunga,estate,2022-02-08,soleggiato,2.45,inverno,febbraio,23
poliestere,chiaro,lunga,autunno,2022-03-16,nuvoloso,11.0,primavera,marzo,24
cotone,scuro,lunga,primavera_estate,2022-09-14,pioggia,26.55,autunno,settembre,18
poliestere,chiaro,corta,estate,2022-07-15,soleggiato,27.25,estate,luglio,29
poliestere,colorato,lunga,primavera_estate,2022-03-23,soleggiato,8.45,primavera,marzo,28
cotone,colorato,lunga,autunno,2022-04-13,soleggiato,11.8,primavera,aprile,25
poliestere,colorato,lunga,primavera_estate,2022-12-16,pioggia,6.25,inverno,dicembre,24
poliestere,scuro,lunga,autunno,2022-11-27,soleggiato,5.7,autunno,novembre,29
poliestere,scuro,lunga,estate,2022-02-09,soleggiato,5.45,inverno,febbraio,23
poliestere,colorato,lunga,autunno,2022-03-31,pioggia,12.6,primavera,marzo,24
poliestere,colorato,lunga,autunno,2022-02-27,nuvoloso,2.55,inverno,febbraio,27
poliestere,scuro,corta,estate,2022-04-08,soleggiato,12.25,primavera,aprile,18
cotone,scuro,corta,estate,2022-09-07,pioggia,28.1,autunno,settembre,23
cotone,scuro,lunga,autunno,2022-07-11,pioggia,21.4,estate,luglio,22
poliestere,colorato,lunga,estate,2022-11-19,pioggia,13.9,autunno,novembre,22
poliestere,scuro,corta,estate,2022-10-20,soleggiato,20.35,autunno,ottobre,12
cotone,scuro,lunga,primavera_estate,2022-02-05,soleggiato,4.7,inverno,febbraio,24
cotone,chiaro,lunga,primavera_estate,2022-06-04,soleggiato,27.55,estate,giugno,27
poliestere,chiaro,lunga,estate,2022-03-29,nuvoloso,10.85,primavera,marzo,26
poliestere,colorato,lunga,autunno,2022-06-20,soleggiato,30.75,estate,giugno,11
poliestere,colorato,lunga,autunno,2022-03-17,pioggia,1.75,primavera,marzo,25
poliestere,chiaro,lunga,estate,2022-10-06,soleggiato,18.9,autunno,ottobre,21
cotone,scuro,corta,estate,2022-10-24,soleggiato,24.05,autunno,ottobre,15
poliestere,colorato,lunga,primavera_estate,2022-03-04,neve,2.4,primavera,marzo,28
poliestere,colorato,lunga,autunno,2022-02-12,pioggia,3.55,inverno,febbraio,27
cotone,chiaro,lunga,primavera_estate,2022-11-05,soleggiato,2.0,autunno,novembre,24
poliestere,chiaro,lunga,primavera,2022-10-08,soleggiato,20.4,autunno,ottobre,24
cotone,scuro,lunga,autunno,2022-07-05,soleggiato,31.2,estate,luglio,11
cotone,chiaro,corta,estate,2022-11-03,soleggiato,17.45,autunno,novembre,17
poliestere,scuro,lunga,estate,2022-08-16,pioggia,27.85,estate,agosto,18
cotone,scuro,lunga,autunno,2022-07-28,soleggiato,32.650000000000006,estate,luglio,11
poliestere,chiaro,corta,estate,2022-12-23,pioggia,12.3,inverno,dicembre,14
velluto,scuro,corta,autunno_inverno,2022-05-02,pioggia,14.0,primavera,maggio,13
cotone,scuro,corta,estate,2022-12-15,pioggia,18.9,inverno,dicembre,17
poliestere,colorato,lunga,primavera_estate,2022-09-13,nuvoloso,23.2,autunno,settembre,18
poliestere,colorato,corta,estate,2022-08-09,soleggiato,25.15,estate,agosto,24
poliestere,colorato,lunga,autunno,2022-08-02,pioggia,30.4,estate,agosto,11
cotone,scuro,lunga,autunno,2022-11-27,pioggia,8.9,autunno,novembre,29
poliestere,colorato,lunga,autunno,2022-09-28,pioggia,16.799999999999997,autunno,settembre,27
poliestere,chiaro,corta,estate,2022-09-03,pioggia,26.6,autunno,settembre,18
cotone,colorato,corta,estate,2022-01-12,soleggiato,1.35,inverno,gennaio,13
cotone,chiaro,corta,estate,2022-08-25,soleggiato,27.0,estate,agosto,34
poliestere,colorato,lunga,estate,2022-08-27,pioggia,27.6,estate,agosto,18
poliestere,colorato,corta,estate,2022-10-22,pioggia,8.6,autunno,ottobre,13
cotone,colorato,lunga,estate,2022-11-28,nuvoloso,4.5,autunno,novembre,23
poliestere,colorato,lunga,primavera,2022-06-04,nuvoloso,28.4,estate,giugno,16
poliestere,colorato,lunga,estate,2022-05-31,pioggia,11.35,primavera,maggio,26
velluto,scuro,lunga,autunno_inverno,2022-07-23,pioggia,27.75,estate,luglio,11
poliestere,scuro,lunga,autunno,2022-03-22,soleggiato,6.4,primavera,marzo,25
cotone,scuro,corta,estate,2022-03-16,soleggiato,10.0,primavera,marzo,19
cotone,colorato,lunga,estate,2022-05-21,soleggiato,19.9,primavera,maggio,27
cotone,scuro,lunga,autunno,2022-10-22,pioggia,15.75,autunno,ottobre,29
cotone,colorato,lunga,estate,2022-05-25,pioggia,13.0,primavera,maggio,27
poliestere,scuro,lunga,primavera_estate,2022-07-31,soleggiato,29.05,estate,luglio,12
poliestere,scuro,corta,primavera_estate,2022-11-06,pioggia,6.95,autunno,novembre,14
poliestere,colorato,lunga,estate,2022-09-10,pioggia,18.9,autunno,settembre,21
poliestere,colorato,lunga,autunno,2022-02-01,soleggiato,5.5,inverno,febbraio,27
cotone,scuro,lunga,estate,2022-09-08,soleggiato,35.45,autunno,settembre,9
poliestere,colorato,corta,estate,2022-12-17,neve,-2.6,inverno,dicembre,13
poliestere,chiaro,lunga,autunno,2022-07-23,pioggia,33.9,estate,luglio,11
cotone,scuro,corta,estate,2022-03-26,pioggia,12.2,primavera,marzo,19
poliestere,scuro,lunga,autunno,2022-08-13,soleggiato,25.6,estate,agosto,9
poliestere,colorato,corta,estate,2022-01-10,soleggiato,0.25,inverno,gennaio,13
poliestere,chiaro,lunga,estate,2022-10-07,soleggiato,18.95,autunno,ottobre,21
poliestere,chiaro,lunga,estate,2022-02-23,soleggiato,6.95,inverno,febbraio,23
poliestere,scuro,lunga,estate,2022-03-14,soleggiato,6.1000000000000005,primavera,marzo,27
poliestere,scuro,lunga,autunno,2022-06-04,nuvoloso,28.3,estate,giugno,14
poliestere,colorato,corta,estate,2022-08-03,soleggiato,30.3,estate,agosto,25
poliestere,chiaro,lunga,autunno,2022-09-29,pioggia,19.4,autunno,settembre,27
cotone,colorato,corta,estate,2022-03-31,pioggia,7.65,primavera,marzo,17
poliestere,colorato,lunga,autunno,2022-05-16,pioggia,25.700000000000003,primavera,maggio,14
cotone,scuro,corta,estate,2022-07-30,soleggiato,29.1,estate,luglio,24
poliestere,scuro,lunga,estate,2022-06-27,pioggia,24.8,estate,giugno,23
poliestere,chiaro,corta,estate,2022-08-13,pioggia,25.35,estate,agosto,24
poliestere,colorato,lunga,autunno,2022-05-20,soleggiato,21.6,primavera,maggio,19
poliestere,colorato,lunga,estate,2022-02-09,soleggiato,2.5500000000000003,inverno,febbraio,23
poliestere,scuro,corta,estate,2022-03-30,pioggia,9.85,primavera,marzo,17
poliestere,chiaro,lunga,estate,2022-07-31,soleggiato,29.45,estate,luglio,23
cotone,chiaro,lunga,primavera_estate,2022-02-02,pioggia,3.9,inverno,febbraio,24
poliestere,colorato,lunga,estate,2022-12-25,nuvoloso,8.950000000000001,inverno,dicembre,23
poliestere,colorato,lunga,autunno,2022-03-08,nuvoloso,1.2500000000000002,primavera,marzo,25
cotone,chiaro,corta,estate,2022-07-27,pioggia,28.35,estate,luglio,29
poliestere,colorato,corta,estate,2022-10-29,soleggiato,19.75,autunno,ottobre,15
poliestere,colorato,lunga,autunno,2022-04-24,pioggia,11.55,primavera,aprile,24
cotone,chiaro,corta,estate,2022-10-18,nuvoloso,22.1,autunno,ottobre,20
poliestere,scuro,lunga,autunno,2022-01-13,soleggiato,1.2,inverno,gennaio,27
poliestere,scuro,lunga,autunno,2022-11-05,nuvoloso,10.85,autunno,novembre,28
cotone,scuro,lunga,autunno,2022-04-13,soleggiato,11.9,primavera,aprile,25
poliestere,scuro,lunga,autunno,2022-05-26,pioggia,12.8,primavera,maggio,24
poliestere,colorato,lunga,autunno,2022-01-20,pioggia,1.5,inverno,gennaio,27
poliestere,chiaro,corta,estate,2022-05-15,pioggia,25.4,primavera,maggio,22
poliestere,colorato,lunga,primavera_estate,2022-05-02,pioggia,14.25,primavera,maggio,27
poliestere,colorato,corta,estate,2022-09-24,soleggiato,10.3,autunno,settembre,14
poliestere,colorato,lunga,estate,2022-05-16,pioggia,13.65,primavera,maggio,26
poliestere,colorato,lunga,autunno,2022-04-16,nuvoloso,11.35,primavera,aprile,24
poliestere,scuro,lunga,autunno,2022-08-31,pioggia,28.15,estate,agosto,14
cotone,colorato,corta,estate,2022-07-24,soleggiato,31.35,estate,luglio,30
poliestere,colorato,lunga,autunno,2022-10-20,soleggiato,19.6,autunno,ottobre,27
cotone,scuro,corta,estate,2022-03-09,soleggiato,2.9000000000000004,primavera,marzo,17
cotone,colorato,lunga,estate,2022-11-23,soleggiato,5.25,autunno,novembre,23
poliestere,scuro,lunga,autunno,2022-03-26,soleggiato,8.15,primavera,marzo,25
poliestere,colorato,corta,estate,2022-10-06,soleggiato,12.1,autunno,ottobre,14
cotone,scuro,lunga,primavera_estate,2022-11-25,nuvoloso,6.8,autunno,novembre,24
poliestere,scuro,lunga,estate,2022-04-22,pioggia,10.5,primavera,aprile,26
cotone,scuro,lunga,autunno,2022-10-01,pioggia,16.05,autunno,ottobre,29
poliestere,chiaro,corta,estate,2022-08-26,pioggia,26.9,estate,agosto,24
cotone,scuro,lunga,estate,2022-03-13,neve,1.7,primavera,marzo,27
poliestere,colorato,lunga,estate,2022-12-25,nuvoloso,6.85,inverno,dicembre,23
poliestere,scuro,lunga,primavera_estate,2022-01-12,pioggia,7.4,inverno,gennaio,24
poliestere,chiaro,lunga,primavera,2022-07-16,soleggiato,31.700000000000003,estate,luglio,18
poliestere,colorato,lunga,estate,2022-03-20,soleggiato,2.5500000000000003,primavera,marzo,27
poliestere,scuro,lunga,estate,2022-01-12,neve,-1.45,inverno,gennaio,23
poliestere,colorato,lunga,estate,2022-07-10,soleggiato,24.85,estate,luglio,23
poliestere,colorato,lunga,primavera_estate,2022-07-16,pioggia,31.75,estate,luglio,14
poliestere,colorato,corta,estate,2022-01-24,soleggiato,3.3999999999999995,inverno,gennaio,13
poliestere,colorato,lunga,autunno,2022-01-19,pioggia,4.7,inverno,gennaio,27
poliestere,scuro,corta,estate,2022-02-26,soleggiato,-7.899999999999999,inverno,febbraio,13
poliestere,chiaro,lunga,estate,2022-10-15,pioggia,9.8,autunno,ottobre,23
poliestere,scuro,lunga,autunno,2022-01-03,pioggia,10.7,inverno,gennaio,26
poliestere,chiaro,corta,estate,2022-11-13,pioggia,10.15,autunno,novembre,14
poliestere,colorato,lunga,autunno,2022-08-03,soleggiato,28.35,estate,agosto,14
cotone,colorato,lunga,estate,2022-09-07,pioggia,34.3,autunno,settembre,14
poliestere,scuro,lunga,primavera_estate,2022-04-24,neve,8.100000000000001,primavera,aprile,28
raso,scuro,lunga,primavera_estate,2022-01-21,pioggia,-0.0500000000000002,inverno,gennaio,17
poliestere,colorato,lunga,autunno,2022-09-24,soleggiato,17.65,autunno,settembre,27
cotone,chiaro,lunga,estate,2022-11-04,pioggia,10.55,autunno,novembre,23
poliestere,scuro,lunga,estate,2022-01-16,soleggiato,2.45,inverno,gennaio,23
poliestere,chiaro,corta,estate,2022-06-21,pioggia,25.7,estate,giugno,24
cotone,chiaro,corta,estate,2022-11-03,pioggia,7.5,autunno,novembre,13
poliestere,colorato,lunga,primavera_estate,2022-01-03,nuvoloso,10.35,inverno,gennaio,23
velluto,colorato,lunga,estate,2022-08-07,pioggia,27.8,estate,agosto,16
poliestere,colorato,lunga,estate,2022-03-28,soleggiato,10.6,primavera,marzo,26
poliestere,scuro,corta,estate,2022-03-03,soleggiato,5.9,primavera,marzo,17
cotone,chiaro,lunga,autunno,2022-12-17,pioggia,4.4,inverno,dicembre,27
cotone,chiaro,corta,estate,2022-05-13,pioggia,23.0,primavera,maggio,24
poliestere,scuro,lunga,autunno,2022-04-06,nuvoloso,10.1,primavera,aprile,24
poliestere,chiaro,lunga,primavera,2022-02-27,pioggia,2.2,inverno,febbraio,25
poliestere,scuro,lunga,autunno,2022-08-13,pioggia,23.9,estate,agosto,19
cotone,scuro,corta,estate,2022-07-28,soleggiato,29.15,estate,luglio,24
poliestere,scuro,lunga,estate,2022-11-20,pioggia,9.3,autunno,novembre,23
poliestere,scuro,lunga,autunno,2022-04-02,pioggia,4.05,primavera,aprile,25
raso,chiaro,lunga,estate,2022-06-10,pioggia,21.5,estate,giugno,22
cotone,scuro,lunga,autunno,2022-07-07,pioggia,30.0,estate,luglio,16
poliestere,chiaro,lunga,estate,2022-06-22,pioggia,24.15,estate,giugno,23
poliestere,chiaro,corta,estate,2022-08-29,pioggia,27.35,estate,agosto,24
poliestere,colorato,lunga,estate,2022-03-04,pioggia,3.65,primavera,marzo,27
poliestere,scuro,lunga,primavera_estate,2022-09-11,pioggia,24.65,autunno,settembre,18
cotone,scuro,corta,estate,2022-01-11,soleggiato,2.3,inverno,gennaio,13
poliestere,colorato,lunga,estate,2022-08-04,pioggia,27.4,estate,agosto,18
poliestere,colorato,corta,estate,2022-12-11,pioggia,13.9,inverno,dicembre,14
cotone,scuro,lunga,estate,2022-05-29,pioggia,21.75,primavera,maggio,24
poliestere,colorato,corta,estate,2022-06-18,soleggiato,28.15,estate,giugno,24
cotone,scuro,corta,estate,2022-02-04,nuvoloso,5.65,inverno,febbraio,13
poliestere,chiaro,corta,estate,2022-09-20,soleggiato,5.35,autunno,settembre,13
poliestere,chiaro,lunga,autunno,2022-03-26,soleggiato,11.1,primavera,marzo,24
poliestere,chiaro,corta,estate,2022-07-02,pioggia,17.950000000000003,estate,luglio,21
cotone,scuro,corta,estate,2022-02-10,nuvoloso,2.45,inverno,febbraio,13
poliestere,colorato,lunga,estate,2022-06-07,soleggiato,25.35,estate,giugno,18
poliestere,colorato,lunga,autunno,2022-03-20,soleggiato,5.55,primavera,marzo,25
raso,colorato,lunga,all,2022-02-07,neve,-5.85,inverno,febbraio,19
poliestere,colorato,corta,estate,2022-09-01,nuvoloso,23.15,autunno,settembre,17
cotone,scuro,corta,estate,2022-11-28,nuvoloso,8.7,autunno,novembre,13
poliestere,chiaro,corta,estate,2022-06-19,soleggiato,30.05,estate,giugno,30
cotone,scuro,lunga,primavera_estate,2022-06-30,pioggia,30.3,estate,giugno,19
poliestere,scuro,lunga,estate,2022-08-27,pioggia,29.4,estate,agosto,18
poliestere,colorato,corta,estate,2022-08-23,pioggia,24.95,estate,agosto,23
cotone,chiaro,lunga,estate,2022-02-27,soleggiato,0.3999999999999999,inverno,febbraio,23
poliestere,colorato,lunga,primavera_estate,2022-02-03,soleggiato,4.8500000000000005,inverno,febbraio,24
poliestere,colorato,lunga,primavera,2022-02-05,soleggiato,3.95,inverno,febbraio,25
poliestere,scuro,lunga,primavera_estate,2022-06-16,pioggia,27.3,estate,giugno,17
poliestere,colorato,corta,estate,2022-01-21,pioggia,5.95,inverno,gennaio,13
cotone,scuro,lunga,autunno,2022-04-15,nuvoloso,19.4,primavera,aprile,25
poliestere,chiaro,lunga,primavera_estate,2022-04-04,neve,-2.85,primavera,aprile,28
raso,chiaro,corta,estate,2022-11-21,pioggia,4.2,autunno,novembre,6
poliestere,colorato,corta,estate,2022-03-19,neve,5.9,primavera,marzo,17
poliestere,chiaro,lunga,estate,2022-07-16,soleggiato,29.0,estate,luglio,23
cotone,scuro,lunga,autunno,2022-11-20,pioggia,15.1,autunno,novembre,29
poliestere,colorato,lunga,estate,2022-12-12,nuvoloso,-1.45,inverno,dicembre,23
poliestere,scuro,lunga,autunno,2022-01-09,pioggia,-1.15,inverno,gennaio,27
poliestere,scuro,corta,all,2022-04-18,soleggiato,8.35,primavera,aprile,16
poliestere,scuro,lunga,autunno,2022-03-16,nuvoloso,12.8,primavera,marzo,24
poliestere,colorato,lunga,autunno,2022-12-25,nuvoloso,6.85,inverno,dicembre,27
cotone,scuro,lunga,autunno,2022-02-15,neve,-3.1500000000000004,inverno,febbraio,27
poliestere,chiaro,lunga,primavera_estate,2022-07-14,soleggiato,24.25,estate,luglio,27
poliestere,colorato,corta,estate,2022-04-27,pioggia,13.3,primavera,aprile,18
raso,scuro,corta,all,2022-07-16,soleggiato,31.3,estate,luglio,21
poliestere,scuro,corta,primavera_estate,2022-08-04,soleggiato,30.4,estate,agosto,19
poliestere,colorato,lunga,estate,2022-02-03,soleggiato,6.35,inverno,febbraio,23
poliestere,colorato,corta,estate,2022-02-26,pioggia,8.35,inverno,febbraio,13
poliestere,colorato,lunga,primavera_estate,2022-08-20,soleggiato,27.1,estate,agosto,17
cotone,scuro,corta,primavera_estate,2022-01-04,pioggia,5.45,inverno,gennaio,14
poliestere,scuro,lunga,estate,2022-08-22,soleggiato,27.65,estate,agosto,13
poliestere,scuro,lunga,autunno,2022-03-25,soleggiato,10.7,primavera,marzo,24
poliestere,colorato,lunga,estate,2022-03-08,nuvoloso,2.1,primavera,marzo,27
cotone,scuro,lunga,estate,2022-08-19,pioggia,24.75,estate,agosto,26
cotone,colorato,corta,estate,2022-09-03,pioggia,23.5,autunno,settembre,20
poliestere,scuro,lunga,autunno,2022-10-24,pioggia,20.3,autunno,ottobre,23
poliestere,chiaro,lunga,estate,2022-07-08,pioggia,24.15,estate,luglio,23
poliestere,chiaro,lunga,primavera_estate,2022-01-31,pioggia,7.399999999999999,inverno,gennaio,24
cotone,scuro,lunga,estate,2022-06-19,soleggiato,28.9,estate,giugno,18
poliestere,scuro,lunga,estate,2022-11-16,pioggia,15.55,autunno,novembre,21
poliestere,scuro,lunga,autunno,2022-11-06,nuvoloso,6.35,autunno,novembre,29
cotone,colorato,corta,estate,2022-12-10,pioggia,17.2,inverno,dicembre,17
poliestere,chiaro,lunga,primavera_estate,2022-06-09,pioggia,22.8,estate,giugno,22
poliestere,scuro,corta,estate,2022-01-05,pioggia,4.05,inverno,gennaio,13
poliestere,colorato,corta,estate,2022-07-10,soleggiato,26.2,estate,luglio,24
velluto,scuro,lunga,autunno_inverno,2022-06-08,pioggia,19.15,estate,giugno,19
poliestere,scuro,corta,estate,2022-03-19,soleggiato,6.0,primavera,marzo,17
