Tipo,Antiscivolo,Impermeabile,Colore,Stagione,Meteo,TemperaturaPercepita,StagionePrevisione,Punteggio
scarpe con tacchi,n,n,chiaro,primavera_estate,soleggiato,23,autunno,22
stivaletto alla caviglia,n,y,colorato,autunno_inverno,neve,-5,inverno,26
stivaletto alla caviglia,n,y,chiaro,autunno_inverno,nuvoloso,11,inverno,18
scarpa classica,n,y,colorato,all,pioggia,17,autunno,23
anfibi,n,y,colorato,inverno,pioggia,20,estate,21
stivaletto alla caviglia,n,y,colorato,autunno_inverno,soleggiato,23,estate,10
stivaletto alla caviglia,n,y,chiaro,inverno,pioggia,17,primavera,24
scarpa da ginnastica,n,y,chiaro,all,soleggiato,22,primavera,24
scarpa da ginnastica,n,y,colorato,autunno_inverno,pioggia,12,autunno,25
stivaletto alla caviglia,n,y,chiaro,inverno,pioggia,16,primavera,24
scarpa da ginnastica,n,y,chiaro,all,nuvoloso,10,inverno,19
scarpa da ginnastica,n,y,chiaro,estate,pioggia,14,autunno,17
scarpe aperte,n,n,chiaro,primavera_estate,pioggia,25,estate,19
stivaletto alla caviglia,n,y,scuro,autunno,soleggiato,28,estate,6
scarpa da ginnastica,y,y,scuro,inverno,soleggiato,0,inverno,24
scarpa da ginnastica,n,n,chiaro,estate,pioggia,23,estate,26
scarpe aperte,y,n,scuro,primavera_estate,soleggiato,5,inverno,15
scarpa da ginnastica,n,y,colorato,primavera_estate,soleggiato,6,inverno,14
scarpa classica,y,y,chiaro,all,soleggiato,25,primavera,23
scarpe con tacchi,n,n,scuro,inverno,pioggia,21,autunno,19
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,9,inverno,28
stivaletto alla caviglia,n,y,colorato,autunno_inverno,pioggia,11,primavera,25
stivaletto alla caviglia,n,n,colorato,autunno,pioggia,25,primavera,23
stivaletto alla caviglia,n,n,colorato,autunno,nuvoloso,-3,primavera,14
stivaletto alla caviglia,y,y,scuro,autunno,pioggia,8,autunno,30
stivaletto alla caviglia,y,n,scuro,autunno_inverno,neve,2,inverno,26
scarpa da ginnastica,n,y,colorato,inverno,pioggia,5,inverno,27
scarpa da ginnastica,n,y,colorato,estate,nuvoloso,6,inverno,13
stivaletto alla caviglia,n,n,chiaro,inverno,pioggia,15,autunno,28
stivaletto alla caviglia,n,y,colorato,autunno_inverno,nuvoloso,1,inverno,17
scarpa da ginnastica,y,y,scuro,inverno,pioggia,5,autunno,25
scarpa da ginnastica,y,y,scuro,primavera_estate,pioggia,10,inverno,19
scarpa da ginnastica,n,n,colorato,estate,pioggia,17,primavera,23
scarpe con tacchi,n,n,scuro,autunno_inverno,neve,-1,inverno,19
scarpe con tacchi,n,n,chiaro,primavera_estate,pioggia,15,autunno,18
scarpa classica,n,y,chiaro,autunno_inverno,pioggia,5,inverno,26
scarpa da ginnastica,n,y,chiaro,primavera_estate,nuvoloso,-5,primavera,18
scarpa da ginnastica,y,n,chiaro,autunno_inverno,pioggia,-3,inverno,24
scarpa da ginnastica,y,n,colorato,all,soleggiato,16,autunno,19
scarpa da ginnastica,n,y,colorato,primavera_estate,pioggia,25,autunno,21
scarpe con tacchi,n,n,colorato,estate,pioggia,3,primavera,18
stivaletto alla caviglia,y,y,scuro,autunno_inverno,pioggia,12,autunno,29
stivaletto alla caviglia,n,y,colorato,inverno,nuvoloso,18,autunno,17
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,4,primavera,25
stivaletto alla caviglia,y,y,chiaro,autunno_inverno,soleggiato,6,inverno,17
stivaletto alla caviglia,y,y,scuro,autunno,pioggia,7,inverno,28
stivaletto alla caviglia,n,n,colorato,inverno,nuvoloso,18,autunno,17
stivaletto alla caviglia,n,n,chiaro,inverno,pioggia,8,inverno,31
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,1,primavera,25
stivaletto alla caviglia,y,y,colorato,autunno_inverno,soleggiato,16,autunno,17
stivaletto alla caviglia,y,y,colorato,autunno,nuvoloso,13,primavera,16
scarpa da ginnastica,y,y,colorato,autunno_inverno,neve,2,inverno,23
scarpa da ginnastica,y,y,colorato,all,soleggiato,-4,inverno,19
scarpe aperte,n,n,scuro,primavera_estate,pioggia,13,primavera,17
scarpa classica,n,y,colorato,primavera_estate,nuvoloso,6,inverno,14
stivaletto alla caviglia,n,n,scuro,autunno,nuvoloso,12,autunno,20
stivaletto alla caviglia,n,n,colorato,autunno,soleggiato,25,autunno,15
scarpe con tacchi,n,n,chiaro,primavera_estate,nuvoloso,25,autunno,15
scarpe con tacchi,n,n,scuro,inverno,soleggiato,24,primavera,8
stivaletto alla caviglia,n,n,colorato,autunno_inverno,soleggiato,30,estate,10
stivaletto alla caviglia,n,n,scuro,autunno,pioggia,29,autunno,27
scarpa da ginnastica,n,y,chiaro,primavera_estate,pioggia,17,inverno,20
stivaletto alla caviglia,y,y,chiaro,autunno,pioggia,25,primavera,23
scarpa da ginnastica,y,n,colorato,estate,pioggia,27,estate,27
stivali,n,n,colorato,autunno,nuvoloso,20,autunno,17
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,25,estate,3
stivaletto alla caviglia,n,y,chiaro,autunno,pioggia,10,autunno,31
stivaletto alla caviglia,n,y,chiaro,autunno,soleggiato,14,estate,15
stivaletto alla caviglia,y,n,scuro,autunno_inverno,nuvoloso,20,autunno,15
scarpa da ginnastica,n,y,scuro,autunno_inverno,nuvoloso,2,inverno,21
scarpe con tacchi,n,n,colorato,inverno,soleggiato,-6,inverno,23
stivaletto alla caviglia,y,y,scuro,autunno_inverno,pioggia,-7,primavera,24
scarpa da ginnastica,n,n,scuro,primavera_estate,pioggia,23,estate,25
scarpa da ginnastica,n,n,chiaro,all,pioggia,20,autunno,22
scarpa da ginnastica,n,y,colorato,autunno_inverno,pioggia,17,autunno,25
scarpa da ginnastica,n,n,chiaro,inverno,pioggia,11,autunno,25
anfibi,y,y,scuro,inverno,pioggia,7,inverno,31
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,28,autunno,12
stivaletto alla caviglia,n,n,chiaro,inverno,neve,-1,inverno,29
stivaletto alla caviglia,n,n,chiaro,autunno,soleggiato,13,autunno,19
stivaletto alla caviglia,n,n,scuro,inverno,soleggiato,22,primavera,4
stivaletto alla caviglia,n,y,chiaro,autunno_inverno,soleggiato,3,primavera,12
scarpa da ginnastica,n,y,colorato,estate,soleggiato,28,estate,24
anfibi,n,y,scuro,inverno,pioggia,15,primavera,24
scarpe con tacchi,n,n,scuro,estate,soleggiato,33,autunno,12
scarpa classica,y,y,chiaro,all,pioggia,23,autunno,23
scarpa da ginnastica,n,n,scuro,all,pioggia,7,inverno,22
scarpa da ginnastica,n,n,scuro,estate,nuvoloso,3,inverno,13
scarpa da ginnastica,y,n,scuro,all,pioggia,26,autunno,22
scarpa da ginnastica,n,n,colorato,inverno,soleggiato,24,estate,14
scarpe aperte,n,n,chiaro,primavera,soleggiato,27,estate,26
scarpa da ginnastica,n,n,scuro,autunno_inverno,pioggia,26,primavera,18
scarpa da ginnastica,n,y,chiaro,autunno_inverno,pioggia,12,autunno,25
stivaletto alla caviglia,y,y,scuro,inverno,pioggia,3,primavera,25
scarpa da ginnastica,y,n,scuro,autunno_inverno,pioggia,-2,inverno,24
scarpa da ginnastica,n,n,chiaro,primavera_estate,nuvoloso,0,primavera,18
scarpa da ginnastica,n,n,colorato,estate,nuvoloso,-7,primavera,17
scarpa da ginnastica,n,n,colorato,autunno_inverno,soleggiato,33,estate,15
scarpa classica,n,y,colorato,inverno,soleggiato,30,estate,12
stivaletto alla caviglia,y,n,scuro,inverno,nuvoloso,28,estate,9
scarpa da ginnastica,n,y,colorato,estate,pioggia,8,primavera,20
scarpa da ginnastica,y,n,chiaro,autunno_inverno,pioggia,18,primavera,21
stivaletto alla caviglia,y,y,scuro,autunno,soleggiato,31,estate,6
stivaletto alla caviglia,n,y,colorato,autunno,neve,-6,primavera,23
stivaletto alla caviglia,y,y,scuro,autunno,nuvoloso,24,autunno,17
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,3,primavera,24
scarpa classica,n,y,scuro,inverno,soleggiato,36,estate,7
scarpa classica,n,y,scuro,autunno_inverno,pioggia,9,primavera,22
stivaletto alla caviglia,n,y,scuro,autunno,soleggiato,16,primavera,15
scarpe aperte,y,n,colorato,primavera,pioggia,16,inverno,16
scarpe aperte,y,n,chiaro,primavera_estate,nuvoloso,10,primavera,14
scarpe aperte,y,n,scuro,primavera,pioggia,30,estate,16
scarpa da ginnastica,n,n,chiaro,autunno_inverno,soleggiato,8,inverno,22
stivaletto alla caviglia,y,y,chiaro,autunno,soleggiato,35,estate,16
stivaletto alla caviglia,y,y,chiaro,inverno,pioggia,17,autunno,28
stivaletto alla caviglia,y,y,chiaro,autunno,nuvoloso,23,primavera,13
stivaletto alla caviglia,n,y,scuro,inverno,neve,2,autunno,27
scarpe aperte,n,n,chiaro,estate,pioggia,29,estate,21
stivaletto alla caviglia,y,y,colorato,autunno_inverno,nuvoloso,3,inverno,17
stivaletto alla caviglia,y,y,chiaro,autunno,nuvoloso,4,inverno,16
stivaletto alla caviglia,n,n,colorato,autunno_inverno,soleggiato,24,estate,10
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,16,primavera,24
scarpa classica,n,y,colorato,primavera_estate,soleggiato,27,estate,21
scarpa da ginnastica,y,y,scuro,all,neve,8,primavera,21
scarpa da ginnastica,y,y,chiaro,primavera_estate,soleggiato,31,estate,27
scarpe aperte,n,n,scuro,estate,pioggia,27,autunno,15
stivaletto alla caviglia,n,n,scuro,inverno,soleggiato,19,autunno,16
scarpe aperte,y,n,chiaro,primavera_estate,pioggia,21,autunno,15
scarpa classica,n,y,scuro,autunno_inverno,soleggiato,20,autunno,13
scarpa classica,y,y,colorato,inverno,soleggiato,7,inverno,23
scarpa classica,n,y,scuro,all,nuvoloso,14,primavera,19
scarpa da ginnastica,y,n,chiaro,all,pioggia,25,autunno,22
scarpa da ginnastica,n,n,chiaro,primavera_estate,soleggiato,30,estate,27
stivaletto alla caviglia,n,y,scuro,autunno,soleggiato,21,estate,7
stivaletto alla caviglia,n,y,scuro,inverno,pioggia,10,primavera,25
scarpa classica,n,y,chiaro,all,nuvoloso,18,autunno,19
scarpa classica,n,y,chiaro,all,soleggiato,18,autunno,18
scarpa classica,n,y,chiaro,inverno,pioggia,12,autunno,26
scarpa classica,n,y,chiaro,all,pioggia,28,estate,23
stivaletto alla caviglia,n,y,scuro,autunno,nuvoloso,25,estate,12
stivaletto alla caviglia,y,y,chiaro,inverno,soleggiato,19,autunno,16
stivaletto alla caviglia,y,n,chiaro,inverno,nuvoloso,15,autunno,17
scarpe aperte,n,n,scuro,primavera,pioggia,26,estate,17
scarpa classica,n,y,colorato,autunno_inverno,pioggia,13,inverno,26
scarpa classica,n,y,chiaro,primavera_estate,soleggiato,1,inverno,13
stivaletto alla caviglia,y,y,scuro,autunno,soleggiato,20,autunno,11
scarpa da ginnastica,n,y,colorato,inverno,soleggiato,24,primavera,14
scarpa da ginnastica,n,n,scuro,primavera_estate,pioggia,20,estate,25
scarpa da ginnastica,n,y,scuro,estate,soleggiato,9,primavera,17
stivaletto alla caviglia,n,y,chiaro,autunno,pioggia,4,primavera,25
scarpa da ginnastica,y,n,colorato,all,pioggia,12,primavera,22
scarpa da ginnastica,n,n,chiaro,primavera_estate,soleggiato,14,primavera,20
stivaletto alla caviglia,n,y,colorato,autunno,soleggiato,25,estate,11
stivaletto alla caviglia,n,y,chiaro,autunno_inverno,pioggia,19,estate,25
scarpa da ginnastica,n,n,scuro,all,soleggiato,15,primavera,19
scarpa classica,n,y,colorato,inverno,soleggiato,15,primavera,16
scarpa classica,y,y,scuro,primavera_estate,pioggia,32,estate,26
scarpa classica,y,y,colorato,primavera_estate,pioggia,23,estate,26
scarpa classica,n,n,chiaro,autunno_inverno,nuvoloso,2,primavera,17
stivaletto alla caviglia,n,y,chiaro,inverno,pioggia,7,autunno,29
stivaletto alla caviglia,n,y,scuro,autunno_inverno,nuvoloso,18,autunno,18
stivaletto alla caviglia,n,n,scuro,autunno,soleggiato,30,estate,6
scarpa da ginnastica,n,n,chiaro,autunno_inverno,soleggiato,4,inverno,21
scarpa da ginnastica,n,y,colorato,primavera_estate,pioggia,26,estate,25
stivaletto alla caviglia,y,y,colorato,autunno,pioggia,27,estate,23
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,1,inverno,27
scarpe aperte,n,n,colorato,estate,nuvoloso,15,autunno,10
scarpa da ginnastica,n,n,scuro,estate,pioggia,28,estate,27
scarpa da ginnastica,y,y,colorato,inverno,pioggia,22,estate,17
scarpa classica,y,y,colorato,inverno,nuvoloso,5,primavera,18
scarpa classica,n,y,scuro,inverno,pioggia,24,autunno,22
scarpa da ginnastica,n,y,chiaro,inverno,neve,4,inverno,26
scarpe con tacchi,n,n,scuro,inverno,pioggia,31,estate,14
stivaletto alla caviglia,y,y,chiaro,inverno,soleggiato,18,autunno,16
stivaletto alla caviglia,n,n,colorato,autunno_inverno,pioggia,9,autunno,29
stivaletto alla caviglia,y,y,scuro,autunno_inverno,soleggiato,25,estate,5
stivaletto alla caviglia,n,n,chiaro,autunno_inverno,pioggia,11,primavera,25
scarpa da ginnastica,n,y,scuro,inverno,soleggiato,2,primavera,18
anfibi,n,n,scuro,autunno_inverno,soleggiato,9,primavera,13
anfibi,n,y,colorato,autunno_inverno,soleggiato,-1,inverno,16
anfibi,n,y,scuro,autunno,pioggia,18,autunno,31
scarpa classica,n,n,scuro,primavera_estate,pioggia,8,primavera,22
scarpa da ginnastica,y,n,scuro,inverno,pioggia,24,primavera,17
scarpa da ginnastica,y,y,scuro,autunno_inverno,pioggia,23,estate,18
scarpa da ginnastica,y,n,scuro,autunno_inverno,pioggia,13,autunno,25
scarpa da ginnastica,y,n,colorato,all,nuvoloso,15,primavera,19
scarpa da ginnastica,n,n,colorato,autunno_inverno,pioggia,13,autunno,25
scarpa da ginnastica,n,n,chiaro,inverno,soleggiato,25,autunno,22
stivaletto alla caviglia,n,y,chiaro,autunno_inverno,pioggia,10,autunno,29
scarpa da ginnastica,y,n,scuro,autunno_inverno,soleggiato,-10,inverno,21
scarpa da ginnastica,n,y,colorato,all,pioggia,16,primavera,22
scarpa da ginnastica,n,y,chiaro,primavera_estate,soleggiato,-5,inverno,14
scarpe aperte,n,n,chiaro,primavera,pioggia,6,primavera,17
stivaletto alla caviglia,y,y,colorato,inverno,pioggia,16,autunno,28
stivaletto alla caviglia,n,n,colorato,inverno,soleggiato,22,primavera,9
scarpa da ginnastica,n,y,colorato,all,nuvoloso,7,inverno,19
stivaletto alla caviglia,n,n,chiaro,autunno_inverno,soleggiato,16,primavera,13
scarpe aperte,n,n,colorato,estate,pioggia,9,autunno,10
scarpe aperte,y,n,scuro,primavera,pioggia,21,estate,19
scarpe aperte,y,n,chiaro,estate,soleggiato,6,primavera,18
scarpa da ginnastica,y,y,colorato,all,pioggia,16,primavera,22
scarpa da ginnastica,y,y,scuro,autunno_inverno,nuvoloso,19,primavera,18
scarpe con tacchi,n,n,colorato,autunno_inverno,soleggiato,10,autunno,21
stivaletto alla caviglia,y,y,colorato,inverno,soleggiato,12,primavera,13
scarpa da ginnastica,n,n,colorato,all,pioggia,27,estate,22
scarpa classica,y,y,colorato,inverno,soleggiato,8,autunno,21
scarpa da ginnastica,n,y,chiaro,inverno,pioggia,9,autunno,25
scarpe con tacchi,n,n,chiaro,estate,pioggia,25,estate,25
stivaletto alla caviglia,n,y,colorato,autunno,soleggiato,22,autunno,16
scarpa da ginnastica,n,n,colorato,inverno,soleggiato,24,autunno,18
scarpa da ginnastica,y,n,colorato,all,pioggia,8,inverno,22
scarpa da ginnastica,n,n,colorato,inverno,pioggia,10,primavera,21
scarpa da ginnastica,n,n,chiaro,autunno_inverno,soleggiato,20,autunno,24
scarpa da ginnastica,y,n,scuro,inverno,soleggiato,9,inverno,24
scarpa classica,n,n,chiaro,primavera_estate,pioggia,19,autunno,21
scarpa da ginnastica,n,n,chiaro,all,nuvoloso,2,primavera,19
scarpa da ginnastica,n,n,scuro,primavera_estate,pioggia,8,autunno,17
stivaletto alla caviglia,n,n,chiaro,autunno,soleggiato,7,primavera,14
scarpe con tacchi,n,n,scuro,estate,pioggia,9,primavera,18
scarpe con tacchi,n,n,chiaro,primavera_estate,pioggia,30,estate,23
scarpa da ginnastica,n,y,colorato,primavera_estate,nuvoloso,24,estate,22
stivaletto alla caviglia,y,y,scuro,inverno,pioggia,2,autunno,29
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,22,estate,24
scarpa da ginnastica,n,y,chiaro,estate,pioggia,9,autunno,16
stivaletto alla caviglia,y,y,scuro,autunno_inverno,neve,-3,primavera,22
scarpa da ginnastica,y,y,colorato,estate,pioggia,4,inverno,16
scarpa da ginnastica,y,y,scuro,inverno,soleggiato,20,primavera,9
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,12,autunno,31
scarpa classica,n,y,colorato,all,soleggiato,9,autunno,18
stivaletto alla caviglia,y,y,chiaro,autunno,neve,0,inverno,25
stivaletto alla caviglia,y,n,scuro,autunno_inverno,soleggiato,25,estate,5
stivaletto alla caviglia,n,y,colorato,autunno,soleggiato,26,estate,11
scarpe aperte,y,n,colorato,primavera,pioggia,9,primavera,17
scarpa classica,y,n,scuro,inverno,nuvoloso,8,inverno,24
stivaletto alla caviglia,y,n,chiaro,inverno,soleggiato,29,estate,13
scarpa da ginnastica,n,y,chiaro,autunno_inverno,soleggiato,23,primavera,20
stivali,n,y,colorato,autunno_inverno,neve,1,primavera,24
stivaletto alla caviglia,y,y,chiaro,autunno,soleggiato,11,autunno,19
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,26,estate,8
scarpa da ginnastica,n,y,colorato,inverno,pioggia,8,inverno,27
scarpa da ginnastica,n,y,scuro,inverno,pioggia,23,estate,17
stivaletto alla caviglia,n,y,colorato,autunno_inverno,pioggia,6,primavera,25
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,30,estate,22
stivaletto alla caviglia,n,y,chiaro,autunno,neve,-7,inverno,25
stivaletto alla caviglia,y,n,scuro,autunno,pioggia,32,estate,23
stivaletto alla caviglia,y,y,chiaro,autunno,pioggia,17,primavera,27
stivaletto alla caviglia,y,y,chiaro,inverno,pioggia,14,autunno,29
scarpe aperte,n,n,chiaro,primavera_estate,soleggiato,5,autunno,15
scarpa da ginnastica,n,n,scuro,inverno,soleggiato,11,autunno,22
scarpa da ginnastica,n,y,colorato,inverno,pioggia,16,autunno,24
scarpa da ginnastica,y,y,colorato,autunno_inverno,nuvoloso,20,autunno,19
scarpa classica,n,y,chiaro,inverno,pioggia,11,primavera,22
scarpa classica,n,n,chiaro,primavera_estate,pioggia,15,autunno,21
scarpa classica,y,y,chiaro,all,pioggia,13,autunno,23
scarpa classica,y,y,chiaro,autunno_inverno,neve,-2,primavera,20
scarpa classica,y,y,colorato,inverno,pioggia,10,primavera,22
stivaletto alla caviglia,n,n,colorato,inverno,pioggia,6,autunno,29
