Materiale,Colore,Manica,Stagione,Meteo,TemperaturaPercepita,StagionePrevisione,Punteggio
cotone,scuro,lunga,estate,pioggia,3.65,inverno,23
cotone,chiaro,lunga,autunno,soleggiato,17.9,autunno,29
poliestere,colorato,lunga,autunno,soleggiato,4.550000000000001,inverno,27
cotone,colorato,lunga,primavera_estate,soleggiato,28.7,estate,22
cotone,chiaro,corta,estate,nuvoloso,7.6,primavera,17
poliestere,chiaro,lunga,autunno,pioggia,4.1,primavera,25
cotone,chiaro,lunga,estate,pioggia,18.0,primavera,27
poliestere,scuro,lunga,estate,pioggia,14.65,autunno,22
poliestere,scuro,lunga,estate,soleggiato,9.95,primavera,27
poliestere,scuro,lunga,autunno,nuvoloso,-0.5499999999999998,inverno,27
poliestere,scuro,lunga,estate,pioggia,30.25,estate,15
poliestere,colorato,lunga,autunno,pioggia,-0.3,autunno,29
cotone,scuro,lunga,estate,soleggiato,31.9,estate,15
cotone,scuro,corta,estate,pioggia,14.95,primavera,19
cotone,scuro,lunga,primavera_estate,pioggia,7.75,inverno,24
poliestere,scuro,lunga,primavera_estate,pioggia,25.35,estate,17
cotone,scuro,corta,estate,soleggiato,24.200000000000003,autunno,15
cotone,scuro,corta,estate,pioggia,20.45,autunno,20
poliestere,scuro,corta,estate,soleggiato,27.5,estate,19
poliestere,scuro,lunga,autunno,pioggia,13.95,autunno,28
poliestere,colorato,lunga,autunno,pioggia,18.25,primavera,23
poliestere,chiaro,lunga,autunno,soleggiato,21.95,primavera,24
poliestere,scuro,lunga,autunno,pioggia,33.3,estate,11
poliestere,colorato,corta,estate,soleggiato,19.15,autunno,15
poliestere,scuro,corta,primavera_estate,pioggia,7.449999999999999,inverno,14
poliestere,colorato,lunga,primavera,pioggia,26.35,estate,16
poliestere,chiaro,lunga,primavera,soleggiato,20.6,primavera,28
poliestere,scuro,lunga,autunno,pioggia,13.85,inverno,26
poliestere,colorato,corta,estate,pioggia,11.55,primavera,18
poliestere,scuro,lunga,primavera_estate,soleggiato,28.2,estate,12
poliestere,chiaro,corta,estate,pioggia,17.15,estate,21
poliestere,chiaro,lunga,autunno,pioggia,19.75,autunno,27
poliestere,scuro,lunga,autunno,nuvoloso,1.1,primavera,25
poliestere,scuro,lunga,autunno,soleggiato,7.75,primavera,25
poliestere,colorato,lunga,primavera_estate,pioggia,8.5,inverno,24
cotone,chiaro,corta,estate,pioggia,22.9,primavera,24
poliestere,chiaro,lunga,autunno,soleggiato,5.7,inverno,27
cotone,colorato,corta,estate,soleggiato,12.25,primavera,19
poliestere,scuro,lunga,estate,neve,2.7,inverno,23
cotone,chiaro,lunga,autunno,pioggia,1.2000000000000002,inverno,27
poliestere,scuro,corta,primavera_estate,nuvoloso,11.95,autunno,15
cotone,chiaro,lunga,estate,soleggiato,29.75,estate,28
poliestere,colorato,corta,estate,soleggiato,27.55,estate,24
poliestere,colorato,corta,estate,pioggia,27.0,estate,24
seta,chiaro,lunga,autunno,soleggiato,3.35,inverno,22
raso,chiaro,corta,estate,nuvoloso,3.0500000000000003,inverno,6
cotone,colorato,corta,estate,soleggiato,3.15,inverno,13
cotone,scuro,corta,estate,pioggia,27.85,estate,29
poliestere,colorato,lunga,primavera_estate,pioggia,28.4,estate,17
poliestere,colorato,lunga,estate,pioggia,28.65,estate,18
velluto,scuro,lunga,all,pioggia,6.7,autunno,26
raso,scuro,lunga,estate,pioggia,9.55,inverno,17
raso,scuro,lunga,estate,soleggiato,28.4,estate,15
poliestere,colorato,lunga,autunno,pioggia,2.7,inverno,27
poliestere,chiaro,corta,estate,pioggia,24.25,estate,23
cotone,scuro,lunga,estate,pioggia,30.55,estate,20
poliestere,colorato,lunga,estate,pioggia,30.4,autunno,9
poliestere,chiaro,corta,estate,soleggiato,-0.5,inverno,13
poliestere,colorato,lunga,estate,nuvoloso,30.65,estate,15
cotone,colorato,corta,estate,pioggia,25.05,estate,29
poliestere,chiaro,lunga,autunno,soleggiato,15.75,autunno,27
poliestere,colorato,lunga,estate,soleggiato,30.200000000000003,estate,15
poliestere,colorato,lunga,primavera_estate,nuvoloso,1.05,inverno,24
poliestere,colorato,corta,estate,soleggiato,15.95,primavera,19
poliestere,scuro,lunga,autunno,pioggia,1.2999999999999998,inverno,27
cotone,chiaro,corta,estate,soleggiato,31.5,estate,35
poliestere,scuro,corta,estate,nuvoloso,7.8,inverno,13
cotone,colorato,lunga,primavera_estate,soleggiato,29.4,estate,22
poliestere,chiaro,lunga,estate,pioggia,17.85,primavera,25
poliestere,chiaro,corta,estate,nuvoloso,14.9,autunno,14
poliestere,scuro,lunga,estate,soleggiato,25.450000000000003,estate,13
poliestere,scuro,lunga,estate,nuvoloso,4.15,inverno,23
poliestere,chiaro,corta,estate,soleggiato,20.55,autunno,22
poliestere,colorato,lunga,autunno,soleggiato,10.0,primavera,24
cotone,colorato,lunga,autunno,soleggiato,22.45,estate,22
poliestere,colorato,lunga,estate,nuvoloso,6.1,inverno,23
poliestere,scuro,lunga,autunno,pioggia,11.95,primavera,24
cotone,scuro,corta,estate,soleggiato,19.15,autunno,17
cotone,chiaro,lunga,primavera,soleggiato,25.9,estate,26
cotone,colorato,lunga,estate,soleggiato,2.45,inverno,23
poliestere,chiaro,lunga,autunno,nuvoloso,11.0,primavera,24
cotone,scuro,lunga,primavera_estate,pioggia,26.55,autunno,18
poliestere,chiaro,corta,estate,soleggiato,27.25,estate,29
poliestere,colorato,lunga,primavera_estate,soleggiato,8.45,primavera,28
cotone,colorato,lunga,autunno,soleggiato,11.8,primavera,25
poliestere,colorato,lunga,primavera_estate,pioggia,6.25,inverno,24
poliestere,scuro,lunga,autunno,soleggiato,5.7,autunno,29
poliestere,scuro,lunga,estate,soleggiato,5.45,inverno,23
poliestere,colorato,lunga,autunno,pioggia,12.6,primavera,24
poliestere,colorato,lunga,autunno,nuvoloso,2.55,inverno,27
poliestere,scuro,corta,estate,soleggiato,12.25,primavera,18
cotone,scuro,corta,estate,pioggia,28.1,autunno,23
cotone,scuro,lunga,autunno,pioggia,21.4,estate,22
poliestere,colorato,lunga,estate,pioggia,13.9,autunno,22
poliestere,scuro,corta,estate,soleggiato,20.35,autunno,12
cotone,scuro,lunga,primavera_estate,soleggiato,4.7,inverno,24
cotone,chiaro,lunga,primavera_estate,soleggiato,27.55,estate,27
poliestere,chiaro,lunga,estate,nuvoloso,10.85,primavera,26
poliestere,colorato,lunga,autunno,soleggiato,30.75,estate,11
poliestere,colorato,lunga,autunno,pioggia,1.75,primavera,25
poliestere,chiaro,lunga,estate,soleggiato,18.9,autunno,21
cotone,scuro,corta,estate,soleggiato,24.05,autunno,15
poliestere,colorato,lunga,primavera_estate,neve,2.4,primavera,28
poliestere,colorato,lunga,autunno,pioggia,3.55,inverno,27
cotone,chiaro,lunga,primavera_estate,soleggiato,2.0,autunno,24
poliestere,chiaro,lunga,primavera,soleggiato,20.4,autunno,24
cotone,scuro,lunga,autunno,soleggiato,31.2,estate,11
cotone,chiaro,corta,estate,soleggiato,17.45,autunno,17
poliestere,scuro,lunga,estate,pioggia,27.85,estate,18
cotone,scuro,lunga,autunno,soleggiato,32.650000000000006,estate,11
poliestere,chiaro,corta,estate,pioggia,12.3,inverno,14
velluto,scuro,corta,autunno_inverno,pioggia,14.0,primavera,13
cotone,scuro,corta,estate,pioggia,18.9,inverno,17
poliestere,colorato,lunga,primavera_estate,nuvoloso,23.2,autunno,18
poliestere,colorato,corta,estate,soleggiato,25.15,estate,24
poliestere,colorato,lunga,autunno,pioggia,30.4,estate,11
cotone,scuro,lunga,autunno,pioggia,8.9,autunno,29
poliestere,colorato,lunga,autunno,pioggia,16.799999999999997,autunno,27
poliestere,chiaro,corta,estate,pioggia,26.6,autunno,18
cotone,colorato,corta,estate,soleggiato,1.35,inverno,13
cotone,chiaro,corta,estate,soleggiato,27.0,estate,34
poliestere,colorato,lunga,estate,pioggia,27.6,estate,18
poliestere,colorato,corta,estate,pioggia,8.6,autunno,13
cotone,colorato,lunga,estate,nuvoloso,4.5,autunno,23
poliestere,colorato,lunga,primavera,nuvoloso,28.4,estate,16
poliestere,colorato,lunga,estate,pioggia,11.35,primavera,26
velluto,scuro,lunga,autunno_inverno,pioggia,27.75,estate,11
poliestere,scuro,lunga,autunno,soleggiato,6.4,primavera,25
cotone,scuro,corta,estate,soleggiato,10.0,primavera,19
cotone,colorato,lunga,estate,soleggiato,19.9,primavera,27
cotone,scuro,lunga,autunno,pioggia,15.75,autunno,29
cotone,colorato,lunga,estate,pioggia,13.0,primavera,27
poliestere,scuro,lunga,primavera_estate,soleggiato,29.05,estate,12
poliestere,scuro,corta,primavera_estate,pioggia,6.95,autunno,14
poliestere,colorato,lunga,estate,pioggia,18.9,autunno,21
poliestere,colorato,lunga,autunno,soleggiato,5.5,inverno,27
cotone,scuro,lunga,estate,soleggiato,35.45,autunno,9
poliestere,colorato,corta,estate,neve,-2.6,inverno,13
poliestere,chiaro,lunga,autunno,pioggia,33.9,estate,11
cotone,scuro,corta,estate,pioggia,12.2,primavera,19
poliestere,scuro,lunga,autunno,soleggiato,25.6,estate,9
poliestere,colorato,corta,estate,soleggiato,0.25,inverno,13
poliestere,chiaro,lunga,estate,soleggiato,18.95,autunno,21
poliestere,chiaro,lunga,estate,soleggiato,6.95,inverno,23
poliestere,scuro,lunga,estate,soleggiato,6.1000000000000005,primavera,27
poliestere,scuro,lunga,autunno,nuvoloso,28.3,estate,14
poliestere,colorato,corta,estate,soleggiato,30.3,estate,25
poliestere,chiaro,lunga,autunno,pioggia,19.4,autunno,27
cotone,colorato,corta,estate,pioggia,7.65,primavera,17
poliestere,colorato,lunga,autunno,pioggia,25.700000000000003,primavera,14
cotone,scuro,corta,estate,soleggiato,29.1,estate,24
poliestere,scuro,lunga,estate,pioggia,24.8,estate,23
poliestere,chiaro,corta,estate,pioggia,25.35,estate,24
poliestere,colorato,lunga,autunno,soleggiato,21.6,primavera,19
poliestere,colorato,lunga,estate,soleggiato,2.5500000000000003,inverno,23
poliestere,scuro,corta,estate,pioggia,9.85,primavera,17
poliestere,chiaro,lunga,estate,soleggiato,29.45,estate,23
cotone,chiaro,lunga,primavera_estate,pioggia,3.9,inverno,24
poliestere,colorato,lunga,estate,nuvoloso,8.950000000000001,inverno,23
poliestere,colorato,lunga,autunno,nuvoloso,1.2500000000000002,primavera,25
cotone,chiaro,corta,estate,pioggia,28.35,estate,29
poliestere,colorato,corta,estate,soleggiato,19.75,autunno,15
poliestere,colorato,lunga,autunno,pioggia,11.55,primavera,24
cotone,chiaro,corta,estate,nuvoloso,22.1,autunno,20
poliestere,scuro,lunga,autunno,soleggiato,1.2,inverno,27
poliestere,scuro,lunga,autunno,nuvoloso,10.85,autunno,28
cotone,scuro,lunga,autunno,soleggiato,11.9,primavera,25
poliestere,scuro,lunga,autunno,pioggia,12.8,primavera,24
poliestere,colorato,lunga,autunno,pioggia,1.5,inverno,27
poliestere,chiaro,corta,estate,pioggia,25.4,primavera,22
poliestere,colorato,lunga,primavera_estate,pioggia,14.25,primavera,27
poliestere,colorato,corta,estate,soleggiato,10.3,autunno,14
poliestere,colorato,lunga,estate,pioggia,13.65,primavera,26
poliestere,colorato,lunga,autunno,nuvoloso,11.35,primavera,24
poliestere,scuro,lunga,autunno,pioggia,28.15,estate,14
cotone,colorato,corta,estate,soleggiato,31.35,estate,30
poliestere,colorato,lunga,autunno,soleggiato,19.6,autunno,27
cotone,scuro,corta,estate,soleggiato,2.9000000000000004,primavera,17
cotone,colorato,lunga,estate,soleggiato,5.25,autunno,23
poliestere,scuro,lunga,autunno,soleggiato,8.15,primavera,25
poliestere,colorato,corta,estate,soleggiato,12.1,autunno,14
cotone,scuro,lunga,primavera_estate,nuvoloso,6.8,autunno,24
poliestere,scuro,lunga,estate,pioggia,10.5,primavera,26
cotone,scuro,lunga,autunno,pioggia,16.05,autunno,29
poliestere,chiaro,corta,estate,pioggia,26.9,estate,24
cotone,scuro,lunga,estate,neve,1.7,primavera,27
poliestere,colorato,lunga,estate,nuvoloso,6.85,inverno,23
poliestere,scuro,lunga,primavera_estate,pioggia,7.4,inverno,24
poliestere,chiaro,lunga,primavera,soleggiato,31.700000000000003,estate,18
poliestere,colorato,lunga,estate,soleggiato,2.5500000000000003,primavera,27
poliestere,scuro,lunga,estate,neve,-1.45,inverno,23
poliestere,colorato,lunga,estate,soleggiato,24.85,estate,23
poliestere,colorato,lunga,primavera_estate,pioggia,31.75,estate,14
poliestere,colorato,corta,estate,soleggiato,3.3999999999999995,inverno,13
poliestere,colorato,lunga,autunno,pioggia,4.7,inverno,27
poliestere,scuro,corta,estate,soleggiato,-7.899999999999999,inverno,13
poliestere,chiaro,lunga,estate,pioggia,9.8,autunno,23
poliestere,scuro,lunga,autunno,pioggia,10.7,inverno,26
poliestere,chiaro,corta,estate,pioggia,10.15,autunno,14
poliestere,colorato,lunga,autunno,soleggiato,28.35,estate,14
cotone,colorato,lunga,estate,pioggia,34.3,autunno,14
poliestere,scuro,lunga,primavera_estate,neve,8.100000000000001,primavera,28
raso,scuro,lunga,primavera_estate,pioggia,-0.0500000000000002,inverno,17
poliestere,colorato,lunga,autunno,soleggiato,17.65,autunno,27
cotone,chiaro,lunga,estate,pioggia,10.55,autunno,23
poliestere,scuro,lunga,estate,soleggiato,2.45,inverno,23
poliestere,chiaro,corta,estate,pioggia,25.7,estate,24
cotone,chiaro,corta,estate,pioggia,7.5,autunno,13
poliestere,colorato,lunga,primavera_estate,nuvoloso,10.35,inverno,23
velluto,colorato,lunga,estate,pioggia,27.8,estate,16
poliestere,colorato,lunga,estate,soleggiato,10.6,primavera,26
poliestere,scuro,corta,estate,soleggiato,5.9,primavera,17
cotone,chiaro,lunga,autunno,pioggia,4.4,inverno,27
cotone,chiaro,corta,estate,pioggia,23.0,primavera,24
poliestere,scuro,lunga,autunno,nuvoloso,10.1,primavera,24
poliestere,chiaro,lunga,primavera,pioggia,2.2,inverno,25
poliestere,scuro,lunga,autunno,pioggia,23.9,estate,19
cotone,scuro,corta,estate,soleggiato,29.15,estate,24
poliestere,scuro,lunga,estate,pioggia,9.3,autunno,23
poliestere,scuro,lunga,autunno,pioggia,4.05,primavera,25
raso,chiaro,lunga,estate,pioggia,21.5,estate,22
cotone,scuro,lunga,autunno,pioggia,30.0,estate,16
poliestere,chiaro,lunga,estate,pioggia,24.15,estate,23
poliestere,chiaro,corta,estate,pioggia,27.35,estate,24
poliestere,colorato,lunga,estate,pioggia,3.65,primavera,27
poliestere,scuro,lunga,primavera_estate,pioggia,24.65,autunno,18
cotone,scuro,corta,estate,soleggiato,2.3,inverno,13
poliestere,colorato,lunga,estate,pioggia,27.4,estate,18
poliestere,colorato,corta,estate,pioggia,13.9,inverno,14
cotone,scuro,lunga,estate,pioggia,21.75,primavera,24
poliestere,colorato,corta,estate,soleggiato,28.15,estate,24
cotone,scuro,corta,estate,nuvoloso,5.65,inverno,13
poliestere,chiaro,corta,estate,soleggiato,5.35,autunno,13
poliestere,chiaro,lunga,autunno,soleggiato,11.1,primavera,24
poliestere,chiaro,corta,estate,pioggia,17.950000000000003,estate,21
cotone,scuro,corta,estate,nuvoloso,2.45,inverno,13
poliestere,colorato,lunga,estate,soleggiato,25.35,estate,18
poliestere,colorato,lunga,autunno,soleggiato,5.55,primavera,25
raso,colorato,lunga,all,neve,-5.85,inverno,19
poliestere,colorato,corta,estate,nuvoloso,23.15,autunno,17
cotone,scuro,corta,estate,nuvoloso,8.7,autunno,13
poliestere,chiaro,corta,estate,soleggiato,30.05,estate,30
cotone,scuro,lunga,primavera_estate,pioggia,30.3,estate,19
poliestere,scuro,lunga,estate,pioggia,29.4,estate,18
poliestere,colorato,corta,estate,pioggia,24.95,estate,23
cotone,chiaro,lunga,estate,soleggiato,0.3999999999999999,inverno,23
poliestere,colorato,lunga,primavera_estate,soleggiato,4.8500000000000005,inverno,24
poliestere,colorato,lunga,primavera,soleggiato,3.95,inverno,25
poliestere,scuro,lunga,primavera_estate,pioggia,27.3,estate,17
poliestere,colorato,corta,estate,pioggia,5.95,inverno,13
cotone,scuro,lunga,autunno,nuvoloso,19.4,primavera,25
poliestere,chiaro,lunga,primavera_estate,neve,-2.85,primavera,28
raso,chiaro,corta,estate,pioggia,4.2,autunno,6
poliestere,colorato,corta,estate,neve,5.9,primavera,17
poliestere,chiaro,lunga,estate,soleggiato,29.0,estate,23
cotone,scuro,lunga,autunno,pioggia,15.1,autunno,29
poliestere,colorato,lunga,estate,nuvoloso,-1.45,inverno,23
poliestere,scuro,lunga,autunno,pioggia,-1.15,inverno,27
poliestere,scuro,corta,all,soleggiato,8.35,primavera,16
poliestere,scuro,lunga,autunno,nuvoloso,12.8,primavera,24
poliestere,colorato,lunga,autunno,nuvoloso,6.85,inverno,27
cotone,scuro,lunga,autunno,neve,-3.1500000000000004,inverno,27
poliestere,chiaro,lunga,primavera_estate,soleggiato,24.25,estate,27
poliestere,colorato,corta,estate,pioggia,13.3,primavera,18
raso,scuro,corta,all,soleggiato,31.3,estate,21
poliestere,scuro,corta,primavera_estate,soleggiato,30.4,estate,19
poliestere,colorato,lunga,estate,soleggiato,6.35,inverno,23
poliestere,colorato,corta,estate,pioggia,8.35,inverno,13
poliestere,colorato,lunga,primavera_estate,soleggiato,27.1,estate,17
cotone,scuro,corta,primavera_estate,pioggia,5.45,inverno,14
poliestere,scuro,lunga,estate,soleggiato,27.65,estate,13
poliestere,scuro,lunga,autunno,soleggiato,10.7,primavera,24
poliestere,colorato,lunga,estate,nuvoloso,2.1,primavera,27
cotone,scuro,lunga,estate,pioggia,24.75,estate,26
cotone,colorato,corta,estate,pioggia,23.5,autunno,20
poliestere,scuro,lunga,autunno,pioggia,20.3,autunno,23
poliestere,chiaro,lunga,estate,pioggia,24.15,estate,23
poliestere,chiaro,lunga,primavera_estate,pioggia,7.399999999999999,inverno,24
cotone,scuro,lunga,estate,soleggiato,28.9,estate,18
poliestere,scuro,lunga,estate,pioggia,15.55,autunno,21
poliestere,scuro,lunga,autunno,nuvoloso,6.35,autunno,29
cotone,colorato,corta,estate,pioggia,17.2,inverno,17
poliestere,chiaro,lunga,primavera_estate,pioggia,22.8,estate,22
poliestere,scuro,corta,estate,pioggia,4.05,inverno,13
poliestere,colorato,corta,estate,soleggiato,26.2,estate,24
velluto,scuro,lunga,autunno_inverno,pioggia,19.15,estate,19
poliestere,scuro,corta,estate,soleggiato,6.0,primavera,17
poliestere,colorato,corta,estate,pioggia,30.45,estate,25
poliestere,chiaro,lunga,autunno,pioggia,1.75,inverno,27
poliestere,scuro,lunga,primavera_estate,neve,4.0,inverno,24
poliestere,scuro,lunga,autunno,soleggiato,7.85,autunno,29
poliestere,chiaro,lunga,primavera_estate,pioggia,30.25,autunno,10
cotone,scuro,lunga,primavera_estate,soleggiato,15.4,autunno,24
poliestere,chiaro,lunga,primavera_estate,pioggia,8.35,primavera,28
poliestere,chiaro,lunga,primavera_estate,pioggia,27.450000000000003,estate,17
poliestere,colorato,lunga,autunno,soleggiato,23.9,primavera,19
poliestere,chiaro,lunga,autunno,pioggia,7.2,inverno,27
cotone,scuro,lunga,autunno,soleggiato,1.4,primavera,25
cotone,scuro,corta,estate,soleggiato,18.4,autunno,17
poliestere,colorato,lunga,autunno,neve,8.2,primavera,25
raso,scuro,lunga,primavera_estate,soleggiato,30.1,estate,13
poliestere,chiaro,lunga,primavera_estate,pioggia,4.15,primavera,28
poliestere,scuro,lunga,primavera_estate,soleggiato,7.800000000000001,inverno,24
cotone,scuro,lunga,estate,neve,-0.05,inverno,23
poliestere,colorato,lunga,estate,soleggiato,24.5,estate,23
cotone,scuro,lunga,autunno,nuvoloso,21.9,primavera,22
poliestere,colorato,lunga,autunno,pioggia,3.35,inverno,27
poliestere,scuro,lunga,autunno,nuvoloso,5.4,primavera,25
poliestere,colorato,lunga,autunno,nuvoloso,18.8,autunno,27
poliestere,chiaro,lunga,primavera_estate,soleggiato,5.9,inverno,24
poliestere,chiaro,corta,estate,soleggiato,20.85,primavera,26
poliestere,chiaro,lunga,estate,soleggiato,1.7999999999999998,inverno,23
cotone,scuro,corta,estate,pioggia,24.3,primavera,24
poliestere,scuro,lunga,autunno,pioggia,25.4,estate,14
poliestere,colorato,corta,estate,soleggiato,-0.7999999999999998,primavera,17
poliestere,chiaro,lunga,estate,soleggiato,-3.25,inverno,23
cotone,scuro,lunga,autunno,soleggiato,1.7999999999999998,inverno,27
cotone,scuro,corta,estate,soleggiato,15.15,autunno,17
cotone,colorato,lunga,autunno,pioggia,7.5,inverno,27
poliestere,scuro,lunga,estate,pioggia,22.55,autunno,17
cotone,scuro,lunga,estate,pioggia,15.9,inverno,23
poliestere,scuro,lunga,autunno,soleggiato,8.1,inverno,27
poliestere,colorato,corta,estate,soleggiato,1.5,inverno,13
poliestere,colorato,lunga,primavera_estate,soleggiato,31.65,estate,14
poliestere,colorato,lunga,primavera,pioggia,13.8,primavera,28
poliestere,scuro,lunga,autunno,soleggiato,19.5,estate,23
poliestere,colorato,lunga,autunno,pioggia,6.45,inverno,27
cotone,chiaro,corta,estate,pioggia,28.700000000000003,estate,29
cotone,chiaro,lunga,autunno,soleggiato,-4.05,inverno,27
cotone,scuro,corta,estate,soleggiato,1.4,primavera,17
poliestere,scuro,lunga,primavera_estate,soleggiato,8.1,inverno,24
poliestere,colorato,corta,estate,soleggiato,29.4,estate,24
poliestere,chiaro,lunga,autunno,soleggiato,1.4000000000000004,primavera,25
poliestere,chiaro,corta,estate,soleggiato,25.45,estate,29
cotone,scuro,lunga,estate,nuvoloso,6.3,inverno,23
poliestere,colorato,corta,estate,soleggiato,18.65,primavera,19
poliestere,colorato,lunga,primavera_estate,neve,1.2499999999999998,inverno,24
cotone,chiaro,lunga,autunno,soleggiato,27.8,estate,24
poliestere,colorato,lunga,autunno,pioggia,7.4,autunno,29
poliestere,chiaro,corta,estate,pioggia,13.0,primavera,18
poliestere,scuro,corta,estate,soleggiato,13.05,autunno,14
poliestere,colorato,lunga,primavera_estate,pioggia,11.4,primavera,27
poliestere,colorato,lunga,autunno,pioggia,3.4,autunno,29
poliestere,chiaro,lunga,autunno,nuvoloso,5.4,autunno,29
cotone,chiaro,corta,estate,pioggia,17.7,estate,23
raso,scuro,lunga,estate,soleggiato,29.4,estate,15
poliestere,chiaro,lunga,autunno,pioggia,0.7999999999999998,inverno,27
poliestere,colorato,lunga,estate,soleggiato,2.45,inverno,23
poliestere,scuro,lunga,autunno,pioggia,27.8,estate,14
poliestere,colorato,corta,estate,pioggia,22.15,primavera,21
cotone,scuro,lunga,primavera_estate,soleggiato,-2.65,primavera,28
poliestere,colorato,lunga,estate,pioggia,6.15,inverno,23
cotone,scuro,lunga,primavera_estate,neve,0.7999999999999998,inverno,24
poliestere,colorato,lunga,primavera_estate,soleggiato,6.85,primavera,28
cotone,chiaro,corta,estate,nuvoloso,11.8,autunno,15
poliestere,scuro,lunga,estate,nuvoloso,10.3,autunno,22
poliestere,chiaro,lunga,autunno,soleggiato,27.05,estate,19
poliestere,scuro,corta,estate,soleggiato,-3.3,inverno,13
cotone,colorato,lunga,estate,soleggiato,23.65,autunno,20
cotone,scuro,corta,estate,pioggia,17.1,estate,23
poliestere,scuro,corta,estate,soleggiato,29.25,estate,19
poliestere,colorato,corta,estate,soleggiato,16.4,autunno,15
poliestere,scuro,lunga,primavera_estate,pioggia,4.75,autunno,24
poliestere,chiaro,lunga,estate,pioggia,19.55,primavera,25
poliestere,colorato,lunga,estate,pioggia,9.4,primavera,27
poliestere,chiaro,corta,estate,pioggia,0.8999999999999999,primavera,17
cotone,scuro,lunga,primavera_estate,nuvoloso,21.15,autunno,21
cotone,colorato,corta,primavera_estate,pioggia,16.45,estate,22
raso,scuro,corta,estate,soleggiato,31.0,autunno,18
cotone,scuro,lunga,estate,pioggia,6.949999999999999,primavera,27
cotone,chiaro,corta,primavera_estate,soleggiato,16.5,primavera,22
poliestere,chiaro,lunga,estate,pioggia,28.75,autunno,12
poliestere,scuro,corta,estate,nuvoloso,3.8,inverno,13
poliestere,colorato,lunga,primavera_estate,neve,-1.65,autunno,24
poliestere,chiaro,lunga,estate,pioggia,21.65,autunno,17
poliestere,chiaro,lunga,estate,soleggiato,10.35,autunno,22
poliestere,chiaro,lunga,estate,pioggia,20.0,autunno,17
poliestere,scuro,corta,estate,soleggiato,7.0,primavera,17
poliestere,chiaro,lunga,estate,nuvoloso,27.55,estate,18
poliestere,scuro,lunga,primavera_estate,pioggia,8.049999999999999,inverno,24
cotone,scuro,corta,estate,pioggia,24.25,estate,26
poliestere,chiaro,lunga,autunno,soleggiato,26.65,estate,19
poliestere,colorato,lunga,estate,soleggiato,-0.55,primavera,27
poliestere,colorato,lunga,autunno,pioggia,11.6,inverno,26
poliestere,chiaro,corta,estate,pioggia,22.95,primavera,21
poliestere,colorato,lunga,autunno,pioggia,16.299999999999997,inverno,25
cotone,chiaro,corta,estate,soleggiato,27.3,estate,34
poliestere,scuro,lunga,autunno,nuvoloso,5.1000000000000005,inverno,27
cotone,scuro,lunga,primavera_estate,pioggia,9.35,primavera,28
poliestere,scuro,lunga,estate,pioggia,17.3,autunno,21
poliestere,chiaro,corta,estate,pioggia,12.7,autunno,14
velluto,scuro,lunga,autunno_inverno,pioggia,7.85,autunno,28
poliestere,colorato,corta,estate,pioggia,21.9,estate,23
poliestere,colorato,lunga,estate,soleggiato,31.15,estate,15
poliestere,chiaro,lunga,primavera_estate,pioggia,6.5,inverno,24
poliestere,colorato,lunga,autunno,pioggia,7.699999999999999,inverno,27
poliestere,scuro,lunga,autunno,soleggiato,17.4,primavera,23
