Materiale,Colore,Lunghezza,Stagione,time,Meteo,TemperaturaPercepita,StagionePrevisione,Mese
poliestere,scuro,corto,estate,2022-07-16,pioggia,31.75,estate,luglio
poliestere,scuro,corto,estate,2022-01-24,soleggiato,3.3999999999999995,inverno,gennaio
poliestere,scuro,corto,all,2022-01-19,pioggia,4.7,inverno,gennaio
poliestere,chiaro,corto,estate,2022-02-26,soleggiato,-7.899999999999999,inverno,febbraio
poliestere,colorato,corto,estate,2022-10-15,pioggia,9.8,autunno,ottobre
cotone,scuro,corto,estate,2022-01-03,pioggia,10.7,inverno,gennaio
velluto,scuro,corto,autunno_inverno,2022-11-13,pioggia,10.15,autunno,novembre
poliestere,colorato,corto,estate,2022-08-03,soleggiato,28.35,estate,agosto
cotone,colorato,corto,all,2022-09-07,pioggia,34.3,autunno,settembre
cotone,colorato,corto,estate,2022-04-24,neve,8.100000000000001,primavera,aprile
poliestere,colorato,corto,all,2022-01-21,pioggia,-0.0500000000000002,inverno,gennaio
poliestere,scuro,corto,estate,2022-09-24,soleggiato,17.65,autunno,settembre
poliestere,colorato,corto,estate,2022-11-04,pioggia,10.55,autunno,novembre
poliestere,scuro,corto,estate,2022-01-16,soleggiato,2.45,inverno,gennaio
poliestere,scuro,corto,estate,2022-06-21,pioggia,25.7,estate,giugno
velluto,colorato,corto,all,2022-11-03,pioggia,7.5,autunno,novembre
poliestere,colorato,corto,estate,2022-01-03,nuvoloso,10.35,inverno,gennaio
poliestere,colorato,corto,estate,2022-08-07,pioggia,27.8,estate,agosto
poliestere,scuro,corto,estate,2022-03-28,soleggiato,10.6,primavera,marzo
poliestere,colorato,corto,all,2022-03-03,soleggiato,5.9,primavera,marzo
poliestere,colorato,corto,all,2022-12-17,pioggia,4.4,inverno,dicembre
cotone,chiaro,corto,autunno,2022-05-13,pioggia,23.0,primavera,maggio
cotone,scuro,corto,all,2022-04-06,nuvoloso,10.1,primavera,aprile
poliestere,scuro,corto,all,2022-02-27,pioggia,2.2,inverno,febbraio
poliestere,colorato,corto,estate,2022-08-13,pioggia,23.9,estate,agosto
poliestere,scuro,corto,estate,2022-07-28,soleggiato,29.15,estate,luglio
poliestere,colorato,corto,all,2022-11-20,pioggia,9.3,autunno,novembre
poliestere,colorato,corto,all,2022-04-02,pioggia,4.05,primavera,aprile
poliestere,colorato,corto,estate,2022-06-10,pioggia,21.5,estate,giugno
poliestere,scuro,corto,all,2022-07-07,pioggia,30.0,estate,luglio
cotone,chiaro,corto,all,2022-06-22,pioggia,24.15,estate,giugno
poliestere,chiaro,corto,estate,2022-08-29,pioggia,27.35,estate,agosto
poliestere,colorato,corto,primavera_estate,2022-03-04,pioggia,3.65,primavera,marzo
cotone,chiaro,corto,estate,2022-09-11,pioggia,24.65,autunno,settembre
poliestere,colorato,corto,estate,2022-01-11,soleggiato,2.3,inverno,gennaio
poliestere,colorato,corto,primavera_estate,2022-08-04,pioggia,27.4,estate,agosto
cotone,colorato,corto,estate,2022-12-11,pioggia,13.9,inverno,dicembre
cotone,scuro,corto,estate,2022-05-29,pioggia,21.75,primavera,maggio
poliestere,chiaro,corto,all,2022-06-18,soleggiato,28.15,estate,giugno
poliestere,colorato,corto,estate,2022-02-04,nuvoloso,5.65,inverno,febbraio
cotone,scuro,corto,estate,2022-09-20,soleggiato,5.35,autunno,settembre
poliestere,scuro,corto,estate,2022-03-26,soleggiato,11.1,primavera,marzo
poliestere,scuro,corto,all,2022-07-02,pioggia,17.950000000000003,estate,luglio
poliestere,colorato,corto,estate,2022-02-10,nuvoloso,2.45,inverno,febbraio
cotone,colorato,corto,primavera,2022-06-07,soleggiato,25.35,estate,giugno
poliestere,scuro,corto,all,2022-03-20,soleggiato,5.55,primavera,marzo
poliestere,colorato,corto,estate,2022-02-07,neve,-5.85,inverno,febbraio
poliestere,scuro,corto,estate,2022-09-01,nuvoloso,23.15,autunno,settembre
poliestere,colorato,corto,estate,2022-11-28,nuvoloso,8.7,autunno,novembre
cotone,scuro,corto,estate,2022-06-19,soleggiato,30.05,estate,giugno
velluto,scuro,corto,autunno_inverno,2022-06-30,pioggia,30.3,estate,giugno
poliestere,scuro,corto,estate,2022-08-27,pioggia,29.4,estate,agosto
cotone,scuro,corto,all,2022-08-23,pioggia,24.95,estate,agosto
cotone,scuro,corto,estate,2022-02-27,soleggiato,0.3999999999999999,inverno,febbraio
poliestere,colorato,corto,estate,2022-02-03,soleggiato,4.8500000000000005,inverno,febbraio
poliestere,scuro,corto,estate,2022-02-05,soleggiato,3.95,inverno,febbraio
poliestere,chiaro,corto,primavera,2022-06-16,pioggia,27.3,estate,giugno
cotone,colorato,corto,estate,2022-01-21,pioggia,5.95,inverno,gennaio
cotone,scuro,corto,estate,2022-04-15,nuvoloso,19.4,primavera,aprile
poliestere,scuro,corto,all,2022-04-04,neve,-2.85,primavera,aprile
poliestere,colorato,corto,estate,2022-11-21,pioggia,4.2,autunno,novembre
cotone,chiaro,corto,primavera,2022-03-19,neve,5.9,primavera,marzo
cotone,scuro,corto,estate,2022-07-16,soleggiato,29.0,estate,luglio
poliestere,chiaro,corto,estate,2022-11-20,pioggia,15.1,autunno,novembre
poliestere,scuro,corto,estate,2022-12-12,nuvoloso,-1.45,inverno,dicembre
poliestere,colorato,corto,estate,2022-01-09,pioggia,-1.15,inverno,gennaio
poliestere,scuro,corto,all,2022-04-18,soleggiato,8.35,primavera,aprile
poliestere,scuro,corto,estate,2022-03-16,nuvoloso,12.8,primavera,marzo
poliestere,colorato,corto,estate,2022-12-25,nuvoloso,6.85,inverno,dicembre
poliestere,colorato,corto,all,2022-02-15,neve,-3.1500000000000004,inverno,febbraio
poliestere,colorato,corto,estate,2022-07-14,soleggiato,24.25,estate,luglio
cotone,chiaro,corto,all,2022-04-27,pioggia,13.3,primavera,aprile
poliestere,colorato,corto,estate,2022-07-16,soleggiato,31.3,estate,luglio
poliestere,scuro,corto,all,2022-08-04,soleggiato,30.4,estate,agosto
poliestere,chiaro,corto,all,2022-02-03,soleggiato,6.35,inverno,febbraio
poliestere,chiaro,corto,all,2022-02-26,pioggia,8.35,inverno,febbraio
poliestere,scuro,corto,all,2022-08-20,soleggiato,27.1,estate,agosto
poliestere,colorato,corto,estate,2022-01-04,pioggia,5.45,inverno,gennaio
poliestere,colorato,corto,all,2022-08-22,soleggiato,27.65,estate,agosto
poliestere,scuro,corto,estate,2022-03-25,soleggiato,10.7,primavera,marzo
cotone,scuro,corto,estate,2022-03-08,nuvoloso,2.1,primavera,marzo
poliestere,colorato,corto,primavera_estate,2022-08-19,pioggia,24.75,estate,agosto
cotone,scuro,corto,estate,2022-09-03,pioggia,23.5,autunno,settembre
poliestere,scuro,corto,estate,2022-10-24,pioggia,20.3,autunno,ottobre
cotone,colorato,corto,all,2022-07-08,pioggia,24.15,estate,luglio
poliestere,scuro,corto,all,2022-01-31,pioggia,7.399999999999999,inverno,gennaio
poliestere,scuro,corto,estate,2022-06-19,soleggiato,28.9,estate,giugno
poliestere,scuro,corto,estate,2022-11-16,pioggia,15.55,autunno,novembre
poliestere,colorato,corto,estate,2022-11-06,nuvoloso,6.35,autunno,novembre
poliestere,colorato,corto,primavera,2022-12-10,pioggia,17.2,inverno,dicembre
poliestere,scuro,corto,all,2022-06-09,pioggia,22.8,estate,giugno
poliestere,scuro,corto,all,2022-01-05,pioggia,4.05,inverno,gennaio
poliestere,colorato,corto,primavera_estate,2022-07-10,soleggiato,26.2,estate,luglio
poliestere,scuro,corto,all,2022-06-08,pioggia,19.15,estate,giugno
poliestere,colorato,corto,all,2022-03-19,soleggiato,6.0,primavera,marzo
poliestere,colorato,corto,primavera_estate,2022-08-12,pioggia,30.45,estate,agosto
poliestere,colorato,corto,estate,2022-12-17,pioggia,1.75,inverno,dicembre
velluto,colorato,corto,all,2022-12-21,neve,4.0,inverno,dicembre
poliestere,chiaro,corto,estate,2022-11-07,soleggiato,7.85,autunno,novembre
poliestere,colorato,corto,autunno,2022-09-08,pioggia,30.25,autunno,settembre
poliestere,chiaro,corto,all,2022-09-22,soleggiato,15.4,autunno,settembre
velluto,scuro,corto,autunno_inverno,2022-04-04,pioggia,8.35,primavera,aprile
raso,scuro,corto,estate,2022-08-20,pioggia,27.450000000000003,estate,agosto
poliestere,colorato,corto,primavera_estate,2022-05-31,soleggiato,23.9,primavera,maggio
poliestere,chiaro,corto,all,2022-12-04,pioggia,7.2,inverno,dicembre
poliestere,scuro,corto,all,2022-03-08,soleggiato,1.4,primavera,marzo
poliestere,scuro,corto,all,2022-10-30,soleggiato,18.4,autunno,ottobre
poliestere,scuro,corto,all,2022-04-09,neve,8.2,primavera,aprile
cotone,scuro,corto,estate,2022-07-20,soleggiato,30.1,estate,luglio
poliestere,colorato,corto,estate,2022-04-02,pioggia,4.15,primavera,aprile
poliestere,colorato,corto,estate,2022-02-25,soleggiato,7.800000000000001,inverno,febbraio
poliestere,colorato,corto,estate,2022-02-22,neve,-0.05,inverno,febbraio
poliestere,scuro,corto,estate,2022-07-10,soleggiato,24.5,estate,luglio
cotone,colorato,corto,estate,2022-05-22,nuvoloso,21.9,primavera,maggio
poliestere,colorato,corto,all,2022-02-13,pioggia,3.35,inverno,febbraio
cotone,chiaro,corto,all,2022-03-03,nuvoloso,5.4,primavera,marzo
poliestere,colorato,corto,estate,2022-11-01,nuvoloso,18.8,autunno,novembre
poliestere,colorato,corto,all,2022-02-11,soleggiato,5.9,inverno,febbraio
poliestere,colorato,corto,estate,2022-04-27,soleggiato,20.85,primavera,aprile
cotone,colorato,corto,estate,2022-02-09,soleggiato,1.7999999999999998,inverno,febbraio
cotone,scuro,corto,all,2022-05-24,pioggia,24.3,primavera,maggio
cotone,colorato,corto,estate,2022-07-12,pioggia,25.4,estate,luglio
poliestere,colorato,corto,all,2022-03-12,soleggiato,-0.7999999999999998,primavera,marzo
