Materiale,Colore,Lunghezza,Stagione,time,Meteo,TemperaturaPercepita,StagionePrevisione,Mese,Punteggio
poliestere,colorato,lunga,estate,2022-02-17,soleggiato,-2,inverno,febbraio,23
poliestere,colorato,lunga,inverno,2022-08-06,soleggiato,31,estate,agosto,9
cotone,colorato,lunga,all,2022-01-28,soleggiato,-6,inverno,gennaio,26
poliestere,scuro,lunga,all,2022-09-04,pioggia,28,autunno,settembre,15
poliestere,scuro,lunga,all,2022-03-19,neve,6,primavera,marzo,26
poliestere,colorato,lunga,estate,2022-12-09,pioggia,3,inverno,dicembre,23
poliestere,scuro,media,estate,2022-06-02,pioggia,25,estate,giugno,22
poliestere,colorato,lunga,all,2022-08-30,soleggiato,20,estate,agosto,20
poliestere,chiaro,media,estate,2022-10-16,nuvoloso,22,autunno,ottobre,22
poliestere,scuro,lunga,all,2022-07-20,soleggiato,30,estate,luglio,7
poliestere,scuro,lunga,all,2022-06-18,soleggiato,24,estate,giugno,15
cotone,scuro,lunga,all,2022-07-16,pioggia,27,estate,luglio,20
poliestere,scuro,lunga,estate,2022-02-02,soleggiato,6,inverno,febbraio,23
poliestere,colorato,lunga,all,2022-07-13,pioggia,26,estate,luglio,15
poliestere,colorato,lunga,all,2022-08-15,pioggia,28,estate,agosto,15
cotone,colorato,lunga,estate,2022-03-06,nuvoloso,1,primavera,marzo,27
poliestere,scuro,lunga,all,2022-07-02,pioggia,24,estate,luglio,20
poliestere,scuro,lunga,all,2022-01-16,soleggiato,3,inverno,gennaio,26
poliestere,colorato,lunga,primavera,2022-10-16,soleggiato,13,autunno,ottobre,24
poliestere,colorato,lunga,all,2022-03-24,soleggiato,3,primavera,marzo,26
poliestere,colorato,lunga,all,2022-05-02,pioggia,15,primavera,maggio,24
poliestere,scuro,lunga,estate,2022-09-18,pioggia,5,autunno,settembre,23
poliestere,colorato,lunga,all,2022-01-11,pioggia,2,inverno,gennaio,26
velluto,colorato,lunga,all,2022-07-06,pioggia,25,estate,luglio,13
poliestere,colorato,lunga,estate,2022-11-06,soleggiato,10,autunno,novembre,22
velluto,scuro,lunga,autunno_inverno,2022-02-10,soleggiato,5,inverno,febbraio,28
poliestere,colorato,media,estate,2022-03-15,soleggiato,8,primavera,marzo,17
poliestere,colorato,corta,estate,2022-12-05,pioggia,9,inverno,dicembre,13
poliestere,chiaro,media,estate,2022-03-04,pioggia,4,primavera,marzo,17
poliestere,scuro,lunga,all,2022-05-21,pioggia,22,primavera,maggio,20
poliestere,scuro,lunga,estate,2022-07-02,soleggiato,30,estate,luglio,10
poliestere,colorato,lunga,estate,2022-11-09,pioggia,11,autunno,novembre,22
poliestere,colorato,lunga,all,2022-03-27,soleggiato,9,primavera,marzo,26
poliestere,colorato,media,primavera_estate,2022-06-27,soleggiato,33,estate,giugno,17
poliestere,chiaro,lunga,estate,2022-01-06,pioggia,11,inverno,gennaio,22
poliestere,scuro,lunga,all,2022-08-10,pioggia,33,estate,agosto,12
poliestere,scuro,lunga,all,2022-11-27,pioggia,3,autunno,novembre,26
poliestere,scuro,corta,estate,2022-04-11,soleggiato,13,primavera,aprile,18
poliestere,colorato,media,estate,2022-01-08,nuvoloso,5,inverno,gennaio,13
poliestere,scuro,lunga,estate,2022-11-23,neve,2,autunno,novembre,23
raso,colorato,lunga,primavera_estate,2022-02-17,soleggiato,6,inverno,febbraio,18
cotone,scuro,corta,estate,2022-11-07,pioggia,10,autunno,novembre,15
poliestere,chiaro,lunga,all,2022-11-26,soleggiato,7,autunno,novembre,26
cotone,colorato,lunga,all,2022-12-15,pioggia,0,inverno,dicembre,26
poliestere,scuro,corta,estate,2022-07-19,soleggiato,29,estate,luglio,19
cotone,scuro,lunga,all,2022-09-29,pioggia,7,autunno,settembre,26
poliestere,colorato,corta,estate,2022-12-07,pioggia,13,inverno,dicembre,14
poliestere,colorato,corta,estate,2022-11-20,pioggia,9,autunno,novembre,13
poliestere,colorato,lunga,all,2022-05-30,pioggia,6,primavera,maggio,26
poliestere,colorato,lunga,estate,2022-09-05,soleggiato,26,autunno,settembre,12
poliestere,colorato,lunga,estate,2022-11-16,pioggia,9,autunno,novembre,23
poliestere,colorato,media,primavera_estate,2022-02-03,soleggiato,8,inverno,febbraio,14
poliestere,scuro,lunga,estate,2022-12-14,pioggia,14,inverno,dicembre,22
poliestere,colorato,corta,primavera_estate,2022-11-03,pioggia,16,autunno,novembre,16
poliestere,colorato,lunga,estate,2022-05-06,pioggia,18,primavera,maggio,25
poliestere,scuro,lunga,estate,2022-01-08,neve,-4,inverno,gennaio,23
poliestere,colorato,lunga,estate,2022-04-21,pioggia,10,primavera,aprile,26
cotone,scuro,lunga,estate,2022-01-07,soleggiato,-11,inverno,gennaio,23
velluto,scuro,lunga,autunno_inverno,2022-04-01,pioggia,8,primavera,aprile,24
poliestere,colorato,lunga,estate,2022-10-17,pioggia,18,autunno,ottobre,21
poliestere,scuro,corta,estate,2022-05-04,soleggiato,20,primavera,maggio,16
poliestere,scuro,lunga,estate,2022-11-25,nuvoloso,4,autunno,novembre,23
poliestere,colorato,lunga,estate,2022-12-19,soleggiato,9,inverno,dicembre,23
poliestere,scuro,lunga,estate,2022-04-09,soleggiato,15,primavera,aprile,25
poliestere,colorato,corta,estate,2022-11-01,soleggiato,20,autunno,novembre,17
poliestere,colorato,media,estate,2022-10-22,soleggiato,23,autunno,ottobre,22
poliestere,scuro,corta,estate,2022-02-28,neve,-5,inverno,febbraio,13
poliestere,colorato,media,estate,2022-12-23,nuvoloso,11,inverno,dicembre,16
poliestere,colorato,lunga,estate,2022-09-27,pioggia,17,autunno,settembre,21
poliestere,scuro,lunga,estate,2022-06-24,pioggia,20,estate,giugno,23
poliestere,scuro,lunga,all,2022-08-13,soleggiato,23,estate,agosto,15
poliestere,colorato,lunga,all,2022-05-09,pioggia,17,primavera,maggio,24
poliestere,colorato,lunga,estate,2022-05-11,soleggiato,22,primavera,maggio,21
cotone,scuro,lunga,all,2022-11-13,pioggia,12,autunno,novembre,26
poliestere,colorato,lunga,all,2022-05-02,pioggia,16,primavera,maggio,24
poliestere,colorato,lunga,all,2022-02-11,nuvoloso,10,inverno,febbraio,25
poliestere,scuro,media,estate,2022-11-04,pioggia,14,autunno,novembre,16
poliestere,scuro,lunga,all,2022-08-07,pioggia,25,estate,agosto,15
poliestere,chiaro,corta,estate,2022-08-22,soleggiato,28,estate,agosto,29
poliestere,scuro,lunga,estate,2022-01-23,soleggiato,0,inverno,gennaio,23
poliestere,chiaro,lunga,all,2022-06-13,pioggia,23,estate,giugno,20
poliestere,scuro,lunga,estate,2022-12-06,soleggiato,5,inverno,dicembre,23
poliestere,scuro,lunga,all,2022-02-23,soleggiato,6,inverno,febbraio,26
poliestere,scuro,corta,estate,2022-05-26,soleggiato,25,primavera,maggio,17
poliestere,colorato,media,estate,2022-09-01,pioggia,21,autunno,settembre,22
poliestere,scuro,lunga,primavera_estate,2022-02-06,pioggia,9,inverno,febbraio,24
poliestere,colorato,lunga,estate,2022-04-07,pioggia,11,primavera,aprile,26
velluto,scuro,lunga,autunno_inverno,2022-05-26,pioggia,25,primavera,maggio,11
poliestere,chiaro,media,estate,2022-03-20,nuvoloso,-3,primavera,marzo,17
poliestere,colorato,corta,estate,2022-11-22,pioggia,8,autunno,novembre,13
poliestere,colorato,lunga,all,2022-02-15,neve,2,inverno,febbraio,26
poliestere,scuro,lunga,estate,2022-02-26,pioggia,5,inverno,febbraio,23
poliestere,colorato,corta,estate,2022-02-11,nuvoloso,6,inverno,febbraio,13
poliestere,colorato,lunga,all,2022-09-17,pioggia,15,autunno,settembre,24
cotone,colorato,lunga,estate,2022-01-02,nuvoloso,1,inverno,gennaio,23
poliestere,scuro,lunga,all,2022-11-22,pioggia,5,autunno,novembre,26
poliestere,colorato,corta,estate,2022-01-04,pioggia,10,inverno,gennaio,14
poliestere,colorato,lunga,primavera_estate,2022-05-10,pioggia,17,primavera,maggio,26
cotone,colorato,lunga,all,2022-12-13,neve,-1,inverno,dicembre,26
poliestere,colorato,lunga,estate,2022-10-03,pioggia,15,autunno,ottobre,21
poliestere,chiaro,lunga,estate,2022-12-02,pioggia,5,inverno,dicembre,23
cotone,colorato,lunga,estate,2022-03-12,nuvoloso,-5,primavera,marzo,27
raso,colorato,media,estate,2022-02-18,pioggia,-3,inverno,febbraio,6
poliestere,colorato,media,estate,2022-10-25,soleggiato,16,autunno,ottobre,17
poliestere,scuro,lunga,all,2022-10-12,pioggia,25,autunno,ottobre,15
poliestere,colorato,media,estate,2022-04-27,pioggia,3,primavera,aprile,17
cotone,chiaro,corta,estate,2022-11-12,pioggia,12,autunno,novembre,15
cotone,scuro,lunga,estate,2022-10-20,nuvoloso,18,autunno,ottobre,23
poliestere,chiaro,lunga,all,2022-03-06,pioggia,4,primavera,marzo,26
cotone,colorato,lunga,all,2022-02-01,soleggiato,6,inverno,febbraio,26
poliestere,colorato,lunga,all,2022-12-03,pioggia,7,inverno,dicembre,26
poliestere,scuro,media,primavera_estate,2022-10-28,nuvoloso,18,autunno,ottobre,18
cotone,chiaro,lunga,all,2022-02-26,pioggia,8,inverno,febbraio,26
poliestere,colorato,lunga,all,2022-04-17,pioggia,1,primavera,aprile,26
poliestere,scuro,corta,estate,2022-11-11,soleggiato,16,autunno,novembre,15
poliestere,scuro,corta,estate,2022-04-07,nuvoloso,13,primavera,aprile,18
poliestere,colorato,lunga,estate,2022-01-10,neve,2,inverno,gennaio,23
cotone,scuro,lunga,all,2022-01-27,soleggiato,-4,inverno,gennaio,26
poliestere,chiaro,corta,estate,2022-05-26,pioggia,13,primavera,maggio,18
poliestere,colorato,lunga,all,2022-12-05,nuvoloso,6,inverno,dicembre,26
poliestere,colorato,lunga,estate,2022-10-04,nuvoloso,12,autunno,ottobre,22
poliestere,chiaro,media,estate,2022-09-05,soleggiato,25,autunno,settembre,21
poliestere,colorato,lunga,estate,2022-10-11,nuvoloso,25,autunno,ottobre,12
poliestere,scuro,lunga,all,2022-05-20,soleggiato,24,primavera,maggio,15
cotone,chiaro,lunga,all,2022-07-18,soleggiato,30,estate,luglio,22
poliestere,colorato,lunga,all,2022-09-09,pioggia,29,autunno,settembre,15
poliestere,scuro,lunga,all,2022-12-03,pioggia,17,inverno,dicembre,24
tweed,chiaro,corta,estate,2022-05-26,pioggia,25,primavera,maggio,19
poliestere,scuro,lunga,all,2022-07-12,pioggia,27,estate,luglio,15
cotone,scuro,media,estate,2022-10-26,nuvoloso,20,autunno,ottobre,25
poliestere,colorato,corta,primavera_estate,2022-06-03,soleggiato,25,estate,giugno,23
cotone,colorato,lunga,all,2022-11-10,pioggia,10,autunno,novembre,26
cotone,scuro,lunga,all,2022-07-08,soleggiato,14,estate,luglio,26
poliestere,scuro,corta,estate,2022-10-30,nuvoloso,20,autunno,ottobre,17
poliestere,colorato,corta,estate,2022-01-28,nuvoloso,2,inverno,gennaio,13
poliestere,scuro,corta,estate,2022-01-10,soleggiato,-6,inverno,gennaio,13
cotone,scuro,lunga,all,2022-03-06,pioggia,-7,primavera,marzo,26
poliestere,colorato,media,estate,2022-06-26,pioggia,23,estate,giugno,28
poliestere,scuro,lunga,all,2022-11-16,pioggia,20,autunno,novembre,20
poliestere,colorato,media,estate,2022-10-21,pioggia,17,autunno,ottobre,17
poliestere,colorato,media,primavera_estate,2022-11-13,pioggia,11,autunno,novembre,17
poliestere,colorato,corta,estate,2022-02-16,pioggia,7,inverno,febbraio,13
cotone,scuro,lunga,all,2022-09-20,soleggiato,28,autunno,settembre,15
poliestere,colorato,corta,primavera_estate,2022-01-09,neve,-1,inverno,gennaio,14
poliestere,colorato,media,estate,2022-11-06,soleggiato,13,autunno,novembre,16
poliestere,scuro,lunga,all,2022-05-20,soleggiato,22,primavera,maggio,15
cotone,colorato,media,estate,2022-03-01,soleggiato,3,primavera,marzo,17
poliestere,scuro,lunga,all,2022-08-29,soleggiato,28,estate,agosto,10
poliestere,colorato,lunga,all,2022-05-07,pioggia,15,primavera,maggio,24
velluto,scuro,lunga,autunno_inverno,2022-09-03,soleggiato,33,autunno,settembre,8
cotone,scuro,lunga,all,2022-09-02,pioggia,23,autunno,settembre,23
poliestere,colorato,lunga,estate,2022-12-04,pioggia,7,inverno,dicembre,23
poliestere,chiaro,lunga,estate,2022-02-03,nuvoloso,3,inverno,febbraio,23
poliestere,chiaro,corta,estate,2022-09-08,pioggia,26,autunno,settembre,18
poliestere,colorato,corta,estate,2022-06-06,soleggiato,24,estate,giugno,23
poliestere,colorato,media,estate,2022-06-04,soleggiato,27,estate,giugno,22
poliestere,chiaro,lunga,estate,2022-05-16,pioggia,26,primavera,maggio,16
poliestere,colorato,lunga,estate,2022-11-14,pioggia,12,autunno,novembre,22
poliestere,scuro,lunga,all,2022-03-19,pioggia,3,primavera,marzo,26
poliestere,scuro,media,estate,2022-12-23,pioggia,-2,inverno,dicembre,13
poliestere,chiaro,lunga,primavera,2022-03-22,nuvoloso,0,primavera,marzo,29
poliestere,scuro,lunga,all,2022-03-02,nuvoloso,-7,primavera,marzo,26
cotone,colorato,lunga,all,2022-07-24,soleggiato,33,estate,luglio,17
poliestere,colorato,lunga,estate,2022-07-02,soleggiato,30,estate,luglio,15
poliestere,colorato,lunga,estate,2022-06-20,nuvoloso,28,estate,giugno,18
velluto,scuro,lunga,autunno_inverno,2022-03-19,pioggia,8,primavera,marzo,24
poliestere,colorato,lunga,estate,2022-05-10,pioggia,18,primavera,maggio,25
poliestere,scuro,lunga,estate,2022-07-05,soleggiato,31,estate,luglio,10
poliestere,scuro,lunga,all,2022-03-02,neve,-6,primavera,marzo,26
cotone,colorato,media,estate,2022-09-02,nuvoloso,24,autunno,settembre,25
poliestere,scuro,lunga,estate,2022-03-05,pioggia,3,primavera,marzo,27
poliestere,scuro,media,estate,2022-07-25,soleggiato,36,estate,luglio,13
poliestere,scuro,lunga,all,2022-04-21,pioggia,9,primavera,aprile,26
poliestere,chiaro,corta,estate,2022-04-30,soleggiato,16,primavera,aprile,19
poliestere,colorato,lunga,estate,2022-12-13,pioggia,16,inverno,dicembre,21
cotone,scuro,lunga,estate,2022-04-06,nuvoloso,10,primavera,aprile,27
velluto,scuro,lunga,autunno_inverno,2022-07-07,pioggia,30,estate,luglio,9
poliestere,colorato,media,estate,2022-02-12,soleggiato,8,inverno,febbraio,13
cotone,colorato,lunga,all,2022-07-24,soleggiato,35,estate,luglio,17
cotone,colorato,media,estate,2022-11-03,pioggia,17,autunno,novembre,19
poliestere,colorato,lunga,all,2022-05-18,nuvoloso,23,primavera,maggio,20
poliestere,scuro,lunga,estate,2022-11-29,neve,2,autunno,novembre,23
poliestere,colorato,corta,estate,2022-06-24,pioggia,29,estate,giugno,24
poliestere,scuro,lunga,estate,2022-01-17,nuvoloso,3,inverno,gennaio,23
poliestere,scuro,media,estate,2022-12-22,nuvoloso,4,inverno,dicembre,13
velluto,colorato,lunga,all,2022-08-13,soleggiato,24,estate,agosto,17
poliestere,colorato,corta,estate,2022-05-10,pioggia,16,primavera,maggio,19
poliestere,colorato,corta,estate,2022-07-30,soleggiato,27,estate,luglio,24
poliestere,scuro,media,estate,2022-03-18,neve,8,primavera,marzo,17
poliestere,colorato,lunga,all,2022-08-25,soleggiato,31,estate,agosto,12
poliestere,colorato,lunga,all,2022-09-26,pioggia,27,autunno,settembre,15
cotone,chiaro,lunga,autunno,2022-10-04,soleggiato,19,autunno,ottobre,29
cotone,scuro,lunga,all,2022-10-03,pioggia,21,autunno,ottobre,23
poliestere,scuro,lunga,all,2022-10-25,soleggiato,20,autunno,ottobre,15
poliestere,colorato,corta,estate,2022-02-11,soleggiato,7,inverno,febbraio,13
poliestere,scuro,lunga,estate,2022-04-27,nuvoloso,14,primavera,aprile,26
poliestere,colorato,lunga,all,2022-09-07,pioggia,25,autunno,settembre,15
poliestere,colorato,lunga,all,2022-07-20,soleggiato,30,estate,luglio,12
poliestere,colorato,lunga,estate,2022-06-15,soleggiato,21,estate,giugno,23
poliestere,scuro,lunga,all,2022-05-09,pioggia,10,primavera,maggio,25
cotone,chiaro,lunga,all,2022-10-14,nuvoloso,18,autunno,ottobre,26
poliestere,chiaro,media,estate,2022-10-11,soleggiato,18,autunno,ottobre,17
poliestere,colorato,media,primavera_estate,2022-11-09,pioggia,12,autunno,novembre,17
cotone,chiaro,corta,estate,2022-08-29,pioggia,28,estate,agosto,29
poliestere,colorato,corta,estate,2022-07-11,nuvoloso,25,estate,luglio,24
poliestere,colorato,corta,primavera_estate,2022-10-06,soleggiato,19,autunno,ottobre,16
cotone,colorato,lunga,estate,2022-11-15,nuvoloso,15,autunno,novembre,23
cotone,scuro,lunga,estate,2022-06-02,pioggia,26,estate,giugno,23
poliestere,chiaro,lunga,all,2022-12-09,pioggia,13,inverno,dicembre,25
poliestere,colorato,media,estate,2022-01-14,soleggiato,1,inverno,gennaio,13
cotone,scuro,corta,estate,2022-10-03,soleggiato,20,autunno,ottobre,15
poliestere,scuro,lunga,estate,2022-05-22,soleggiato,24,primavera,maggio,16
poliestere,scuro,lunga,all,2022-06-14,pioggia,20,estate,giugno,20
poliestere,colorato,media,estate,2022-03-25,soleggiato,9,primavera,marzo,17
cotone,colorato,media,primavera,2022-03-15,pioggia,4,primavera,marzo,19
poliestere,scuro,lunga,all,2022-04-22,pioggia,12,primavera,aprile,25
poliestere,colorato,media,estate,2022-05-01,soleggiato,14,primavera,maggio,20
poliestere,scuro,media,estate,2022-08-09,soleggiato,25,estate,agosto,17
poliestere,colorato,media,estate,2022-07-16,pioggia,19,estate,luglio,23
cotone,scuro,lunga,estate,2022-04-08,soleggiato,15,primavera,aprile,27
velluto,scuro,lunga,autunno_inverno,2022-04-28,soleggiato,15,primavera,aprile,19
poliestere,scuro,corta,estate,2022-08-06,pioggia,32,estate,agosto,25
cotone,scuro,lunga,all,2022-08-16,pioggia,23,estate,agosto,23
cotone,scuro,media,estate,2022-03-02,nuvoloso,2,primavera,marzo,17
poliestere,colorato,media,estate,2022-11-27,pioggia,7,autunno,novembre,13
poliestere,scuro,media,estate,2022-10-26,nuvoloso,18,autunno,ottobre,17
poliestere,chiaro,media,primavera,2022-07-18,soleggiato,30,estate,luglio,21
cotone,colorato,lunga,estate,2022-02-23,soleggiato,4,inverno,febbraio,23
cotone,scuro,corta,estate,2022-07-14,pioggia,26,estate,luglio,29
poliestere,scuro,lunga,all,2022-08-13,pioggia,27,estate,agosto,15
poliestere,colorato,lunga,estate,2022-01-24,pioggia,1,inverno,gennaio,23
cotone,chiaro,media,primavera,2022-11-25,nuvoloso,15,autunno,novembre,21
cotone,scuro,media,estate,2022-06-29,pioggia,28,estate,giugno,27
poliestere,chiaro,media,estate,2022-06-17,pioggia,22,estate,giugno,28
poliestere,scuro,lunga,estate,2022-03-22,nuvoloso,5,primavera,marzo,27
poliestere,colorato,corta,estate,2022-09-14,pioggia,24,autunno,settembre,17
poliestere,scuro,lunga,all,2022-12-22,neve,4,inverno,dicembre,26
poliestere,scuro,corta,estate,2022-07-04,pioggia,31,estate,luglio,25
poliestere,colorato,corta,estate,2022-10-14,soleggiato,18,autunno,ottobre,15
poliestere,colorato,lunga,all,2022-11-20,pioggia,9,autunno,novembre,26
poliestere,colorato,media,estate,2022-06-11,soleggiato,25,estate,giugno,22
cotone,chiaro,lunga,all,2022-03-31,pioggia,11,primavera,marzo,26
poliestere,colorato,media,estate,2022-03-02,soleggiato,2,primavera,marzo,17
poliestere,scuro,lunga,all,2022-04-11,soleggiato,9,primavera,aprile,26
poliestere,chiaro,lunga,all,2022-01-24,soleggiato,-1,inverno,gennaio,26
poliestere,chiaro,lunga,all,2022-09-19,pioggia,18,autunno,settembre,24
poliestere,scuro,lunga,all,2022-04-21,pioggia,8,primavera,aprile,26
poliestere,colorato,media,estate,2022-05-26,pioggia,24,primavera,maggio,26
poliestere,colorato,lunga,all,2022-08-23,pioggia,23,estate,agosto,20
poliestere,scuro,lunga,estate,2022-11-20,pioggia,13,autunno,novembre,22
cotone,scuro,media,estate,2022-04-23,nuvoloso,15,primavera,aprile,23
poliestere,colorato,lunga,primavera_estate,2022-11-05,pioggia,13,autunno,novembre,23
cotone,scuro,corta,estate,2022-09-12,soleggiato,25,autunno,settembre,18
poliestere,scuro,corta,estate,2022-10-21,pioggia,10,autunno,ottobre,14
cotone,colorato,lunga,all,2022-12-11,soleggiato,-10,inverno,dicembre,26
poliestere,scuro,lunga,all,2022-05-28,pioggia,16,primavera,maggio,24
poliestere,scuro,corta,estate,2022-01-29,soleggiato,-5,inverno,gennaio,13
poliestere,scuro,media,estate,2022-04-10,pioggia,6,primavera,aprile,17
poliestere,colorato,corta,estate,2022-09-24,pioggia,16,autunno,settembre,15
poliestere,colorato,lunga,primavera,2022-05-24,soleggiato,22,primavera,maggio,23
poliestere,scuro,lunga,all,2022-12-24,nuvoloso,7,inverno,dicembre,26
poliestere,scuro,lunga,all,2022-05-03,soleggiato,16,primavera,maggio,24
poliestere,colorato,media,primavera_estate,2022-11-11,pioggia,9,autunno,novembre,14
poliestere,scuro,lunga,all,2022-06-02,pioggia,21,estate,giugno,20
poliestere,colorato,lunga,all,2022-04-14,soleggiato,6,primavera,aprile,26
poliestere,colorato,lunga,primavera_estate,2022-04-26,pioggia,16,primavera,aprile,26
poliestere,colorato,media,estate,2022-05-14,nuvoloso,19,primavera,maggio,21
velluto,colorato,lunga,all,2022-10-03,soleggiato,10,autunno,ottobre,23
poliestere,chiaro,lunga,estate,2022-04-14,soleggiato,12,primavera,aprile,26
poliestere,colorato,lunga,autunno,2022-07-01,pioggia,27,estate,luglio,14
poliestere,chiaro,lunga,all,2022-11-07,soleggiato,8,autunno,novembre,26
velluto,scuro,lunga,autunno_inverno,2022-11-15,pioggia,9,autunno,novembre,28
raso,scuro,corta,estate,2022-08-12,pioggia,25,estate,agosto,26
poliestere,colorato,corta,primavera_estate,2022-10-27,soleggiato,22,autunno,ottobre,18
poliestere,chiaro,lunga,all,2022-09-13,soleggiato,24,autunno,settembre,25
poliestere,scuro,lunga,all,2022-01-31,pioggia,8,inverno,gennaio,26
poliestere,scuro,lunga,all,2022-03-30,pioggia,10,primavera,marzo,25
poliestere,scuro,lunga,all,2022-10-26,soleggiato,20,autunno,ottobre,15
cotone,scuro,corta,estate,2022-12-20,soleggiato,9,inverno,dicembre,13
poliestere,colorato,lunga,estate,2022-10-23,pioggia,19,autunno,ottobre,21
poliestere,colorato,media,estate,2022-03-07,nuvoloso,2,primavera,marzo,17
poliestere,colorato,media,estate,2022-11-07,pioggia,8,autunno,novembre,13
poliestere,scuro,lunga,estate,2022-04-12,soleggiato,7,primavera,aprile,27
cotone,colorato,media,estate,2022-05-07,pioggia,9,primavera,maggio,17
poliestere,colorato,lunga,all,2022-08-30,pioggia,30,estate,agosto,12
cotone,chiaro,lunga,all,2022-06-01,nuvoloso,24,estate,giugno,23
poliestere,colorato,lunga,estate,2022-11-29,pioggia,2,autunno,novembre,23
poliestere,colorato,lunga,all,2022-07-25,pioggia,22,estate,luglio,20
poliestere,colorato,corta,estate,2022-11-05,pioggia,9,autunno,novembre,13
cotone,colorato,lunga,estate,2022-04-04,neve,-3,primavera,aprile,27
cotone,scuro,lunga,all,2022-12-02,pioggia,4,inverno,dicembre,26
cotone,colorato,media,estate,2022-05-11,soleggiato,20,primavera,maggio,29
