Tipo,Antiscivolo,Impermeabile,Colore,Stagione,Meteo,TemperaturaPercepita,StagionePrevisione
scarpa classica,y,y,scuro,inverno,soleggiato,30,estate
scarpe aperte,n,n,Chiaro,primavera,soleggiato,24,estate
scarpa classica,y,y,colorato,inverno,pioggia,27,estate
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,6,inverno
scarpa da ginnastica,n,y,scuro,primavera_estate,pioggia,26,estate
scarpa da ginnastica,n,n,colorato,inverno,pioggia,28,estate
scarpa classica,n,y,Chiaro,all,nuvoloso,1,primavera
stivaletto alla caviglia,y,y,Chiaro,inverno,pioggia,24,estate
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,3,inverno
scarpa da ginnastica,n,y,Chiaro,estate,soleggiato,13,autunno
stivaletto alla caviglia,n,y,colorato,autunno,soleggiato,3,primavera
scarpe aperte,n,n,scuro,primavera,pioggia,15,primavera
scarpa classica,y,y,colorato,primavera_estate,pioggia,5,autunno
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,2,inverno
scarpa classica,n,y,scuro,primavera_estate,pioggia,25,estate
scarpe con tacchi,y,n,colorato,inverno,soleggiato,10,autunno
stivaletto alla caviglia,y,y,Chiaro,inverno,soleggiato,5,inverno
scarpa da ginnastica,y,y,Chiaro,autunno_inverno,soleggiato,8,primavera
stivaletto alla caviglia,n,y,colorato,autunno_inverno,pioggia,9,inverno
stivaletto alla caviglia,n,y,scuro,inverno,pioggia,4,primavera
scarpa da ginnastica,n,y,scuro,all,pioggia,22,primavera
scarpa classica,n,y,scuro,primavera_estate,soleggiato,30,estate
scarpa classica,n,y,colorato,all,pioggia,11,autunno
scarpa da ginnastica,n,n,Chiaro,autunno_inverno,soleggiato,9,primavera
scarpa da ginnastica,y,y,scuro,inverno,soleggiato,33,estate
stivaletto alla caviglia,n,y,colorato,autunno,pioggia,11,inverno
scarpa da ginnastica,n,n,colorato,all,pioggia,33,estate
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,pioggia,3,autunno
scarpa da ginnastica,n,y,colorato,estate,soleggiato,13,primavera
stivaletto alla caviglia,n,y,scuro,autunno,nuvoloso,5,inverno
stivaletto alla caviglia,y,y,scuro,autunno,neve,2,autunno
scarpa da ginnastica,y,y,Chiaro,estate,soleggiato,6,inverno
scarpa da ginnastica,y,y,Chiaro,inverno,pioggia,10,autunno
scarpa da ginnastica,n,y,Chiaro,autunno_inverno,soleggiato,7,autunno
scarpa classica,n,y,colorato,all,pioggia,0,inverno
stivaletto alla caviglia,n,n,Chiaro,autunno_inverno,soleggiato,29,estate
stivaletto alla caviglia,n,n,Chiaro,autunno,pioggia,7,autunno
scarpa classica,y,y,Chiaro,primavera_estate,pioggia,13,inverno
scarpe aperte,n,n,scuro,primavera_estate,pioggia,9,autunno
stivaletto alla caviglia,n,y,colorato,autunno_inverno,pioggia,6,primavera
stivaletto alla caviglia,n,n,Chiaro,autunno_inverno,soleggiato,26,autunno
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,pioggia,9,autunno
stivaletto alla caviglia,n,y,scuro,autunno,soleggiato,8,inverno
scarpa da ginnastica,y,y,Chiaro,primavera_estate,pioggia,14,inverno
scarpa da ginnastica,n,n,scuro,estate,pioggia,16,autunno
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,pioggia,18,primavera
stivaletto alla caviglia,n,y,Chiaro,autunno,neve,-4,inverno
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,10,primavera
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,soleggiato,-11,inverno
scarpa classica,y,y,Chiaro,all,pioggia,8,primavera
scarpa da ginnastica,y,y,scuro,autunno_inverno,pioggia,18,autunno
scarpe aperte,n,n,scuro,primavera_estate,soleggiato,20,primavera
scarpe aperte,y,n,scuro,primavera,nuvoloso,4,autunno
scarpe aperte,n,n,scuro,estate,soleggiato,9,inverno
scarpe aperte,n,n,scuro,estate,soleggiato,15,primavera
stivaletto alla caviglia,n,n,colorato,autunno_inverno,soleggiato,20,autunno
scarpe con tacchi,n,n,Chiaro,inverno,soleggiato,23,autunno
stivaletto alla caviglia,n,y,Chiaro,autunno,neve,-5,inverno
stivaletto alla caviglia,n,y,colorato,autunno,nuvoloso,11,inverno
scarpa classica,n,y,Chiaro,inverno,pioggia,17,autunno
anfibi,n,y,colorato,autunno_inverno,pioggia,20,estate
stivaletto alla caviglia,n,y,Chiaro,inverno,soleggiato,23,estate
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,17,primavera
scarpa da ginnastica,n,y,scuro,estate,soleggiato,22,primavera
scarpa da ginnastica,n,y,scuro,primavera_estate,pioggia,12,autunno
stivaletto alla caviglia,n,y,colorato,autunno_inverno,pioggia,16,primavera
scarpa da ginnastica,n,y,scuro,estate,nuvoloso,10,inverno
scarpa da ginnastica,n,y,scuro,primavera_estate,pioggia,14,autunno
scarpe aperte,n,n,Chiaro,primavera_estate,pioggia,25,estate
stivaletto alla caviglia,n,y,scuro,autunno,soleggiato,28,estate
scarpa da ginnastica,y,y,colorato,estate,soleggiato,0,inverno
scarpa da ginnastica,n,n,scuro,primavera_estate,pioggia,23,estate
scarpe aperte,y,n,Chiaro,estate,soleggiato,5,inverno
scarpa da ginnastica,n,y,colorato,estate,soleggiato,6,inverno
scarpa classica,y,y,scuro,all,soleggiato,25,primavera
scarpe con tacchi,n,n,Chiaro,estate,pioggia,21,autunno
stivaletto alla caviglia,n,y,colorato,autunno,pioggia,9,inverno
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,11,primavera
stivaletto alla caviglia,n,n,scuro,autunno_inverno,pioggia,25,primavera
stivaletto alla caviglia,n,n,colorato,inverno,nuvoloso,-3,primavera
stivaletto alla caviglia,y,y,colorato,autunno,pioggia,8,autunno
stivaletto alla caviglia,y,n,scuro,autunno,neve,2,inverno
scarpa da ginnastica,n,y,colorato,all,pioggia,5,inverno
scarpa da ginnastica,n,y,scuro,estate,nuvoloso,6,inverno
stivaletto alla caviglia,n,n,colorato,autunno_inverno,pioggia,15,autunno
stivaletto alla caviglia,n,y,colorato,autunno_inverno,nuvoloso,1,inverno
scarpa da ginnastica,y,y,colorato,estate,pioggia,5,autunno
scarpa da ginnastica,y,y,scuro,autunno_inverno,pioggia,10,inverno
scarpa da ginnastica,n,n,Chiaro,primavera_estate,pioggia,17,primavera
scarpe con tacchi,n,n,colorato,estate,neve,-1,inverno
scarpe con tacchi,n,n,scuro,primavera_estate,pioggia,15,autunno
scarpa classica,n,y,scuro,autunno_inverno,pioggia,5,inverno
scarpa da ginnastica,n,y,Chiaro,autunno_inverno,nuvoloso,-5,primavera
scarpa da ginnastica,y,n,Chiaro,inverno,pioggia,-3,inverno
scarpa da ginnastica,y,n,scuro,inverno,soleggiato,16,autunno
scarpa da ginnastica,n,y,scuro,estate,pioggia,25,autunno
scarpe con tacchi,n,n,scuro,inverno,pioggia,3,primavera
stivaletto alla caviglia,y,y,colorato,autunno_inverno,pioggia,12,autunno
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,nuvoloso,18,autunno
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,4,primavera
stivaletto alla caviglia,y,y,colorato,autunno_inverno,soleggiato,6,inverno
stivaletto alla caviglia,y,y,Chiaro,inverno,pioggia,7,inverno
stivaletto alla caviglia,n,n,colorato,autunno,nuvoloso,18,autunno
stivaletto alla caviglia,n,n,Chiaro,autunno,pioggia,8,inverno
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,1,primavera
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,16,autunno
stivaletto alla caviglia,y,y,colorato,autunno,nuvoloso,13,primavera
scarpa da ginnastica,y,y,scuro,inverno,neve,2,inverno
scarpa da ginnastica,y,y,colorato,primavera_estate,soleggiato,-4,inverno
scarpe aperte,n,n,Chiaro,primavera_estate,pioggia,13,primavera
scarpa classica,n,y,Chiaro,inverno,nuvoloso,6,inverno
stivaletto alla caviglia,n,n,scuro,inverno,nuvoloso,12,autunno
stivaletto alla caviglia,n,n,colorato,autunno,soleggiato,25,autunno
scarpe con tacchi,n,n,colorato,inverno,nuvoloso,25,autunno
scarpe con tacchi,n,n,colorato,estate,soleggiato,24,primavera
stivaletto alla caviglia,n,n,Chiaro,autunno,soleggiato,30,estate
stivaletto alla caviglia,n,n,colorato,autunno,pioggia,29,autunno
scarpa da ginnastica,n,y,Chiaro,autunno_inverno,pioggia,17,inverno
stivaletto alla caviglia,y,y,colorato,inverno,pioggia,25,primavera
scarpa da ginnastica,y,n,colorato,primavera_estate,pioggia,27,estate
stivali,n,n,scuro,autunno_inverno,nuvoloso,20,autunno
stivaletto alla caviglia,y,y,Chiaro,inverno,soleggiato,25,estate
stivaletto alla caviglia,n,y,Chiaro,inverno,pioggia,10,autunno
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,soleggiato,14,estate
stivaletto alla caviglia,y,n,scuro,autunno_inverno,nuvoloso,20,autunno
scarpa da ginnastica,n,y,scuro,primavera_estate,nuvoloso,2,inverno
scarpe con tacchi,n,n,colorato,primavera_estate,soleggiato,-6,inverno
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,pioggia,-7,primavera
scarpa da ginnastica,n,n,colorato,estate,pioggia,23,estate
scarpa da ginnastica,n,n,Chiaro,all,pioggia,20,autunno
scarpa da ginnastica,n,y,Chiaro,all,pioggia,17,autunno
scarpa da ginnastica,n,n,colorato,inverno,pioggia,11,autunno
anfibi,y,y,colorato,inverno,pioggia,7,inverno
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,28,autunno
stivaletto alla caviglia,n,n,colorato,inverno,neve,-1,inverno
stivaletto alla caviglia,n,n,colorato,autunno_inverno,soleggiato,13,autunno
stivaletto alla caviglia,n,n,scuro,autunno_inverno,soleggiato,22,primavera
stivaletto alla caviglia,n,y,scuro,autunno,soleggiato,3,primavera
scarpa da ginnastica,n,y,colorato,primavera_estate,soleggiato,28,estate
anfibi,n,y,colorato,autunno,pioggia,15,primavera
scarpe con tacchi,n,n,colorato,estate,soleggiato,33,autunno
scarpa classica,y,y,Chiaro,all,pioggia,23,autunno
scarpa da ginnastica,n,n,scuro,primavera_estate,pioggia,7,inverno
scarpa da ginnastica,n,n,Chiaro,primavera_estate,nuvoloso,3,inverno
scarpa da ginnastica,y,n,colorato,autunno_inverno,pioggia,26,autunno
scarpa da ginnastica,n,n,colorato,inverno,soleggiato,24,estate
scarpe aperte,n,n,colorato,estate,soleggiato,27,estate
scarpa da ginnastica,n,n,Chiaro,estate,pioggia,26,primavera
stivaletto alla caviglia,y,y,colorato,autunno,pioggia,3,primavera
scarpa da ginnastica,y,n,colorato,all,pioggia,-2,inverno
scarpa da ginnastica,n,n,scuro,autunno_inverno,nuvoloso,0,primavera
scarpa da ginnastica,n,n,colorato,all,nuvoloso,-7,primavera
scarpa da ginnastica,n,n,Chiaro,primavera_estate,soleggiato,33,estate
scarpa classica,n,y,Chiaro,inverno,soleggiato,30,estate
stivaletto alla caviglia,y,n,Chiaro,autunno,nuvoloso,28,estate
scarpa da ginnastica,n,y,Chiaro,all,pioggia,8,primavera
scarpa da ginnastica,y,n,colorato,primavera_estate,pioggia,18,primavera
stivaletto alla caviglia,y,y,scuro,autunno,soleggiato,31,estate
stivaletto alla caviglia,n,y,scuro,inverno,neve,-6,primavera
stivaletto alla caviglia,y,y,scuro,inverno,nuvoloso,24,autunno
stivaletto alla caviglia,n,y,colorato,autunno,pioggia,3,primavera
scarpa classica,n,y,scuro,all,soleggiato,36,estate
scarpa classica,n,y,scuro,inverno,pioggia,9,primavera
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,soleggiato,16,primavera
scarpe aperte,y,n,Chiaro,primavera_estate,pioggia,16,inverno
scarpe aperte,y,n,colorato,estate,nuvoloso,10,primavera
scarpe aperte,y,n,Chiaro,primavera,pioggia,30,estate
scarpa da ginnastica,n,n,Chiaro,inverno,soleggiato,8,inverno
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,35,estate
stivaletto alla caviglia,y,y,Chiaro,autunno,pioggia,17,autunno
stivaletto alla caviglia,y,y,colorato,autunno,nuvoloso,23,primavera
stivaletto alla caviglia,n,y,colorato,inverno,neve,2,autunno
scarpe aperte,n,n,colorato,estate,pioggia,29,estate
stivaletto alla caviglia,y,y,scuro,inverno,nuvoloso,3,inverno
stivaletto alla caviglia,y,y,colorato,autunno_inverno,nuvoloso,4,inverno
stivaletto alla caviglia,n,n,colorato,inverno,soleggiato,24,estate
stivaletto alla caviglia,n,y,scuro,inverno,pioggia,16,primavera
scarpa classica,n,y,Chiaro,all,soleggiato,27,estate
scarpa da ginnastica,y,y,colorato,inverno,neve,8,primavera
scarpa da ginnastica,y,y,Chiaro,estate,soleggiato,31,estate
scarpe aperte,n,n,colorato,primavera,pioggia,27,autunno
stivaletto alla caviglia,n,n,colorato,autunno_inverno,soleggiato,19,autunno
scarpe aperte,y,n,scuro,primavera,pioggia,21,autunno
scarpa classica,n,y,scuro,all,soleggiato,20,autunno
scarpa classica,y,y,colorato,all,soleggiato,7,inverno
scarpa classica,n,y,scuro,autunno_inverno,nuvoloso,14,primavera
scarpa da ginnastica,y,n,scuro,inverno,pioggia,25,autunno
scarpa da ginnastica,n,n,scuro,all,soleggiato,30,estate
stivaletto alla caviglia,n,y,Chiaro,autunno,soleggiato,21,estate
stivaletto alla caviglia,n,y,scuro,inverno,pioggia,10,primavera
scarpa classica,n,y,Chiaro,all,nuvoloso,18,autunno
scarpa classica,n,y,scuro,autunno_inverno,soleggiato,18,autunno
scarpa classica,n,y,scuro,inverno,pioggia,12,autunno
scarpa classica,n,y,scuro,inverno,pioggia,28,estate
stivaletto alla caviglia,n,y,scuro,autunno_inverno,nuvoloso,25,estate
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,19,autunno
stivaletto alla caviglia,y,n,Chiaro,autunno,nuvoloso,15,autunno
scarpe aperte,n,n,scuro,primavera_estate,pioggia,26,estate
scarpa classica,n,y,colorato,inverno,pioggia,13,inverno
scarpa classica,n,y,Chiaro,autunno_inverno,soleggiato,1,inverno
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,20,autunno
scarpa da ginnastica,n,y,colorato,estate,soleggiato,24,primavera
scarpa da ginnastica,n,n,colorato,all,pioggia,20,estate
scarpa da ginnastica,n,y,Chiaro,primavera_estate,soleggiato,9,primavera
scarpa da ginnastica,y,n,Chiaro,all,pioggia,12,primavera
scarpa da ginnastica,n,n,Chiaro,inverno,soleggiato,14,primavera
stivaletto alla caviglia,n,y,scuro,autunno_inverno,soleggiato,25,estate
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,19,estate
scarpa da ginnastica,n,n,scuro,autunno_inverno,soleggiato,15,primavera
scarpa classica,n,y,Chiaro,primavera_estate,soleggiato,15,primavera
scarpa classica,y,y,colorato,inverno,pioggia,32,estate
scarpa classica,y,y,scuro,inverno,pioggia,23,estate
scarpa classica,n,n,scuro,all,nuvoloso,2,primavera
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,7,autunno
stivaletto alla caviglia,n,y,colorato,inverno,nuvoloso,18,autunno
scarpa da ginnastica,n,n,Chiaro,estate,soleggiato,4,inverno
scarpa da ginnastica,n,y,colorato,autunno_inverno,pioggia,26,estate
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,pioggia,27,estate
stivaletto alla caviglia,n,y,Chiaro,inverno,pioggia,1,inverno
scarpe aperte,n,n,colorato,primavera_estate,nuvoloso,15,autunno
scarpa da ginnastica,n,n,Chiaro,estate,pioggia,28,estate
scarpa da ginnastica,y,y,colorato,autunno_inverno,pioggia,22,estate
scarpa classica,y,y,scuro,all,nuvoloso,5,primavera
scarpa classica,n,y,Chiaro,all,pioggia,24,autunno
scarpa da ginnastica,n,y,colorato,autunno_inverno,neve,4,inverno
scarpe con tacchi,n,n,Chiaro,primavera_estate,pioggia,31,estate
stivaletto alla caviglia,y,y,Chiaro,autunno,soleggiato,18,autunno
stivaletto alla caviglia,n,n,Chiaro,autunno_inverno,pioggia,9,autunno
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,25,estate
stivaletto alla caviglia,n,n,scuro,autunno,pioggia,11,primavera
scarpa da ginnastica,n,y,scuro,inverno,soleggiato,2,primavera
anfibi,n,n,Chiaro,inverno,soleggiato,9,primavera
anfibi,n,y,scuro,autunno_inverno,soleggiato,-1,inverno
anfibi,n,y,scuro,autunno_inverno,pioggia,18,autunno
scarpa classica,n,n,colorato,all,pioggia,8,primavera
scarpa da ginnastica,y,n,scuro,primavera_estate,pioggia,24,primavera
scarpa da ginnastica,y,y,Chiaro,primavera_estate,pioggia,23,estate
scarpa da ginnastica,y,n,Chiaro,inverno,pioggia,13,autunno
scarpa da ginnastica,y,n,colorato,estate,nuvoloso,15,primavera
scarpa da ginnastica,n,n,colorato,primavera_estate,pioggia,13,autunno
scarpa da ginnastica,n,n,colorato,primavera_estate,soleggiato,25,autunno
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,10,autunno
scarpa da ginnastica,y,n,scuro,all,soleggiato,-10,inverno
scarpa da ginnastica,n,y,Chiaro,autunno_inverno,pioggia,16,primavera
scarpa da ginnastica,n,y,scuro,estate,soleggiato,-5,inverno
scarpe aperte,n,n,Chiaro,primavera_estate,pioggia,6,primavera
stivaletto alla caviglia,y,y,Chiaro,inverno,pioggia,16,autunno
stivaletto alla caviglia,n,n,colorato,autunno,soleggiato,22,primavera
scarpa da ginnastica,n,y,Chiaro,estate,nuvoloso,7,inverno
stivaletto alla caviglia,n,n,Chiaro,autunno,soleggiato,16,primavera
scarpe aperte,n,n,scuro,primavera,pioggia,9,autunno
scarpe aperte,y,n,Chiaro,primavera_estate,pioggia,21,estate
scarpe aperte,y,n,Chiaro,primavera_estate,soleggiato,6,primavera
scarpa da ginnastica,y,y,scuro,inverno,pioggia,16,primavera
scarpa da ginnastica,y,y,Chiaro,primavera_estate,nuvoloso,19,primavera
scarpe con tacchi,n,n,colorato,autunno_inverno,soleggiato,10,autunno
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,12,primavera
scarpa da ginnastica,n,n,scuro,estate,pioggia,27,estate
scarpa classica,y,y,colorato,primavera_estate,soleggiato,8,autunno
scarpa da ginnastica,n,y,Chiaro,autunno_inverno,pioggia,9,autunno
scarpe con tacchi,n,n,Chiaro,estate,pioggia,25,estate
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,22,autunno
scarpa da ginnastica,n,n,Chiaro,estate,soleggiato,24,autunno
scarpa da ginnastica,y,n,colorato,all,pioggia,8,inverno
scarpa da ginnastica,n,n,scuro,autunno_inverno,pioggia,10,primavera
scarpa da ginnastica,n,n,scuro,all,soleggiato,20,autunno
scarpa da ginnastica,y,n,Chiaro,primavera_estate,soleggiato,9,inverno
scarpa classica,n,n,Chiaro,all,pioggia,19,autunno
scarpa da ginnastica,n,n,Chiaro,primavera_estate,nuvoloso,2,primavera
scarpa da ginnastica,n,n,scuro,estate,pioggia,8,autunno
stivaletto alla caviglia,n,n,colorato,autunno_inverno,soleggiato,7,primavera
scarpe con tacchi,n,n,Chiaro,autunno_inverno,pioggia,9,primavera
scarpe con tacchi,n,n,Chiaro,primavera_estate,pioggia,30,estate
scarpa da ginnastica,n,y,Chiaro,primavera_estate,nuvoloso,24,estate
stivaletto alla caviglia,y,y,scuro,autunno,pioggia,2,autunno
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,22,estate
scarpa da ginnastica,n,y,scuro,inverno,pioggia,9,autunno
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,neve,-3,primavera
scarpa da ginnastica,y,y,scuro,estate,pioggia,4,inverno
scarpa da ginnastica,y,y,scuro,inverno,soleggiato,20,primavera
stivaletto alla caviglia,n,y,Chiaro,autunno,pioggia,12,autunno
scarpa classica,n,y,Chiaro,all,soleggiato,9,autunno
stivaletto alla caviglia,y,y,colorato,autunno,neve,0,inverno
stivaletto alla caviglia,y,n,Chiaro,inverno,soleggiato,25,estate
stivaletto alla caviglia,n,y,colorato,autunno_inverno,soleggiato,26,estate
scarpe aperte,y,n,scuro,primavera_estate,pioggia,9,primavera
scarpa classica,y,n,colorato,autunno_inverno,nuvoloso,8,inverno
stivaletto alla caviglia,y,n,colorato,autunno,soleggiato,29,estate
scarpa da ginnastica,n,y,Chiaro,inverno,soleggiato,23,primavera
stivali,n,y,Chiaro,inverno,neve,1,primavera
stivaletto alla caviglia,y,y,scuro,autunno,soleggiato,11,autunno
stivaletto alla caviglia,n,y,scuro,autunno_inverno,soleggiato,26,estate
scarpa da ginnastica,n,y,scuro,primavera_estate,pioggia,8,inverno
scarpa da ginnastica,n,y,colorato,autunno_inverno,pioggia,23,estate
stivaletto alla caviglia,n,y,Chiaro,autunno,pioggia,6,primavera
stivaletto alla caviglia,n,y,Chiaro,inverno,pioggia,30,estate
stivaletto alla caviglia,n,y,Chiaro,inverno,neve,-7,inverno
stivaletto alla caviglia,y,n,Chiaro,autunno,pioggia,32,estate
stivaletto alla caviglia,y,y,colorato,autunno,pioggia,17,primavera
stivaletto alla caviglia,y,y,colorato,autunno_inverno,pioggia,14,autunno
scarpe aperte,n,n,Chiaro,estate,soleggiato,5,autunno
scarpa da ginnastica,n,n,Chiaro,primavera_estate,soleggiato,11,autunno
scarpa da ginnastica,n,y,Chiaro,autunno_inverno,pioggia,16,autunno
scarpa da ginnastica,y,y,colorato,inverno,nuvoloso,20,autunno
scarpa classica,n,y,colorato,all,pioggia,11,primavera
scarpa classica,n,n,Chiaro,all,pioggia,15,autunno
scarpa classica,y,y,scuro,all,pioggia,13,autunno
scarpa classica,y,y,Chiaro,all,neve,-2,primavera
scarpa classica,y,y,scuro,autunno_inverno,pioggia,10,primavera
stivaletto alla caviglia,n,n,scuro,autunno,pioggia,6,autunno
scarpe con tacchi,n,n,Chiaro,inverno,soleggiato,2,inverno
stivaletto alla caviglia,n,y,Chiaro,inverno,pioggia,16,primavera
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,nuvoloso,22,autunno
scarpa da ginnastica,y,n,colorato,inverno,soleggiato,23,primavera
scarpe aperte,n,n,colorato,primavera,soleggiato,21,estate
scarpe aperte,n,n,Chiaro,primavera_estate,pioggia,26,autunno
scarpa classica,y,y,Chiaro,autunno_inverno,nuvoloso,23,autunno
scarpa classica,n,y,Chiaro,inverno,nuvoloso,4,autunno
stivaletto alla caviglia,y,n,Chiaro,autunno,soleggiato,11,autunno
stivaletto alla caviglia,y,n,Chiaro,autunno_inverno,soleggiato,24,autunno
scarpa classica,n,y,scuro,primavera_estate,pioggia,17,autunno
scarpa classica,y,y,colorato,primavera_estate,pioggia,30,estate
stivaletto alla caviglia,y,y,Chiaro,autunno,neve,3,autunno
stivaletto alla caviglia,n,n,colorato,autunno,pioggia,13,autunno
stivaletto alla caviglia,y,y,scuro,autunno_inverno,pioggia,18,primavera
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,soleggiato,17,primavera
stivaletto alla caviglia,n,y,scuro,autunno,neve,3,autunno
stivaletto alla caviglia,n,y,scuro,inverno,pioggia,17,autunno
stivaletto alla caviglia,y,y,colorato,autunno,nuvoloso,28,estate
stivaletto alla caviglia,y,y,Chiaro,autunno,nuvoloso,16,autunno
stivaletto alla caviglia,y,y,Chiaro,autunno,soleggiato,0,inverno
scarpe aperte,n,n,scuro,primavera,pioggia,17,autunno
