time,Meteo,TemperaturaPercepita,StagionePrevisione,Mese
2022-11-01,soleggiato,20,autunno,novembre
2022-10-22,soleggiato,23,autunno,ottobre
2022-02-28,neve,-5,inverno,febbraio
2022-12-23,nuvoloso,11,inverno,dicembre
2022-09-27,pioggia,17,autunno,settembre
2022-06-24,pioggia,20,estate,giugno
2022-08-13,soleggiato,23,estate,agosto
2022-05-09,pioggia,17,primavera,maggio
2022-05-11,soleggiato,22,primavera,maggio
2022-11-13,pioggia,12,autunno,novembre
2022-05-02,pioggia,16,primavera,maggio
2022-02-11,nuvoloso,10,inverno,febbraio
2022-11-04,pioggia,14,autunno,novembre
2022-08-07,pioggia,25,estate,agosto
2022-08-22,soleggiato,28,estate,agosto
2022-01-23,soleggiato,0,inverno,gennaio
2022-06-13,pioggia,23,estate,giugno
2022-12-06,soleggiato,5,inverno,dicembre
2022-02-23,soleggiato,6,inverno,febbraio
2022-05-26,soleggiato,25,primavera,maggio
2022-09-01,pioggia,21,autunno,settembre
2022-02-06,pioggia,9,inverno,febbraio
2022-04-07,pioggia,11,primavera,aprile
2022-05-26,pioggia,25,primavera,maggio
2022-03-20,nuvoloso,-3,primavera,marzo
2022-11-22,pioggia,8,autunno,novembre
2022-02-15,neve,2,inverno,febbraio
2022-02-26,pioggia,5,inverno,febbraio
2022-02-11,nuvoloso,6,inverno,febbraio
2022-09-17,pioggia,15,autunno,settembre
2022-01-02,nuvoloso,1,inverno,gennaio
2022-11-22,pioggia,5,autunno,novembre
2022-01-04,pioggia,10,inverno,gennaio
2022-05-10,pioggia,17,primavera,maggio
2022-12-13,neve,-1,inverno,dicembre
2022-10-03,pioggia,15,autunno,ottobre
2022-12-02,pioggia,5,inverno,dicembre
2022-03-12,nuvoloso,-5,primavera,marzo
2022-02-18,pioggia,-3,inverno,febbraio
2022-10-25,soleggiato,16,autunno,ottobre
2022-10-12,pioggia,25,autunno,ottobre
2022-04-27,pioggia,3,primavera,aprile
2022-11-12,pioggia,12,autunno,novembre
2022-10-20,nuvoloso,18,autunno,ottobre
2022-03-06,pioggia,4,primavera,marzo
2022-02-01,soleggiato,6,inverno,febbraio
2022-12-03,pioggia,7,inverno,dicembre
2022-10-28,nuvoloso,18,autunno,ottobre
2022-02-26,pioggia,8,inverno,febbraio
2022-04-17,pioggia,1,primavera,aprile
2022-11-11,soleggiato,16,autunno,novembre
2022-04-07,nuvoloso,13,primavera,aprile
2022-01-10,neve,2,inverno,gennaio
2022-01-27,soleggiato,-4,inverno,gennaio
2022-05-26,pioggia,13,primavera,maggio
2022-12-05,nuvoloso,6,inverno,dicembre
2022-10-04,nuvoloso,12,autunno,ottobre
2022-09-05,soleggiato,25,autunno,settembre
2022-10-11,nuvoloso,25,autunno,ottobre
2022-05-20,soleggiato,24,primavera,maggio
2022-07-18,soleggiato,30,estate,luglio
2022-09-09,pioggia,29,autunno,settembre
2022-12-03,pioggia,17,inverno,dicembre
2022-05-26,pioggia,25,primavera,maggio
2022-07-12,pioggia,27,estate,luglio
2022-10-26,nuvoloso,20,autunno,ottobre
2022-06-03,soleggiato,25,estate,giugno
2022-11-10,pioggia,10,autunno,novembre
2022-07-08,soleggiato,14,estate,luglio
2022-10-30,nuvoloso,20,autunno,ottobre
2022-01-28,nuvoloso,2,inverno,gennaio
2022-01-10,soleggiato,-6,inverno,gennaio
2022-03-06,pioggia,-7,primavera,marzo
2022-06-26,pioggia,23,estate,giugno
2022-11-16,pioggia,20,autunno,novembre
2022-10-21,pioggia,17,autunno,ottobre
2022-11-13,pioggia,11,autunno,novembre
2022-02-16,pioggia,7,inverno,febbraio
2022-09-20,soleggiato,28,autunno,settembre
2022-01-09,neve,-1,inverno,gennaio
2022-11-06,soleggiato,13,autunno,novembre
2022-05-20,soleggiato,22,primavera,maggio
2022-03-01,soleggiato,3,primavera,marzo
2022-08-29,soleggiato,28,estate,agosto
2022-05-07,pioggia,15,primavera,maggio
2022-09-03,soleggiato,33,autunno,settembre
2022-09-02,pioggia,23,autunno,settembre
2022-12-04,pioggia,7,inverno,dicembre
2022-02-03,nuvoloso,3,inverno,febbraio
2022-09-08,pioggia,26,autunno,settembre
2022-06-06,soleggiato,24,estate,giugno
2022-06-04,soleggiato,27,estate,giugno
2022-05-16,pioggia,26,primavera,maggio
2022-11-14,pioggia,12,autunno,novembre
2022-03-19,pioggia,3,primavera,marzo
2022-12-23,pioggia,-2,inverno,dicembre
2022-03-22,nuvoloso,0,primavera,marzo
2022-03-02,nuvoloso,-7,primavera,marzo
2022-07-24,soleggiato,33,estate,luglio
2022-07-02,soleggiato,30,estate,luglio
2022-06-20,nuvoloso,28,estate,giugno
2022-03-19,pioggia,8,primavera,marzo
2022-05-10,pioggia,18,primavera,maggio
2022-07-05,soleggiato,31,estate,luglio
2022-03-02,neve,-6,primavera,marzo
2022-09-02,nuvoloso,24,autunno,settembre
2022-03-05,pioggia,3,primavera,marzo
2022-07-25,soleggiato,36,estate,luglio
2022-04-21,pioggia,9,primavera,aprile
2022-04-30,soleggiato,16,primavera,aprile
2022-12-13,pioggia,16,inverno,dicembre
2022-04-06,nuvoloso,10,primavera,aprile
2022-07-07,pioggia,30,estate,luglio
2022-02-12,soleggiato,8,inverno,febbraio
2022-07-24,soleggiato,35,estate,luglio
2022-11-03,pioggia,17,autunno,novembre
2022-05-18,nuvoloso,23,primavera,maggio
2022-11-29,neve,2,autunno,novembre
2022-06-24,pioggia,29,estate,giugno
2022-01-17,nuvoloso,3,inverno,gennaio
2022-12-22,nuvoloso,4,inverno,dicembre
2022-08-13,soleggiato,24,estate,agosto
2022-05-10,pioggia,16,primavera,maggio
2022-07-30,soleggiato,27,estate,luglio
2022-03-18,neve,8,primavera,marzo
2022-08-25,soleggiato,31,estate,agosto
2022-09-26,pioggia,27,autunno,settembre
2022-10-04,soleggiato,19,autunno,ottobre
2022-10-03,pioggia,21,autunno,ottobre
2022-10-25,soleggiato,20,autunno,ottobre
2022-02-11,soleggiato,7,inverno,febbraio
2022-04-27,nuvoloso,14,primavera,aprile
2022-09-07,pioggia,25,autunno,settembre
2022-07-20,soleggiato,30,estate,luglio
2022-06-15,soleggiato,21,estate,giugno
2022-05-09,pioggia,10,primavera,maggio
2022-10-14,nuvoloso,18,autunno,ottobre
2022-10-11,soleggiato,18,autunno,ottobre
2022-11-09,pioggia,12,autunno,novembre
2022-08-29,pioggia,28,estate,agosto
2022-07-11,nuvoloso,25,estate,luglio
2022-10-06,soleggiato,19,autunno,ottobre
2022-11-15,nuvoloso,15,autunno,novembre
2022-06-02,pioggia,26,estate,giugno
2022-12-09,pioggia,13,inverno,dicembre
2022-01-14,soleggiato,1,inverno,gennaio
2022-10-03,soleggiato,20,autunno,ottobre
2022-05-22,soleggiato,24,primavera,maggio
2022-06-14,pioggia,20,estate,giugno
2022-03-25,soleggiato,9,primavera,marzo
2022-03-15,pioggia,4,primavera,marzo
2022-04-22,pioggia,12,primavera,aprile
2022-05-01,soleggiato,14,primavera,maggio
2022-08-09,soleggiato,25,estate,agosto
2022-07-16,pioggia,19,estate,luglio
2022-04-08,soleggiato,15,primavera,aprile
2022-04-28,soleggiato,15,primavera,aprile
2022-08-06,pioggia,32,estate,agosto
2022-08-16,pioggia,23,estate,agosto
2022-03-02,nuvoloso,2,primavera,marzo
2022-11-27,pioggia,7,autunno,novembre
2022-10-26,nuvoloso,18,autunno,ottobre
2022-07-18,soleggiato,30,estate,luglio
2022-02-23,soleggiato,4,inverno,febbraio
2022-07-14,pioggia,26,estate,luglio
2022-08-13,pioggia,27,estate,agosto
2022-01-24,pioggia,1,inverno,gennaio
2022-11-25,nuvoloso,15,autunno,novembre
2022-06-29,pioggia,28,estate,giugno
2022-06-17,pioggia,22,estate,giugno
2022-03-22,nuvoloso,5,primavera,marzo
2022-09-14,pioggia,24,autunno,settembre
2022-12-22,neve,4,inverno,dicembre
2022-07-04,pioggia,31,estate,luglio
2022-10-14,soleggiato,18,autunno,ottobre
2022-11-20,pioggia,9,autunno,novembre
2022-06-11,soleggiato,25,estate,giugno
2022-03-31,pioggia,11,primavera,marzo
2022-03-02,soleggiato,2,primavera,marzo
2022-04-11,soleggiato,9,primavera,aprile
2022-01-24,soleggiato,-1,inverno,gennaio
2022-09-19,pioggia,18,autunno,settembre
2022-04-21,pioggia,8,primavera,aprile
2022-05-26,pioggia,24,primavera,maggio
2022-08-23,pioggia,23,estate,agosto
2022-11-20,pioggia,13,autunno,novembre
2022-04-23,nuvoloso,15,primavera,aprile
2022-11-05,pioggia,13,autunno,novembre
2022-09-12,soleggiato,25,autunno,settembre
2022-10-21,pioggia,10,autunno,ottobre
2022-12-11,soleggiato,-10,inverno,dicembre
2022-05-28,pioggia,16,primavera,maggio
2022-01-29,soleggiato,-5,inverno,gennaio
2022-04-10,pioggia,6,primavera,aprile
2022-09-24,pioggia,16,autunno,settembre
2022-05-24,soleggiato,22,primavera,maggio
2022-12-24,nuvoloso,7,inverno,dicembre
2022-05-03,soleggiato,16,primavera,maggio
2022-11-11,pioggia,9,autunno,novembre
2022-06-02,pioggia,21,estate,giugno
2022-04-14,soleggiato,6,primavera,aprile
2022-04-26,pioggia,16,primavera,aprile
2022-05-14,nuvoloso,19,primavera,maggio
2022-10-03,soleggiato,10,autunno,ottobre
2022-04-14,soleggiato,12,primavera,aprile
2022-07-01,pioggia,27,estate,luglio
2022-11-07,soleggiato,8,autunno,novembre
2022-11-15,pioggia,9,autunno,novembre
2022-08-12,pioggia,25,estate,agosto
2022-10-27,soleggiato,22,autunno,ottobre
2022-09-13,soleggiato,24,autunno,settembre
2022-01-31,pioggia,8,inverno,gennaio
2022-03-30,pioggia,10,primavera,marzo
2022-10-26,soleggiato,20,autunno,ottobre
2022-12-20,soleggiato,9,inverno,dicembre
2022-10-23,pioggia,19,autunno,ottobre
2022-03-07,nuvoloso,2,primavera,marzo
2022-11-07,pioggia,8,autunno,novembre
2022-04-12,soleggiato,7,primavera,aprile
2022-05-07,pioggia,9,primavera,maggio
2022-08-30,pioggia,30,estate,agosto
2022-06-01,nuvoloso,24,estate,giugno
2022-11-29,pioggia,2,autunno,novembre
2022-07-25,pioggia,22,estate,luglio
2022-11-05,pioggia,9,autunno,novembre
2022-04-04,neve,-3,primavera,aprile
2022-12-02,pioggia,4,inverno,dicembre
2022-05-11,soleggiato,20,primavera,maggio
2022-09-11,pioggia,12,autunno,settembre
2022-11-11,soleggiato,9,autunno,novembre
2022-01-06,neve,0,inverno,gennaio
2022-06-30,soleggiato,25,estate,giugno
2022-06-13,soleggiato,26,estate,giugno
2022-03-31,pioggia,9,primavera,marzo
2022-12-20,nuvoloso,8,inverno,dicembre
2022-08-09,soleggiato,29,estate,agosto
2022-05-31,soleggiato,23,primavera,maggio
2022-03-11,neve,1,primavera,marzo
2022-10-29,soleggiato,11,autunno,ottobre
2022-06-15,soleggiato,26,estate,giugno
2022-02-16,pioggia,8,inverno,febbraio
2022-08-29,pioggia,23,estate,agosto
2022-04-03,pioggia,6,primavera,aprile
2022-08-10,pioggia,30,estate,agosto
2022-01-09,neve,-7,inverno,gennaio
2022-07-06,pioggia,32,estate,luglio
2022-05-31,pioggia,17,primavera,maggio
2022-11-28,pioggia,14,autunno,novembre
2022-11-24,soleggiato,5,autunno,novembre
2022-10-30,soleggiato,11,autunno,ottobre
2022-10-03,pioggia,16,autunno,ottobre
2022-10-04,nuvoloso,20,autunno,ottobre
2022-03-20,pioggia,11,primavera,marzo
2022-09-22,pioggia,15,autunno,settembre
2022-11-04,pioggia,13,autunno,novembre
2022-03-06,neve,-2,primavera,marzo
2022-03-31,pioggia,10,primavera,marzo
2022-09-27,pioggia,6,autunno,settembre
2022-01-22,soleggiato,2,inverno,gennaio
2022-05-07,pioggia,16,primavera,maggio
2022-10-06,nuvoloso,22,autunno,ottobre
2022-05-14,soleggiato,23,primavera,maggio
2022-08-01,soleggiato,21,estate,agosto
2022-09-22,pioggia,26,autunno,settembre
2022-10-17,nuvoloso,23,autunno,ottobre
2022-11-30,nuvoloso,4,autunno,novembre
2022-11-24,soleggiato,11,autunno,novembre
2022-10-24,soleggiato,24,autunno,ottobre
2022-11-02,pioggia,17,autunno,novembre
2022-06-25,pioggia,30,estate,giugno
2022-11-04,neve,3,autunno,novembre
2022-11-04,pioggia,13,autunno,novembre
2022-05-07,pioggia,18,primavera,maggio
2022-05-19,soleggiato,17,primavera,maggio
2022-11-22,neve,3,autunno,novembre
2022-11-06,pioggia,17,autunno,novembre
2022-08-30,nuvoloso,28,estate,agosto
2022-10-15,nuvoloso,16,autunno,ottobre
2022-01-22,soleggiato,0,inverno,gennaio
2022-11-18,pioggia,17,autunno,novembre
2022-08-05,soleggiato,30,estate,agosto
2022-07-20,soleggiato,24,estate,luglio
2022-04-24,soleggiato,14,primavera,aprile
2022-12-01,soleggiato,13,inverno,dicembre
2022-11-01,pioggia,13,autunno,novembre
2022-07-19,soleggiato,32,estate,luglio
2022-10-21,pioggia,19,autunno,ottobre
2022-07-12,pioggia,25,estate,luglio
2022-01-01,soleggiato,9,inverno,gennaio
2022-09-12,soleggiato,22,autunno,settembre
2022-06-12,soleggiato,27,estate,giugno
2022-09-01,pioggia,24,autunno,settembre
2022-12-08,pioggia,13,inverno,dicembre
2022-08-05,soleggiato,33,estate,agosto
2022-06-15,pioggia,23,estate,giugno
2022-09-09,pioggia,29,autunno,settembre
2022-08-13,pioggia,24,estate,agosto
2022-01-11,soleggiato,2,inverno,gennaio
2022-06-16,soleggiato,29,estate,giugno
2022-12-17,pioggia,14,inverno,dicembre
2022-07-17,pioggia,30,estate,luglio
2022-05-18,pioggia,15,primavera,maggio
2022-06-23,nuvoloso,23,estate,giugno
2022-07-25,soleggiato,34,estate,luglio
2022-08-31,nuvoloso,31,estate,agosto
2022-12-09,nuvoloso,16,inverno,dicembre
2022-07-17,soleggiato,30,estate,luglio
2022-10-09,nuvoloso,15,autunno,ottobre
2022-09-08,pioggia,22,autunno,settembre
2022-02-22,neve,0,inverno,febbraio
2022-07-23,soleggiato,31,estate,luglio
2022-11-29,pioggia,3,autunno,novembre
2022-11-07,soleggiato,9,autunno,novembre
2022-04-09,pioggia,6,primavera,aprile
2022-01-19,pioggia,2,inverno,gennaio
2022-02-14,pioggia,1,inverno,febbraio
2022-01-12,neve,4,inverno,gennaio
2022-03-04,neve,1,primavera,marzo
2022-04-15,soleggiato,15,primavera,aprile
2022-04-12,soleggiato,10,primavera,aprile
2022-11-04,neve,6,autunno,novembre
2022-04-27,soleggiato,10,primavera,aprile
2022-06-22,pioggia,30,estate,giugno
2022-10-04,pioggia,19,autunno,ottobre
2022-10-01,pioggia,16,autunno,ottobre
2022-06-26,soleggiato,29,estate,giugno
2022-06-11,pioggia,14,estate,giugno
2022-12-21,pioggia,9,inverno,dicembre
2022-04-16,pioggia,4,primavera,aprile
2022-04-28,soleggiato,14,primavera,aprile
2022-06-13,nuvoloso,28,estate,giugno
2022-09-25,pioggia,17,autunno,settembre
2022-07-26,pioggia,27,estate,luglio
2022-10-11,soleggiato,13,autunno,ottobre
2022-08-15,pioggia,24,estate,agosto
2022-10-01,pioggia,24,autunno,ottobre
2022-03-23,soleggiato,7,primavera,marzo
2022-09-24,soleggiato,18,autunno,settembre
2022-04-07,pioggia,9,primavera,aprile
2022-05-28,pioggia,11,primavera,maggio
2022-02-18,nuvoloso,11,inverno,febbraio
2022-12-19,nuvoloso,1,inverno,dicembre
2022-09-16,pioggia,24,autunno,settembre
2022-01-10,soleggiato,-7,inverno,gennaio
2022-04-28,pioggia,12,primavera,aprile
2022-01-19,soleggiato,6,inverno,gennaio
2022-06-10,soleggiato,21,estate,giugno
2022-01-01,soleggiato,6,inverno,gennaio
2022-07-21,soleggiato,27,estate,luglio
2022-09-08,pioggia,30,autunno,settembre
2022-10-05,soleggiato,18,autunno,ottobre
2022-03-08,neve,-7,primavera,marzo
2022-06-04,pioggia,18,estate,giugno
2022-02-17,soleggiato,6,inverno,febbraio
2022-06-03,pioggia,15,estate,giugno
2022-06-08,pioggia,22,estate,giugno
2022-12-22,pioggia,12,inverno,dicembre
2022-04-29,nuvoloso,15,primavera,aprile
2022-09-30,pioggia,17,autunno,settembre
2022-01-31,pioggia,5,inverno,gennaio
2022-11-05,pioggia,13,autunno,novembre
2022-12-10,nuvoloso,3,inverno,dicembre
2022-11-01,pioggia,12,autunno,novembre
2022-09-18,soleggiato,15,autunno,settembre
2022-06-18,pioggia,18,estate,giugno
2022-04-13,soleggiato,16,primavera,aprile
2022-06-13,soleggiato,27,estate,giugno
2022-06-04,nuvoloso,27,estate,giugno
2022-11-23,pioggia,10,autunno,novembre
2022-11-11,soleggiato,12,autunno,novembre
2022-05-01,pioggia,4,primavera,maggio
2022-01-28,soleggiato,4,inverno,gennaio
2022-01-07,soleggiato,1,inverno,gennaio
2022-10-28,soleggiato,16,autunno,ottobre
2022-08-08,soleggiato,29,estate,agosto
2022-01-17,nuvoloso,8,inverno,gennaio
2022-12-23,nuvoloso,6,inverno,dicembre
2022-11-13,pioggia,10,autunno,novembre
2022-04-02,pioggia,6,primavera,aprile
2022-02-26,neve,4,inverno,febbraio
2022-02-14,pioggia,8,inverno,febbraio
2022-04-04,nuvoloso,6,primavera,aprile
2022-02-02,pioggia,4,inverno,febbraio
2022-03-10,soleggiato,6,primavera,marzo
2022-08-30,pioggia,29,estate,agosto
2022-06-29,pioggia,28,estate,giugno
2022-05-24,pioggia,23,primavera,maggio
2022-12-04,pioggia,9,inverno,dicembre
2022-01-28,nuvoloso,7,inverno,gennaio
2022-06-16,pioggia,27,estate,giugno
2022-09-04,pioggia,26,autunno,settembre
2022-03-16,soleggiato,8,primavera,marzo
2022-10-04,pioggia,14,autunno,ottobre
2022-05-16,soleggiato,20,primavera,maggio
2022-06-28,pioggia,27,estate,giugno
2022-02-10,soleggiato,4,inverno,febbraio
2022-08-03,soleggiato,30,estate,agosto
2022-08-17,nuvoloso,27,estate,agosto
2022-10-16,soleggiato,20,autunno,ottobre
2022-09-24,pioggia,16,autunno,settembre
2022-10-03,nuvoloso,21,autunno,ottobre
2022-03-30,pioggia,7,primavera,marzo
2022-01-15,soleggiato,4,inverno,gennaio
2022-11-29,nuvoloso,8,autunno,novembre
2022-11-01,soleggiato,19,autunno,novembre
2022-04-02,pioggia,3,primavera,aprile
2022-12-05,pioggia,12,inverno,dicembre
2022-11-02,soleggiato,11,autunno,novembre
2022-01-26,nuvoloso,4,inverno,gennaio
2022-05-05,neve,10,primavera,maggio
2022-09-25,pioggia,16,autunno,settembre
2022-06-22,pioggia,27,estate,giugno
2022-03-26,pioggia,12,primavera,marzo
2022-07-03,soleggiato,32,estate,luglio
2022-06-13,pioggia,27,estate,giugno
2022-08-24,soleggiato,31,estate,agosto
2022-08-20,pioggia,21,estate,agosto
2022-02-11,nuvoloso,6,inverno,febbraio
2022-04-24,pioggia,12,primavera,aprile
2022-06-12,soleggiato,27,estate,giugno
2022-12-14,pioggia,14,inverno,dicembre
2022-04-26,soleggiato,15,primavera,aprile
2022-01-22,soleggiato,6,inverno,gennaio
2022-06-12,soleggiato,25,estate,giugno
2022-09-01,pioggia,24,autunno,settembre
2022-11-24,soleggiato,7,autunno,novembre
2022-03-03,soleggiato,5,primavera,marzo
2022-10-09,pioggia,9,autunno,ottobre
2022-03-01,soleggiato,1,primavera,marzo
2022-03-28,soleggiato,11,primavera,marzo
2022-04-16,pioggia,15,primavera,aprile
2022-04-19,nuvoloso,9,primavera,aprile
2022-05-13,nuvoloso,16,primavera,maggio
2022-05-23,nuvoloso,27,primavera,maggio
2022-04-03,pioggia,6,primavera,aprile
2022-11-22,pioggia,9,autunno,novembre
2022-02-13,pioggia,3,inverno,febbraio
2022-10-19,soleggiato,20,autunno,ottobre
2022-01-09,pioggia,2,inverno,gennaio
2022-12-07,soleggiato,-5,inverno,dicembre
2022-09-16,pioggia,12,autunno,settembre
2022-01-16,soleggiato,9,inverno,gennaio
2022-01-13,soleggiato,-10,inverno,gennaio
2022-08-25,soleggiato,28,estate,agosto
2022-10-22,pioggia,16,autunno,ottobre
2022-08-10,soleggiato,25,estate,agosto
2022-06-08,pioggia,25,estate,giugno
2022-07-02,pioggia,18,estate,luglio
2022-06-05,soleggiato,28,estate,giugno
2022-09-12,pioggia,24,autunno,settembre
2022-07-28,soleggiato,31,estate,luglio
2022-07-31,pioggia,28,estate,luglio
2022-07-19,soleggiato,36,estate,luglio
2022-06-08,nuvoloso,26,estate,giugno
2022-03-16,soleggiato,10,primavera,marzo
2022-03-01,soleggiato,2,primavera,marzo
2022-12-15,neve,-2,inverno,dicembre
2022-12-14,nuvoloso,1,inverno,dicembre
2022-02-15,neve,1,inverno,febbraio
2022-11-29,nuvoloso,6,autunno,novembre
2022-03-07,neve,4,primavera,marzo
2022-07-16,soleggiato,30,estate,luglio
2022-02-06,pioggia,8,inverno,febbraio
2022-03-26,soleggiato,8,primavera,marzo
2022-11-13,nuvoloso,17,autunno,novembre
2022-04-07,pioggia,9,primavera,aprile
2022-05-17,nuvoloso,21,primavera,maggio
2022-09-22,pioggia,5,autunno,settembre
2022-11-21,pioggia,11,autunno,novembre
2022-01-03,nuvoloso,3,inverno,gennaio
2022-09-11,pioggia,26,autunno,settembre
2022-05-12,nuvoloso,19,primavera,maggio
2022-06-02,soleggiato,28,estate,giugno
2022-05-19,soleggiato,18,primavera,maggio
2022-12-21,nuvoloso,3,inverno,dicembre
2022-06-27,soleggiato,31,estate,giugno
2022-04-08,pioggia,12,primavera,aprile
2022-07-09,soleggiato,25,estate,luglio
2022-05-04,soleggiato,13,primavera,maggio
2022-07-28,soleggiato,29,estate,luglio
2022-12-10,pioggia,17,inverno,dicembre
2022-10-25,soleggiato,20,autunno,ottobre
2022-03-14,soleggiato,3,primavera,marzo
2022-01-13,soleggiato,0,inverno,gennaio
2022-05-06,pioggia,15,primavera,maggio
2022-01-05,neve,0,inverno,gennaio
2022-10-13,pioggia,24,autunno,ottobre
2022-05-27,pioggia,27,primavera,maggio
2022-10-01,pioggia,20,autunno,ottobre
2022-04-08,pioggia,12,primavera,aprile
2022-10-30,soleggiato,18,autunno,ottobre
2022-09-05,soleggiato,27,autunno,settembre
2022-12-15,neve,-6,inverno,dicembre
2022-08-31,pioggia,27,estate,agosto
2022-11-21,nuvoloso,5,autunno,novembre
2022-02-03,nuvoloso,5,inverno,febbraio
2022-07-04,soleggiato,31,estate,luglio
